group_id,mode,time_s,phase_rad,valid,weight,retune_id,visit_index,window_start_sample,split,device_counter,frame_count,relative_frequency_hz,common_rx1_minus_rx0_authority_hz,canonical_cfo_hz,alias_group
visit-14,m0,0.0035,2.5436529677309285,True,0.9964025978205175,visit-14,14,0,training,492165106297,5,682358.1612071474,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0035,1.2971663471144435,True,0.9922318511123689,visit-14,14,0,training,492165106297,4,682369.5950048272,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0105,-0.6621555402447727,True,0.965278597258663,visit-14,14,70000,training,492165176297,4,682307.5785966697,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0105,-1.9093642956468004,True,0.976807677621689,visit-14,14,70000,training,492165176297,5,682322.9794985,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0175,2.5959829776082968,True,0.9797628594807705,visit-14,14,140000,training,492165246297,4,682350.8419020212,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0175,1.3024446907548533,True,0.9978414198820375,visit-14,14,140000,training,492165246297,4,682358.3649466295,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0245,-0.5884900511615765,True,0.9494832123065087,visit-14,14,210000,training,492165316297,4,682329.6427668615,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0245,-1.9436462291001817,True,0.999884441085973,visit-14,14,210000,training,492165316297,4,682331.0585440629,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0315,0.47768915304967824,True,0.9732546036554759,visit-14,14,280000,evaluation,492165386297,5,682347.4605656557,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0315,-0.6353912412760913,True,0.9551442489839889,visit-14,14,280000,evaluation,492165386297,4,682371.0686792431,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0385,2.206300556437617,True,0.9863866288973476,visit-14,14,350000,evaluation,492165456297,4,682318.7672591351,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0385,0.9360343002790673,True,0.9458944937445182,visit-14,14,350000,evaluation,492165456297,5,682323.5976073894,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0455,0.4068156756460871,True,0.9955109617436669,visit-14,14,420000,evaluation,492165526297,4,682386.3012163079,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0455,-1.0550664992983225,True,0.967525051882098,visit-14,14,420000,evaluation,492165526297,4,682365.1971161669,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0525,0.5236741377499788,True,0.9512968365148469,visit-14,14,490000,evaluation,492165596297,4,682448.0195716597,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0525,-0.5536217731206045,True,0.953107619327942,visit-14,14,490000,evaluation,492165596297,4,682458.5849089264,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0595,0.9429861748322443,True,0.9881456209252901,visit-14,14,560000,evaluation,492165666297,5,682408.6818779515,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0595,0.3377054207436655,True,0.9960115036694762,visit-14,14,560000,evaluation,492165666297,4,682540.8574896628,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0665,-0.8196526807848918,True,0.9988860398719898,visit-14,14,630000,evaluation,492165736297,4,682358.1880628836,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0665,-2.391618805723491,True,0.904410712994181,visit-14,14,630000,evaluation,492165736297,5,682310.3538416009,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0735,2.9520502829736617,True,0.7903326638756969,visit-14,14,700000,evaluation,492165806297,4,682380.1172329643,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0735,1.9859012700236425,True,0.9975669177862273,visit-14,14,700000,evaluation,492165806297,4,682054.8364726733,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0805,3.015845183822701,True,0.9915022259317342,visit-14,14,770000,evaluation,492165876297,4,682402.6201552866,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0805,-1.7569758784599567,True,0.8226262853552323,visit-14,14,770000,evaluation,492165876297,4,682122.8814065192,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0875,0.6707421373943252,True,0.9276404607325311,visit-14,14,840000,evaluation,492165946297,5,682405.552328568,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0875,-1.0010122424377155,True,0.7333379758422729,visit-14,14,840000,evaluation,492165946297,4,682477.4530911607,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.0945,1.904843432804996,True,0.9634776997019143,visit-14,14,910000,evaluation,492166016297,4,682438.5111009203,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.0945,1.8496365480212338,True,0.8389466740856558,visit-14,14,910000,evaluation,492166016297,5,682456.486747759,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.1015,1.2211560250668831,True,0.9402188486459029,visit-14,14,980000,evaluation,492166086297,4,682404.8683831913,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.1015,-2.618236265218913,True,0.9881007498413076,visit-14,14,980000,evaluation,492166086297,4,682225.1989868992,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.1085,1.8859477719547142,True,0.9874218359766291,visit-14,14,1050000,evaluation,492166156297,4,682480.966930975,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.1085,1.0910605480283184,True,0.8271781264761223,visit-14,14,1050000,evaluation,492166156297,4,682435.8737255256,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-14,m0,0.1155,-1.3455152398567127,True,0.7458241793034687,visit-14,14,1120000,evaluation,492166226297,5,682692.6795278408,682391.0869099543,33297.906461669016,visit-14-canonical-3
visit-14,m1,0.1155,-1.49724896605661,True,0.8531601662604882,visit-14,14,1120000,evaluation,492166226297,4,682681.8889457809,682391.0869099543,70790.84194525657,visit-14-canonical-7
visit-52,m0,0.0035,2.207477916112272,True,0.6601931538939018,visit-52,52,0,training,492216098758,4,647669.717416881,647448.5725768767,16033.389177419856,visit-52-canonical-2
visit-52,m1,0.0035,-2.728865656265788,True,0.9802514256116767,visit-52,52,0,training,492216098758,4,647216.8399000951,647448.5725768767,50898.53152517945,visit-52-canonical-5
