track_rank,arm,fold,rank,norad,name,train_rms_hz,holdout_rms_hz
2,glrt_all,forward,23,62480,STARLINK-32743,7131.15248632696,22493.66201205503
2,glrt_all,forward,24,57223,STARLINK-5519,7419.228895522526,20414.848337723473
2,glrt_all,forward,25,57639,STARLINK-30326,7570.865479781745,19884.905573803462
2,glrt_all,reverse,1,68972,STARLINK-37259,108.49835023254,100.0664958739462
2,glrt_all,reverse,2,48583,STARLINK-2237,110.6202652709471,256.746521424264
2,glrt_all,reverse,3,52536,STARLINK-3964,613.0564272367538,1611.0872354075984
2,glrt_all,reverse,4,55574,STARLINK-5747,616.5598734348623,4908.507582029371
2,glrt_all,reverse,5,65204,STARLINK-34787,843.9856891621749,6249.516937929463
2,glrt_all,reverse,6,63560,STARLINK-11592,1548.0108288599608,11689.142354405096
2,glrt_all,reverse,7,68171,STARLINK-37034,2043.666051827731,10773.534784068355
2,glrt_all,reverse,8,58089,STARLINK-30584,2608.8631410212506,5752.828615914375
2,glrt_all,reverse,9,57991,STARLINK-30537,3004.831456047189,11552.811943356526
2,glrt_all,reverse,10,59404,STARLINK-31374,3217.0445740156924,8100.738782295584
2,glrt_all,reverse,11,48142,STARLINK-2485,3478.8892962473333,16419.541617551702
2,glrt_all,reverse,12,66967,STARLINK-36136,3960.3285054986054,14913.389645062593
2,glrt_all,reverse,13,57527,STARLINK-30250,3989.6932149282306,11340.129566129586
2,glrt_all,reverse,14,57666,STARLINK-30301,4184.9604903346735,16190.730012329197
2,glrt_all,reverse,15,55393,STARLINK-4786,4496.587206092426,12447.069866911366
2,glrt_all,reverse,16,45064,STARLINK-1133,4576.904513273104,14265.48202707807
2,glrt_all,reverse,17,58631,STARLINK-31064,4970.5745883278,20017.235886900606
2,glrt_all,reverse,18,50180,STARLINK-3265,5150.809492133013,17822.19890633698
2,glrt_all,reverse,19,53064,STARLINK-4313,5703.82473377996,19963.63991167679
2,glrt_all,reverse,20,63997,STARLINK-34165,5947.505555393417,20929.17525361566
2,glrt_all,reverse,21,60733,STARLINK-32253,6175.364171946226,22231.002160115728
2,glrt_all,reverse,22,64370,STARLINK-11732,6211.778986345144,19404.475935924802
2,glrt_all,reverse,23,63779,STARLINK-33881,6296.856215541829,20726.191297521505
2,glrt_all,reverse,24,64426,STARLINK-34432,6333.352326899173,18610.178153067372
2,glrt_all,reverse,25,47993,STARLINK-2273,6380.484386322482,13975.889261961174
2,glrt_pss_gated,forward,1,68972,STARLINK-37259,63.641566811768165,99.22594099313609
2,glrt_pss_gated,forward,2,48583,STARLINK-2237,98.490127450033,214.34658890539615
2,glrt_pss_gated,forward,3,52536,STARLINK-3964,323.7834850792236,1055.3744292096137
2,glrt_pss_gated,forward,4,58089,STARLINK-30584,820.3340597313336,3426.971478304743
2,glrt_pss_gated,forward,5,59404,STARLINK-31374,1476.0866324785209,5113.372980727481
2,glrt_pss_gated,forward,6,47993,STARLINK-2273,1887.9116085366159,8281.303564301803
2,glrt_pss_gated,forward,7,55574,STARLINK-5747,2115.4700402629987,4237.707029028455
2,glrt_pss_gated,forward,8,57527,STARLINK-30250,2436.395892678901,7480.671874352891
2,glrt_pss_gated,forward,9,61055,STARLINK-11268,2499.0871281425216,9789.093504317922
2,glrt_pss_gated,forward,10,55393,STARLINK-4786,2588.241611717221,8133.6616439891895
2,glrt_pss_gated,forward,11,65204,STARLINK-34787,2764.4080871001715,5492.227609933554
2,glrt_pss_gated,forward,12,57991,STARLINK-30537,3227.313544887317,8312.763669774957
2,glrt_pss_gated,forward,13,45064,STARLINK-1133,3381.546710795045,9689.57676130831
2,glrt_pss_gated,forward,14,68171,STARLINK-37034,3549.159487920179,8292.048039601417
2,glrt_pss_gated,forward,15,67812,STARLINK-36377,3827.1399406158807,12369.226206796406
2,glrt_pss_gated,forward,16,66967,STARLINK-36136,4107.368704552748,10670.338732315126
2,glrt_pss_gated,forward,17,64426,STARLINK-34432,4163.121083060552,12397.49106848648
2,glrt_pss_gated,forward,18,62480,STARLINK-32743,4327.970231967841,13999.42690584451
2,glrt_pss_gated,forward,19,64370,STARLINK-11732,4480.435366408078,13188.038318308665
2,glrt_pss_gated,forward,20,57666,STARLINK-30301,4533.288973745728,11661.159414575503
2,glrt_pss_gated,forward,21,50180,STARLINK-3265,4623.247718405787,12468.767585095396
2,glrt_pss_gated,forward,22,59374,STARLINK-31641,4668.04384564626,15069.30550827874
2,glrt_pss_gated,forward,23,63560,STARLINK-11592,4800.23719433677,10068.187301499393
2,glrt_pss_gated,forward,24,57223,STARLINK-5519,4858.72638882136,14046.922243722225
2,glrt_pss_gated,forward,25,57639,STARLINK-30326,5058.8016240942625,14176.489041632274
2,glrt_pss_gated,reverse,1,68972,STARLINK-37259,81.8763580125607,74.19968609832638
2,glrt_pss_gated,reverse,2,48583,STARLINK-2237,105.42552017900388,217.63975617776367
2,glrt_pss_gated,reverse,3,52536,STARLINK-3964,424.0329971319408,986.4096676295821
2,glrt_pss_gated,reverse,4,55574,STARLINK-5747,1138.5421929269746,5018.051400726191
2,glrt_pss_gated,reverse,5,58089,STARLINK-30584,1454.1406129635361,2941.79856978124
2,glrt_pss_gated,reverse,6,65204,STARLINK-34787,1455.3224000379969,6533.269990914022
2,glrt_pss_gated,reverse,7,59404,STARLINK-31374,2001.3800418014725,4719.861138273279
2,glrt_pss_gated,reverse,8,68171,STARLINK-37034,2543.382533390089,9097.753367175988
2,glrt_pss_gated,reverse,9,57991,STARLINK-30537,2745.9414488726043,8710.435426921022
2,glrt_pss_gated,reverse,10,57527,STARLINK-30250,2751.176998422865,7256.585830792942
2,glrt_pss_gated,reverse,11,63560,STARLINK-11592,2792.145677778049,11657.032090159944
2,glrt_pss_gated,reverse,12,55393,STARLINK-4786,3025.483616223757,7815.003492169511
2,glrt_pss_gated,reverse,13,45064,STARLINK-1133,3423.33346807646,9681.946433392066
2,glrt_pss_gated,reverse,14,47993,STARLINK-2273,3529.398400326658,7014.105786458528
2,glrt_pss_gated,reverse,15,66967,STARLINK-36136,3540.053978928235,11138.268661500504
2,glrt_pss_gated,reverse,16,57666,STARLINK-30301,3840.0854244626335,12228.39774484948
2,glrt_pss_gated,reverse,17,48142,STARLINK-2485,3889.7035430050228,13348.577807805292
2,glrt_pss_gated,reverse,18,61055,STARLINK-11268,4003.114481118374,8636.679359547503
2,glrt_pss_gated,reverse,19,50180,STARLINK-3265,4238.706343793751,12797.198332588192
2,glrt_pss_gated,reverse,20,64426,STARLINK-34432,4472.19376236223,12185.822897240296
2,glrt_pss_gated,reverse,21,67812,STARLINK-36377,4654.119512641664,11753.44708754531
2,glrt_pss_gated,reverse,22,64370,STARLINK-11732,4669.343784703821,13050.843155290626
2,glrt_pss_gated,reverse,23,53064,STARLINK-4313,4743.358669126034,14412.074880609169
2,glrt_pss_gated,reverse,24,58631,STARLINK-31064,4743.482382128629,15356.066910479507
2,glrt_pss_gated,reverse,25,63779,STARLINK-33881,4931.159198388568,14513.778662963849
2,pss_precise,forward,1,58089,STARLINK-30584,310.69453348478197,1787.147112461372
2,pss_precise,forward,2,52536,STARLINK-3964,329.9604188179806,634.8215953568754
2,pss_precise,forward,3,48583,STARLINK-2237,538.096921313944,1446.035318142365
2,pss_precise,forward,4,68972,STARLINK-37259,620.4906392130156,1605.7629846811842
2,pss_precise,forward,5,59404,STARLINK-31374,897.874451125274,3440.5589267346268
2,pss_precise,forward,6,47993,STARLINK-2273,1307.67309719425,6575.612184116733
2,pss_precise,forward,7,55574,STARLINK-5747,1529.484956366543,2593.6967872301575
2,pss_precise,forward,8,57527,STARLINK-30250,1837.637552230391,5778.440828932318
2,pss_precise,forward,9,61055,STARLINK-11268,1901.5717460422914,8064.075584878964
2,pss_precise,forward,10,55393,STARLINK-4786,1987.0375611665957,6424.20750048571
2,pss_precise,forward,11,65204,STARLINK-34787,2167.906326518964,3831.903126420551
2,pss_precise,forward,12,57991,STARLINK-30537,2619.6077614987953,6602.952799845414
2,pss_precise,forward,13,45064,STARLINK-1133,2770.361628089558,7963.084816417842
2,pss_precise,forward,14,68171,STARLINK-37034,2938.9746632569404,6586.044662015371
2,pss_precise,forward,15,67812,STARLINK-36377,3209.4900046338576,10613.813673936265
2,pss_precise,forward,16,66967,STARLINK-36136,3488.646042327556,8934.612470094082
2,pss_precise,forward,17,64426,STARLINK-34432,3541.993042392027,10641.618125377827
2,pss_precise,forward,18,62480,STARLINK-32743,3704.3480014919287,12226.573217890917
2,pss_precise,forward,19,57666,STARLINK-30301,3909.7049014922545,9915.006707321754
2,pss_precise,forward,20,50180,STARLINK-3265,3997.942163223577,10712.982968872877
2,pss_precise,forward,21,59374,STARLINK-31641,4040.467085077169,13285.031639027344
2,pss_precise,forward,22,63560,STARLINK-11592,4176.734924648094,8350.457989087583
2,pss_precise,forward,23,57223,STARLINK-5519,4229.847104783766,12273.534748507442
2,pss_precise,forward,24,57639,STARLINK-30326,4428.017416866581,12401.964349742713
2,pss_precise,forward,25,48142,STARLINK-2485,4482.538270039149,10617.535793318515
2,pss_precise,reverse,1,52536,STARLINK-3964,251.90605353755382,717.3347182418844
2,pss_precise,reverse,2,48583,STARLINK-2237,517.8947256280446,1468.5857135102478
2,pss_precise,reverse,3,68972,STARLINK-37259,553.1465358458165,1666.1826285852658
2,pss_precise,reverse,4,55574,STARLINK-5747,627.0906764618629,3325.9457810194676
2,pss_precise,reverse,5,58089,STARLINK-30584,901.3980232412513,1274.7509102096524
2,pss_precise,reverse,6,65204,STARLINK-34787,928.6970972872924,4822.406040016175
2,pss_precise,reverse,7,59404,STARLINK-31374,1432.8462166549903,3016.765657602462
2,pss_precise,reverse,8,68171,STARLINK-37034,1971.6549259448411,7350.360684434856
2,pss_precise,reverse,9,57991,STARLINK-30537,2167.052057039018,6964.313019472513
2,pss_precise,reverse,10,57527,STARLINK-30250,2169.981665412369,5523.580985878636
2,pss_precise,reverse,11,63560,STARLINK-11592,2227.8152531882592,9885.828394880902
2,pss_precise,reverse,12,55393,STARLINK-4786,2440.3393652707555,6075.686693840503
2,pss_precise,reverse,13,45064,STARLINK-1133,2833.3919382414415,7923.1235933152075
2,pss_precise,reverse,14,47993,STARLINK-2273,2938.462992466901,5289.62511121708
2,pss_precise,reverse,15,66967,STARLINK-36136,2950.180048054455,9365.645515876786
2,pss_precise,reverse,16,57666,STARLINK-30301,3246.7176413914294,10444.322827908485
2,pss_precise,reverse,17,48142,STARLINK-2485,3297.9629703766936,11554.156081779563
2,pss_precise,reverse,18,61055,STARLINK-11268,3405.7363543801043,6890.429806644385
2,pss_precise,reverse,19,50180,STARLINK-3265,3639.457264131986,11006.005529067592
2,pss_precise,reverse,20,64426,STARLINK-34432,3869.103805605657,10399.658287503944
2,pss_precise,reverse,21,67812,STARLINK-36377,4048.6410966116123,9971.435987968034
2,pss_precise,reverse,22,53064,STARLINK-4313,4138.261813795293,12603.792995477776
2,pss_precise,reverse,23,58631,STARLINK-31064,4139.714828459331,13538.982546314164
2,pss_precise,reverse,24,63779,STARLINK-33881,4323.410174359164,12703.881212282104
2,pss_precise,reverse,25,57639,STARLINK-30326,4327.198960358706,12496.623411939969
3,glrt_all,forward,1,68972,STARLINK-37259,65.06028840386243,181.48562628059412
3,glrt_all,forward,2,48583,STARLINK-2237,123.43252830887695,216.35193876362234
3,glrt_all,forward,3,52536,STARLINK-3964,573.3529395257552,1597.0235688229861
3,glrt_all,forward,4,58089,STARLINK-30584,1916.0170809487502,6428.7982690832505
3,glrt_all,forward,5,55574,STARLINK-5747,2044.6199059477547,1870.2806632697254
3,glrt_all,forward,6,65204,STARLINK-34787,2641.018847756815,2213.604611962776
3,glrt_all,forward,7,59404,STARLINK-31374,2764.853273472517,8215.113751066216
3,glrt_all,forward,8,57527,STARLINK-30250,3949.130320968709,10552.372240369938
3,glrt_all,forward,9,68171,STARLINK-37034,4127.321029560527,6696.010142479655
3,glrt_all,forward,10,57991,STARLINK-30537,4228.901355338847,8783.22297345885
3,glrt_all,forward,11,55393,STARLINK-4786,4312.65784014474,11795.35569503994
3,glrt_all,forward,12,47993,STARLINK-2273,4652.852239321808,15670.301752941714
3,glrt_all,forward,13,63560,STARLINK-11592,4887.144440288572,4707.955861443477
3,glrt_all,forward,14,45064,STARLINK-1133,5041.24165539212,12455.858462095175
3,glrt_all,forward,15,61055,STARLINK-11268,5399.270316570904,17216.180179550338
3,glrt_all,forward,16,66967,STARLINK-36136,5435.22748051777,11486.114300330348
3,glrt_all,forward,17,57666,STARLINK-30301,5925.892199122653,12251.543360904689
3,glrt_all,forward,18,48142,STARLINK-2485,6199.23089405894,10938.330179332283
3,glrt_all,forward,19,50180,STARLINK-3265,6401.5312224743875,14504.536866673037
3,glrt_all,forward,20,64426,STARLINK-34432,6498.75542212315,16907.887735117663
3,glrt_all,forward,21,67812,STARLINK-36377,6589.540678041452,18535.846092913675
3,glrt_all,forward,22,64370,STARLINK-11732,6874.450035672631,16873.43147116778
3,glrt_all,forward,23,53064,STARLINK-4313,7182.48976295038,16121.628415225132
3,glrt_all,forward,24,57223,STARLINK-5519,7317.646203999375,18443.20121765549
3,glrt_all,forward,25,57639,STARLINK-30326,7336.93182359429,17721.255847386983
3,glrt_all,reverse,1,48583,STARLINK-2237,75.18983251798102,266.72161863771754
3,glrt_all,reverse,2,68972,STARLINK-37259,88.6630051278608,162.93766831147292
3,glrt_all,reverse,3,52536,STARLINK-3964,549.3927785187626,1630.5367623429613
3,glrt_all,reverse,4,55574,STARLINK-5747,553.7062071108484,3493.480762645392
3,glrt_all,reverse,5,65204,STARLINK-34787,876.9062634480774,4346.905664181075
3,glrt_all,reverse,6,68171,STARLINK-37034,1343.9271968161402,8910.73180995896
3,glrt_all,reverse,7,63560,STARLINK-11592,1370.535128580658,8493.363634411833
3,glrt_all,reverse,8,57991,STARLINK-30537,2410.4332391950043,10255.511659427511
3,glrt_all,reverse,9,58089,STARLINK-30584,2461.07661407067,6061.46037688478
3,glrt_all,reverse,10,48142,STARLINK-2485,2470.28604570192,13906.44293624233
3,glrt_all,reverse,11,59404,STARLINK-31374,2956.2908365909498,8136.251641049567
3,glrt_all,reverse,12,66967,STARLINK-36136,3209.2245048371124,13294.018559930497
3,glrt_all,reverse,13,57666,STARLINK-30301,3347.0143588959336,14337.119196165688
3,glrt_all,reverse,14,57527,STARLINK-30250,3564.045070563107,10937.085287818214
3,glrt_all,reverse,15,58631,STARLINK-31064,3891.194653698906,17554.5955763998
3,glrt_all,reverse,16,45064,STARLINK-1133,3984.353210397846,13373.146762685179
3,glrt_all,reverse,17,55393,STARLINK-4786,4044.9561507278995,12099.862629895391
3,glrt_all,reverse,18,50180,STARLINK-3265,4327.25778005296,16220.823409051318
3,glrt_all,reverse,19,53064,STARLINK-4313,4769.745132671266,18111.385703672375
3,glrt_all,reverse,20,63997,STARLINK-34165,4966.239393380012,18953.92354153083
3,glrt_all,reverse,21,60733,STARLINK-32253,5106.423531387039,20016.638766961933
3,glrt_all,reverse,22,64370,STARLINK-11732,5360.749238472179,18176.5047869819
3,glrt_all,reverse,23,63779,STARLINK-33881,5394.941468515361,19100.214493229654
3,glrt_all,reverse,24,45071,STARLINK-1167,5496.905456692212,19632.815073657206
3,glrt_all,reverse,25,57639,STARLINK-30326,5579.253529597751,19221.08179866374
3,glrt_pss_gated,forward,1,68972,STARLINK-37259,66.52046003926095,146.977723081375
3,glrt_pss_gated,forward,2,48583,STARLINK-2237,117.45678779008152,224.0482690203239
3,glrt_pss_gated,forward,3,52536,STARLINK-3964,470.2617288116541,1390.8291661738049
3,glrt_pss_gated,forward,4,58089,STARLINK-30584,1478.0378799558862,5245.313957410959
3,glrt_pss_gated,forward,5,55574,STARLINK-5747,1908.1495878993455,2698.9517788344306
3,glrt_pss_gated,forward,6,59404,STARLINK-31374,2205.36655883583,6958.176671726699
3,glrt_pss_gated,forward,7,65204,STARLINK-34787,2474.7531779218143,3350.5384096742887
3,glrt_pss_gated,forward,8,57527,STARLINK-30250,3230.7716024840947,9255.450082844653
3,glrt_pss_gated,forward,9,55393,STARLINK-4786,3508.6616289140397,10261.917929584206
3,glrt_pss_gated,forward,10,47993,STARLINK-2273,3562.168844788358,12784.312967083719
3,glrt_pss_gated,forward,11,57991,STARLINK-30537,3624.2912053093273,8484.541465600194
3,glrt_pss_gated,forward,12,68171,STARLINK-37034,3650.0813659710698,7231.680558050483
3,glrt_pss_gated,forward,13,45064,STARLINK-1133,4192.1396343534425,11231.651015816722
3,glrt_pss_gated,forward,14,61055,STARLINK-11268,4208.069155100113,14267.530267119055
3,glrt_pss_gated,forward,15,63560,STARLINK-11592,4503.977608231069,6710.487750057149
3,glrt_pss_gated,forward,16,66967,STARLINK-36136,4643.740286505926,11014.828714270936
3,glrt_pss_gated,forward,17,57666,STARLINK-30301,5077.9002858120075,11860.978723901939
3,glrt_pss_gated,forward,18,67812,STARLINK-36377,5323.315201978031,15962.220539222506
3,glrt_pss_gated,forward,19,64426,STARLINK-34432,5347.825135593628,14951.498222394292
3,glrt_pss_gated,forward,20,50180,STARLINK-3265,5407.738407800023,13516.95452796572
3,glrt_pss_gated,forward,21,48142,STARLINK-2485,5419.404403097609,11379.281885067001
3,glrt_pss_gated,forward,22,64370,STARLINK-11732,5682.534216770648,15304.233099808418
3,glrt_pss_gated,forward,23,62480,STARLINK-32743,6021.587038287396,18095.50681177579
3,glrt_pss_gated,forward,24,57223,STARLINK-5519,6063.328601554798,16489.299318648264
3,glrt_pss_gated,forward,25,53064,STARLINK-4313,6075.602378836612,15082.206215036256
3,glrt_pss_gated,reverse,1,68972,STARLINK-37259,91.10042632833441,114.46359217725437
3,glrt_pss_gated,reverse,2,48583,STARLINK-2237,95.87279778503645,245.72609255134975
3,glrt_pss_gated,reverse,3,52536,STARLINK-3964,529.6729415479834,1345.1108462165007
3,glrt_pss_gated,reverse,4,55574,STARLINK-5747,557.244720564756,3855.166448246265
3,glrt_pss_gated,reverse,5,65204,STARLINK-34787,692.5148401007817,4910.066852054807
