label,requested_hours,observed_span_hours,scan_count,episode_count,polish_episode_count,orbit_group_count,source_segment_count,point_count,coarse_latitude_deg,coarse_longitude_deg,coarse_error_km,coarse_runner_gap,grid_latitude_deg,grid_longitude_deg,grid_error_km,score_drop_10_cells,score_drop_10_extent_km,nominal_latitude_deg,nominal_longitude_deg,nominal_error_km,nominal_train_rms_hz,nominal_heldout_rms_hz,bounded_time_error_km,bounded_time_heldout_rms_hz
30m,0.5,0.33336627754666665,3,22,22,12,22,689,37.92222757799904,-122.36099531873332,12.452172443462832,107.54350641084238,37.86790261175278,-122.40144179328976,6.802379538599336,11,15.811388300841896,37.83884289003902,-122.36888275909747,9.848022183792091,123.26938817137851,532.2513693085942,9.854565619492439,524.8065911484449
1h,1.0,0.8332552219733333,6,43,43,25,43,1408,37.92222757799904,-122.36099531873332,12.452172443462832,259.470336826579,37.86790261175278,-122.40144179328976,6.802379538599336,3,5.0,37.87226701020199,-122.4095862458447,6.193214557989306,137.57502681297728,467.6703087986628,6.231244621498409,455.7165996393334
2h,2.0,1.6668264950044445,11,82,82,45,82,2849,37.92222757799904,-122.36099531873332,12.452172443462832,547.9739121907189,37.91055531967441,-122.41603837570857,7.908662316261248,3,5.0,37.89165197599061,-122.42683429677493,5.782855556570764,143.64636382850333,490.1314371158177,5.897254213937717,481.4822069751847
4h,4.0,3.833513371448889,23,161,154,87,154,5446,37.92222757799904,-122.36099531873332,12.452172443462832,1001.876067639377,37.91055531967441,-122.41603837570857,7.908662316261248,1,0.0,37.89478893559135,-122.42310615336089,6.25683647426226,155.30723567718115,669.7662750329818,6.2639773199984665,662.244472135871
8h,8.0,7.833403858631111,47,302,286,159,286,10561,37.92222757799904,-122.36099531873332,12.452172443462832,1965.0736585681757,37.91055531967441,-122.41603837570857,7.908662316261248,1,0.0,37.9055550078337,-122.42807936340486,6.78867850825821,148.04217083501024,587.4153501310582,6.768597676396733,576.4751364053624
