session_id,tracklet_id,receiver_id,channel,edge,start_utc_ns,end_utc_ns,span_s,observation_count,tle_attempt_state,production_score_state,production_leader,production_abstention_reasons,review_state,review_leader,review_leader_evaluation_rms_hz,review_runner,review_runner_evaluation_rms_hz,research_clear_leader_threshold_pass,cross_receiver_group,catalogue_exclusion_count,propagation_exclusion_count
scan-hop-01b11a5d776e7369,sha256:0b65b0f881c05ad4318b97afbef0b66873ef491115eeff0deb1febb92cb76bd0,1,3,lower,1789989751640927527,1789989760841311527,9.200384,12,not-attempted,not-scored,,,not-reviewed,,,,,,False,0,0
scan-hop-01b11a5d776e7369,sha256:0f73293afa9090ebbe5d034f05028db2dd79721c1f0eea299305ff486788f2c5,0,1,lower,1789989496606663127,1789989520040153527,23.4334904,54,not-attempted,not-scored,,,reviewed,68116,99.16550119710789,64372,324.61942056824273,True,False,0,0
scan-hop-01b11a5d776e7369,sha256:128f9fd8676bbdbc01b10eb5b1bae5052cf66198a5f15b59e59a9982c9cf04dd,0,4,lower,1789989592738639527,1789989622772067127,30.0334276,41,scored-group-member,non-abstaining,64184,,reviewed,67852,94.71941862561904,64071,3422.534672651116,True,True,0,0
scan-hop-01b11a5d776e7369,sha256:1798bd29ca3d104c3b50757cc1275d2778cf4f44a90c1a03277470b4669ad439,0,1,lower,1789989534890608727,1789989566917505927,32.0268972,73,scored-group-member,non-abstaining,59081,,reviewed,59081,137.80545512124516,65332,1463.0316939972388,True,True,0,0
scan-hop-01b11a5d776e7369,sha256:1dd2f82e7bce1e72bc9c9a4819b29f90a660567fe550df098c979aa680829c3b,1,1,lower,1789989732171857927,1789989746843962727,14.6721048,23,not-attempted,not-scored,,,reviewed,68115,171.5253817875925,59554,2293.126789838528,False,False,0,0
scan-hop-01b11a5d776e7369,sha256:1fa7e5bb48e51a722ce880ee64bf7e4b526b25c393c570be3626f3f6936d879b,1,1,lower,1789989702530429527,1789989729134566327,26.6041368,40,not-attempted,not-scored,,,reviewed,62478,134.4992586928031,52452,412.24195190510056,True,False,0,0
scan-hop-01b11a5d776e7369,sha256:2c16ec77c98c00b736d2683ea7d0ca2346063d0c98d6483840756ebd1bbb3086,1,1,lower,1789989760569045127,1789989776878686327,16.3096412,24,not-attempted,not-scored,,,reviewed,67175,61.577269422483006,67870,203.88077970459366,True,False,0,0
scan-hop-01b11a5d776e7369,sha256:2e5f2561359cc6a1629762e342f396ee6bcb76df64e8251009a900898ee8073c,1,3,lower,1789989777623475927,1789989796065295927,18.44182,15,not-attempted,not-scored,,,reviewed,65343,106.12856815240397,58057,821.3116032463952,True,False,0,0
scan-hop-01b11a5d776e7369,sha256:30078368301e66b566e1bbb4c45f75cb2e720f4eac07159ae0d942be098d683f,1,4,lower,1789989792110501127,1789989796449238327,4.3387372,10,not-attempted,not-scored,,,not-reviewed,,,,,,False,0,0
scan-hop-01b11a5d776e7369,sha256:304b1431fe52892d3e8c91f9b4632cc1e9bedd69d46576333d0155d82c102591,0,1,lower,1789989605833213527,1789989616519886727,10.6866732,11,not-attempted,not-scored,,,not-reviewed,,,,,,False,0,0
