beam_category,channel,confirmatory_after_prior_freeze,edge,evaluation_rms_ratio_rank2_over_rank1,identity_evidence_use,paired_points,pass_key,profile_rms_contrast,rank1_beam_rms_db,rank1_catalog_number,rank1_evaluation_rms_hz,rank1_training_rms_hz,rank2_beam_rms_db,rank2_catalog_number,rank2_evaluation_rms_hz,rank2_training_rms_hz,reason,receiver_id,reject_identity_on_missing_detection,reject_identity_on_response_mismatch,session_id,state,stratum,tracklet_id,visibility_status
,3,False,lower,0.7409023335936764,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:67079,-0.06896573382647823,,67079,63.233961365970565,41.80587037872095,,63570,46.85018953841997,41.87399016879115,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,weak-less-than-1.5,sha256:3b06bf2d54015d814c0296018eda81ff3eca8ec0ae84c02ed915587b05b2ca08,unobstructed-visibility-unknown
corroborates-rank-1,1,False,lower,26.699780939284846,descriptive-response-consistency-only,13,scan-hop-01b11a5d776e7369:68115,2.8873291272278205,1.3923578852963234,68115,90.6304358476196,56.085285342166976,4.6205919092355785,59554,2419.812783563352,1734.225299332136,,0,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:3d1e8495d40d9ebe7c6a4335ec6f333be4099d86a1531eb0daf67d0ab053b2b9,unobstructed-visibility-unknown
corroborates-rank-1,4,False,lower,56.545136082969734,descriptive-response-consistency-only,17,scan-hop-01b11a5d776e7369:68115,3.008307119546412,1.9190753174415265,68115,38.31596895498684,38.46960546119765,3.7451935619686276,52452,2166.5816787105746,2644.933995941971,,1,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:4d78ee5dbf004b071d269000c0a350b279ad14bc45cb1c0ab2da1de5aebde31d,unobstructed-visibility-unknown
corroborates-rank-1,1,False,lower,5.995703085998916,descriptive-response-consistency-only,16,scan-hop-01b11a5d776e7369:67870,1.4581883330541556,1.8662854133044526,67870,197.64332214002874,144.84927323790754,6.11256025241843,45369,1185.0106764820482,939.5430895796823,,0,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:5893fedf39488361e1e25998cd2ab7e864d5c19bd1a39cc4e480164c96c06ef0,unobstructed-visibility-unknown
,2,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:5b8b7ec352f6e0b016bd147cd0a932857df932a63116fc26f84fd49ac79a4816,,,,,,,,,,fewer-than-two-candidates,1,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:5b8b7ec352f6e0b016bd147cd0a932857df932a63116fc26f84fd49ac79a4816,unobstructed-visibility-unknown
,3,False,lower,0.9707253842510148,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:65348,-0.014635170730638287,,65348,102.55144638622008,42.55650725229858,,64184,99.54929219876084,43.06326989917655,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,weak-less-than-1.5,sha256:5e3c5e5403fb027185d81bc75dfb2b2d2401a7341f1240734b6ac6af2421b225,unobstructed-visibility-unknown
corroborates-rank-1,4,False,lower,6.5774749741738185,descriptive-response-consistency-only,10,scan-hop-01b11a5d776e7369:59554,1.4922996299919518,1.0246109628329048,59554,89.42103766744832,129.75008901313743,1.8575380080127353,68115,588.1646374222956,473.3993095942381,,0,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:6c8be18286e9133e439695b49199abaf4d15ddfaec5d55e13448642d82ac580b,unobstructed-visibility-unknown
corroborates-rank-1,2,False,lower,26.903327634044253,descriptive-response-consistency-only,16,scan-hop-01b11a5d776e7369:67852,2.946366724792628,1.7881711418603374,67852,118.40755948177073,143.74437391648573,3.105154973787025,64071,3185.557367085661,3066.5624052408007,,0,False,False,scan-hop-01b11a5d776e7369,scored,clear-at-least-3,sha256:793c7a4a4ec1e5e6c324e18c38b8953a4cc033a8a168a5d363aa06bcdbf9b3d4,unobstructed-visibility-unknown
,2,False,lower,0.8467112926603467,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:67852,-0.03917132644026001,,67852,60.22845126771319,32.2938659447006,,64071,50.996109827816134,37.45965144151538,fewer-than-three-paired-points,1,False,False,scan-hop-01b11a5d776e7369,unsupported,weak-less-than-1.5,sha256:7cbd112a28470511c1ba50769480cf9df3feeef61030092e8cd10912e84938b0,unobstructed-visibility-unknown
,1,False,lower,,descriptive-response-consistency-only,0,scan-hop-01b11a5d776e7369:unsupported:sha256:7ede0412a20fa804638c9e7b0a7b7ab1a6991b934aeb97a35c9578b92f7c3146,,,,,,,,,,fewer-than-two-candidates,0,False,False,scan-hop-01b11a5d776e7369,unsupported,,sha256:7ede0412a20fa804638c9e7b0a7b7ab1a6991b934aeb97a35c9578b92f7c3146,unobstructed-visibility-unknown
corroborates-rank-1,3,False,lower,2.210536558952858,descriptive-response-consistency-only,33,scan-hop-01b11a5d776e7369:65348,0.5397548178360816,2.1434499130577986,65348,127.43501120598462,147.57303258602713,3.3404433582335185,64184,281.69975116139614,287.28833272302484,,0,False,False,scan-hop-01b11a5d776e7369,scored,intermediate-1.5-to-3,sha256:882ad02fc9e219d6df03966d3ce3c868525c42731d2fac13bab62f47c7af3743,unobstructed-visibility-unknown
