exact_rank,east_km_from_iteration10,north_km_from_iteration10,latitude_deg,longitude_deg,balanced_proposal_objective,balanced_exact_capped_loss,group_00_tau_s,group_00_exact_loss,group_16_tau_s,group_16_exact_loss
1,0.02441420778179919,0.02441406249941309,37.85844764887144,-122.47868467931858,0.21619850743987054,0.05813939206926787,-0.75,0.039041720481670185,-0.5,0.07723706365686556
2,0.02441406249918674,0.024414062500204066,37.85844764887145,-122.47868468097157,0.21619852126381345,0.058139470907723576,-0.75,0.03904137793721068,-0.5,0.07723756387823648
3,0.02441391721782329,0.02441406249941309,37.85844764887144,-122.47868468262455,0.216198534167163,0.05813965985988066,-0.75,0.03904154784706083,-0.5,0.07723777187270049
4,0.02441420778179919,0.036621093749515124,37.858557305997294,-122.47868467931858,0.21619848368836123,0.05814188134240952,-0.75,0.039044866266642844,-0.5,0.07723889641817619
5,0.02441391721782329,0.036621093749515124,37.858557305997294,-122.47868468262455,0.2161985347315514,0.05814264650600229,-0.75,0.039045186034260555,-0.5,0.07724010697774403
6,0.02441406249918674,0.0366210937503061,37.8585573059973,-122.47868468097157,0.21619852835552172,0.058142844177548954,-0.75,0.0390449247606519,-0.5,0.07724076359444601
7,0.036621130069745475,0.024414062500204066,37.85844764887145,-122.47854579174252,0.2161985071601219,0.0581430797668695,-0.75,0.03904717638374724,-0.5,0.07723898314999177
8,0.03662098478838202,0.036621093749515124,37.858557305997294,-122.4785457933955,0.21619860519519823,0.05814645270259568,-0.75,0.039050579559422365,-0.5,0.07724232584576898
