visit_index,time_s,fixed_phase_deg,dwell_phase_deg,fixed_coherence,dwell_coherence,delta_f_hz
259,0.00081915,-70.48649651219135,-70.48649651218904,0.07136123224968331,0.07136123224968441,682434.861324057
259,0.0024575499999999998,-56.9744736380129,-56.9744736380028,0.035433779785244195,0.035433779785246165,682434.861324057
259,0.00409595,-56.14919745247559,-56.149197452451965,0.0742557706776073,0.07425577067760478,682434.861324057
259,0.005734349999999999,-34.252233174964786,-34.2522331749373,0.04630366189956357,0.04630366189955119,682434.861324057
259,0.007372749999999999,-87.81574024665389,-87.81574024663232,0.08356613012521252,0.08356613012519523,682434.861324057
259,0.009011149999999999,-101.87173713649237,-101.87173713645858,0.07227720216500816,0.07227720216501944,682434.861324057
259,0.010649549999999999,-90.86011409940559,-90.86011409935627,0.04584961577880272,0.045849615778802554,682434.861324057
259,0.012287949999999999,-111.35037918527838,-111.35037918521893,0.061476373132761414,0.06147637313274942,682434.861324057
259,0.01392635,-126.60820289447355,-126.60820289439813,0.03272550303054606,0.03272550303056638,682434.861324057
259,0.015564749999999999,-154.0580792951378,-154.05807929498548,0.07819979742598022,0.078199797425941,682434.861324057
259,0.01720315,-149.5078197892172,-149.50781978914017,0.07533525044664614,0.07533525044672472,682434.861324057
259,0.018841550000000002,-159.59064450248448,-159.59064450237264,0.059392780366551726,0.05939278036664883,682434.861324057
259,0.02047995,-165.56672977432638,-165.5667297741687,0.05143031852811657,0.0514303185281868,682434.861324057
259,0.02211835,-164.79379984194549,-164.7937998418891,0.038619795175589215,0.03861979517556843,682434.861324057
259,0.023756749999999997,156.89826630041924,156.8982663005498,0.08987769446626889,0.08987769446622101,682434.861324057
259,0.025395150000000002,146.76571630288691,146.76571630306086,0.05274455337622796,0.05274455337626407,682434.861324057
259,0.02703355,131.42851092671506,131.42851092690483,0.07351310846522992,0.07351310846532641,682434.861324057
259,0.028671949999999998,148.02889248433263,148.02889248433675,0.047932235745137504,0.04793223574508781,682434.861324057
