method,ds2_22_error_km,ds2_20_error_km,delta_km
baseline,3.1587684850065663,1.9390428000254638,1.2197256849811025
shared-time,3.1587684850065663,1.9390428000254638,1.2197256849811025
regularized-per-scan-time,3.1587684850065663,1.9390428000254638,1.2197256849811025
independent-track-time,3.8826597960994906,3.958188288776253,-0.07552849267676232
soft-identity,3.985056187920591,2.067651395941724,1.9174047919788668
equal-weight-joint-rate,3.2353434688405094,1.9236153537912815,1.311728115049228
