candidate,session_id,span_s,grid_points,probes,shared_display_cubic_rms_hz,own_cubic_full_rms_hz,own_cubic_heldout_rms_hz
STARLINK-32536,scan-hop-1b3fce30254553e0,64.01326424549436,512,118,113.21494819067797,113.21494819067881,135.35809416056645
STARLINK-32536,scan-hop-1b3fce30254553e0,64.01326424549436,8192,118,120.79693851048826,117.28504445864517,138.09848241208974
STARLINK-36469,scan-hop-12a4736937c06530,56.36603075654443,512,207,108.5193116781421,108.51931167814655,113.64159208626296
STARLINK-36469,scan-hop-12a4736937c06530,56.36603075654443,8192,207,87.45260042303333,81.51072284042718,89.5770260490837
STARLINK-30251,scan-hop-ec12164d9eaf2027,49.23599724013425,512,122,43.15535357070475,43.15535357070849,47.29240819997383
STARLINK-30251,scan-hop-ec12164d9eaf2027,49.23599724013425,8192,122,68.80389784252522,54.711563451674266,60.61689486755879
ALL (pooled),all,,512,447,96.6718415590963,96.6718415590993,106.89976226847888
ALL (pooled),all,,8192,447,93.19720645188774,86.74681124418152,98.75800664821705
