visit_index,frame_time_s,frame_time_in_dwell_s,device_counter_coordinate,new_dwell_segment,gap_from_previous_frame_s,tracker_segment_id,declared_differential_frequency_hz,declared_frequency_correction_cycles,cached_corrected_phase_deg,declared_uncorrected_gauge_phase_deg,tracker_removed_cycles,tracker_removed_phase_deg_wrapped,residual_phase_deg,reconstructed_declared_gauge_phase_deg,reconstruction_abs_error,cached_within_dwell_change_deg_processing_gauge,supported
259,0.000902327863025489,0.000902327863025489,492496349905.2786,True,,0,682434.861324057,615.7799900726324,-67.94707510678957,-147.15064895914048,,,,,,0.0,False
259,0.00223562786302549,0.00223562786302549,492496363238.2786,False,0.001333300000000001,0,682434.861324057,1525.670390675998,-68.24778668729357,173.0928566720146,,,,,,-0.3007115805039949,False
259,0.00356902786302549,0.00356902786302549,492496376572.2786,False,0.0013333999999999998,0,682434.861324057,2435.629034765496,-69.95930596035117,156.49320961814288,-0.19041249518832656,-68.54849826779757,-1.4108076925230635,156.49320961814288,0.0,-2.0122308535616082,True
259,0.00490232786302549,0.00490232786302549,492496389905.2786,False,0.0013333000000000004,0,682434.861324057,3345.519435368861,-65.98074256502306,121.01599022500733,-0.19908562564835774,-71.67082523340878,5.6900826684089205,121.01599022500733,0.0,1.9663325417665036,True
259,0.00623562786302549,0.00623562786302549,492496403238.2786,False,0.0013333,0,682434.861324057,4255.409835972226,-70.67487121356413,76.86607878767511,-0.17222827547137484,-62.00217916969496,-8.67269204373321,76.86607878767511,0.0,-2.727796106774575,True
259,0.00756902786302549,0.00756902786302549,492496416572.2786,False,0.0013334000000000002,0,682434.861324057,5165.368480061724,-85.05860191290571,47.59422030768315,-0.20935833295029227,-75.36899986210521,-9.68960205068447,47.59422030768315,1.5700924586837752e-16,-17.111526806116146,True
259,0.008902327863025488,0.008902327863025488,492496429905.2786,False,0.0013332999999999973,0,682434.861324057,6075.258880665087,-96.23501805209065,-3.0379786206203208,-0.2762287017006869,-99.4423326122473,3.2073145600343915,-3.0379786206203208,1.1123893155135927e-16,-28.28794294530108,True
259,0.010235627863025488,0.010235627863025488,492496443238.2786,False,0.0013333000000000008,0,682434.861324057,6985.149281268453,-105.80078832976156,-52.05953168675492,-0.2983650949757655,-107.41143419127559,1.6106458614011554,-52.05953168675492,0.0,-37.85371322297198,True
259,0.011569027863025485,0.011569027863025485,492496456572.2786,False,0.0013333999999999967,0,682434.861324057,7895.107925357948,-115.36002928268528,-76.50690042131127,-0.3204626627984235,-115.36655860743247,0.006529324771415232,-76.50690042131127,1.1102230246251565e-16,-47.41295417589569,True
259,0.012902327863025484,0.012902327863025484,492496469905.2786,False,0.001333299999999999,0,682434.861324057,8804.998325961313,-122.74068610189073,-123.34334002930785,-0.3469979728766916,-124.91927023560898,2.17858413351412,-123.34334002930785,1.5700924586837752e-16,-54.79361099510116,True
259,0.014235627863025485,0.014235627863025485,492496483238.2786,False,0.0013333000000000008,0,682434.861324057,9714.888726564679,-142.9243701589237,177.01719312552297,-0.3614481747808228,-130.12134292109621,-12.803027237803422,177.01719312552297,1.1188630228279524e-16,-74.97729505213411,True
259,0.015569027863025485,0.015569027863025485,492496496572.2786,False,0.0013334000000000002,0,682434.861324057,10624.847370654177,-146.40846789572944,158.64496760806682,-0.4530779283776573,-163.10805421595663,16.69958632026131,158.64496760806682,0.0,-78.46139278893986,True
259,0.016902327863025486,0.016902327863025486,492496509905.2786,False,0.0013333000000000008,0,682434.861324057,11534.737771257542,-151.2820324013595,114.31562031364558,-0.4163682378681533,-149.8925656325352,-1.3894667690332105,114.31562031364558,1.2412670766236366e-16,-83.33495729456992,True
259,0.018235627863025485,0.018235627863025485,492496523238.2786,False,0.001333299999999999,0,682434.861324057,12444.628171860906,-168.01647029270364,58.12539963351032,-0.4337655469638598,-156.15559690698953,-11.86087338551128,58.125399633510334,1.1102230246251565e-16,-100.06939518591406,True
259,0.019569027863025484,0.019569027863025484,492496536572.2786,False,0.0013333999999999985,0,682434.861324057,13354.586815950404,-172.74949797770972,38.50424416785385,-0.5131969671779105,175.2490918159522,12.00141020650475,38.50424416785385,1.1102230246251565e-16,-104.80242287092015,True
259,0.020902327863025486,0.020902327863025486,492496549905.2786,False,0.0013333000000000025,0,682434.861324057,14264.477216553769,-163.8428441566706,7.955115200101877,-0.49300701572976613,-177.4825256627158,13.639681506037604,7.955115200101877,0.0,-95.89576904988103,True
259,0.022235627863025485,0.022235627863025485,492496563238.2786,False,0.001333299999999999,0,682434.861324057,15174.367617157135,176.07358332226087,-51.58424010910293,-0.4303783064878652,-154.93619033563147,-28.990226342091564,-51.58424010910293,0.0,-115.97934157094957,True
259,0.023569027863025484,0.023569027863025484,492496576572.2786,False,0.0013333999999999985,0,682434.861324057,16084.326261246631,164.33323704212802,-78.21271417054105,0.4333055855588676,155.9900108011923,8.343226241021862,-78.21271417054105,2.7755575615628914e-17,-127.71968785108244,True
259,0.024902327863025486,0.024902327863025486,492496589905.2786,False,0.0013333000000000025,0,682434.861324057,16994.216661849998,136.24839205633558,-145.7533419444697,0.423869141005542,152.59289076199516,-16.344498705980946,-145.7533419444697,0.0,-155.80453283687487,True
259,0.026235627863025485,0.026235627863025485,492496603238.2786,False,0.001333299999999999,0,682434.861324057,17904.107062453364,125.68911561006507,164.2315988211235,0.3004542974181755,108.16354707054317,17.52556853904798,164.2315988211235,1.2412670766236366e-16,-166.36380928314537,True
259,0.027569027863025484,0.027569027863025484,492496616572.2786,False,0.0013333999999999985,0,682434.861324057,18814.06570654286,125.19027491432246,148.84463034407565,0.31980510878831825,115.12983916379456,10.060435750175786,148.84463034407565,0.0,-166.862649978888,True
259,0.028902327863025486,0.028902327863025486,492496629905.2786,False,0.0013333000000000025,0,682434.861324057,19723.956107146227,130.00265006087758,114.20122270249452,0.3463650950516107,124.69143421857989,5.311215842620392,114.20122270249452,0.0,-162.05027483233286,True
259,0.030235627863025485,0.030235627863025485,492496643238.2786,False,0.001333299999999999,0,682434.861324057,20633.84650774959,120.69236106993803,65.435150922109,0.3744861811317576,134.81502520743274,-14.122664137561243,65.435150922109,0.0,-171.36056382327243,True
259,0.031569027863025484,0.031569027863025484,492496656572.2786,False,0.0013333999999999985,0,682434.861324057,21543.805151839086,111.5514495869421,41.40611165780785,0.3093946446638846,111.38207207899846,0.16937750780117397,41.40611165780785,0.0,-180.50147530626836,True
259,0.03290232786302549,0.03290232786302549,492496669905.2786,False,0.0013333000000000095,0,682434.861324057,22453.695552442456,96.55696950667146,-13.044151209289424,0.284473716955406,102.41053810394615,-5.853568596905542,-13.044151209289423,2.7755575615628914e-17,-195.49595538653898,True
259,0.03423562786302549,0.03423562786302549,492496683238.2786,False,0.0013332999999999956,0,682434.861324057,23363.585953045822,64.89575913190488,-84.16114437219228,0.22656247062889123,81.56248942640084,-16.666730295110092,-84.16114437219228,1.3092278833360675e-16,-227.15716576130555,True
259,0.03556902786302549,0.03556902786302549,492496696572.2786,False,0.0013333999999999985,0,682434.861324057,24273.544597135322,47.76445614595897,-116.18057513813373,0.09231819099205085,33.234548757138306,14.529907388495023,-116.18057513813373,1.2412670766236366e-16,-244.2884687472515,True
259,0.03690232786302549,0.03690232786302549,492496709905.2786,False,0.0013333000000000025,0,682434.861324057,25183.434997738685,15.592181622329859,172.19136754879125,0.08509209211114739,30.633153160013048,-15.040971537685476,172.19136754879125,1.1102230246251565e-16,-276.4607432708806,True
259,0.03823562786302549,0.03823562786302549,492496723238.2786,False,0.0013333000000000025,0,682434.861324057,26093.32539834205,1.8443816190316646,118.98778475735675,-0.04605581361472015,-16.580092901299246,18.424474520308326,118.98778475735675,1.2412670766236366e-16,-290.20854327417874,True
259,0.03956902786302549,0.03956902786302549,492496736572.2786,False,0.0013333999999999985,0,682434.861324057,27003.284042431547,-27.38415858886863,74.87111676815123,-0.033065051067407036,-11.903418384266526,-15.480740205132934,74.87111676815123,1.1102230246251565e-16,-319.43708348207906,True
259,0.040902327863025494,0.040902327863025494,492496749905.2786,False,0.0013333000000000025,0,682434.861324057,27913.174443034914,-41.22680729598343,21.572685272900152,-0.15725749665769143,-56.61269879676892,15.385891501415053,21.572685272900152,1.2412670766236366e-16,-333.27973218919385,True
259,0.04223562786302549,0.04223562786302549,492496763238.2786,False,0.0013332999999999956,0,682434.861324057,28823.064843638276,-76.57416808514446,-53.23045830570683,-0.1529707111197173,-55.06945600309824,-21.50471208246945,-53.23045830570683,0.0,-368.6270929783549,True
259,0.04356902786302549,0.04356902786302549,492496776572.2786,False,0.0013333999999999985,0,682434.861324057,29733.023487727776,-95.65047769440484,-87.19489569496277,-0.31089313576195976,-111.92152887430551,16.271051180549833,-87.19489569496277,1.1188630228279524e-16,-387.70340258761524,True
259,0.04490232786302549,0.04490232786302549,492496789905.2786,False,0.0013333000000000025,0,682434.861324057,30642.91388833114,-125.63458301679007,-156.63478380679393,-0.3186855202879589,-114.72678730366519,-10.907795713273874,-156.63478380679393,5.551115123125783e-17,-417.6875079100005,True
259,0.04623562786302549,0.04623562786302549,492496803238.2786,False,0.0013333000000000025,0,682434.861324057,31552.8042889345,177.42651173487843,106.97052815542861,-0.432274134275487,-155.61868833917532,-26.954799925521232,106.97052815542861,0.0,-474.62641315833207,True
259,0.04756902786302549,0.04756902786302549,492496816572.2786,False,0.0013333999999999985,0,682434.861324057,32462.762933024005,133.70438210374093,48.36027074560518,0.3346877957959636,120.4876064865469,13.216775617318875,48.360270745605185,1.1102230246251565e-16,-518.3485427894697,True
259,0.048902327863025494,0.048902327863025494,492496829905.2786,False,0.0013333000000000025,0,682434.861324057,33372.65333362737,106.80265676230653,-17.997237383965484,0.24995070131278724,89.9822524726034,16.820404289760567,-17.997237383965487,5.551115123125783e-17,-545.2502681309039,True
259,0.05023562786302549,0.05023562786302549,492496843238.2786,False,0.0013332999999999956,0,682434.861324057,34282.543734230734,94.62029414472984,-69.6353827909881,0.22194703172464475,79.90093142087213,14.719362725041547,-69.6353827909881,5.551115123125783e-17,-557.4326307484806,True
259,0.05156902786302549,0.05156902786302549,492496856572.2786,False,0.0013333999999999985,0,682434.861324057,35192.502378320234,77.93559446850374,-101.20821024720975,0.2289942542420921,82.43793152715317,-4.502337058297786,-101.20821024720975,0.0,-574.1173304247068,True
