method,latitude_deg,longitude_deg,east_km_from_iteration10,north_km_from_iteration10,balanced_selection_objective,balanced_exact_capped_loss,all_converged,all_scale_guards_clear,postseal_error_km,reference_role
rate_only,37.856473820606084,-122.481184679656,-0.1953125,-0.1953125,0.08301452016090434,0.05803843540352721,True,True,0.9157611945275839,post-seal only
rate_only,37.85822833461974,-122.481184679656,-0.1953125,0.0,0.08304737215881776,0.05808206135769369,True,True,1.0952284953645908,post-seal only
rate_only,37.856473820606084,-122.47896245860316,0.0,-0.1953125,0.08306930434856338,0.05808159075392058,True,True,1.0147968996666552,post-seal only
rate_only,37.85998284863339,-122.481184679656,-0.1953125,0.1953125,0.08309523799143463,0.05812972495796122,True,True,1.2792791566827657,post-seal only
rate_only,37.85822833461974,-122.47896245860316,0.0,0.0,0.08310464283960134,0.058127202217584474,True,True,1.179285838445297,post-seal only
rate_only,37.856473820606084,-122.47674023755033,0.1953125,-0.1953125,0.08314702507904156,0.05813018521862301,True,True,1.138921002373856,post-seal only
rate_only,37.85998284863339,-122.47896245860316,0.0,0.1953125,0.0831550164117785,0.05817685905867298,True,True,1.351939437190531,post-seal only
rate_only,37.85822833461974,-122.47674023755033,0.1953125,0.0,0.08318486192996791,0.05817779079657856,True,True,1.2876478665961002,post-seal only
rate_only,37.85998284863339,-122.47674023755033,0.1953125,0.1953125,0.08323774307588545,0.058229449688803336,True,True,1.4474307647595526,post-seal only
common_plus_session_scale,37.856473820606084,-122.481184679656,-0.1953125,-0.1953125,0.09085949769086324,0.05694426596158933,True,True,0.9157611945275839,post-seal only
common_plus_session_scale,37.856473820606084,-122.47896245860316,0.0,-0.1953125,0.09088425561734366,0.05697743218267891,False,True,1.0147968996666552,post-seal only
common_plus_session_scale,37.85822833461974,-122.481184679656,-0.1953125,0.0,0.09090645915534537,0.056973234400947745,True,True,1.0952284953645908,post-seal only
common_plus_session_scale,37.856473820606084,-122.47674023755033,0.1953125,-0.1953125,0.09093292986776058,0.057014476882695966,True,True,1.138921002373856,post-seal only
common_plus_session_scale,37.85822833461974,-122.47896245860316,0.0,0.0,0.09093322039789155,0.05700724994257129,True,True,1.179285838445297,post-seal only
common_plus_session_scale,37.85998284863339,-122.481184679656,-0.1953125,0.1953125,0.09097097880732072,0.05700486618544391,True,True,1.2792791566827657,post-seal only
common_plus_session_scale,37.85822833461974,-122.47674023755033,0.1953125,0.0,0.09098395862055793,0.05704513968156963,True,True,1.2876478665961002,post-seal only
common_plus_session_scale,37.85998284863339,-122.47896245860316,0.0,0.1953125,0.09099981497646328,0.05703972724452998,True,True,1.351939437190531,post-seal only
common_plus_session_scale,37.85998284863339,-122.47674023755033,0.1953125,0.1953125,0.09105262312412238,0.05707846544162368,False,True,1.4474307647595526,post-seal only
