level,latitude_deg,longitude_deg,balanced_exact_capped_loss,balanced_selection_objective,postseal_error_km,reference_role
level1,37.856473820606084,-122.481184679656,0.05694426596158933,0.09085949769086324,0.9157611945275839,post-seal only
refinement,37.855596563599256,-122.48229576373605,0.05691586410787969,0.0908396338141099,0.7871880013564422,post-seal only
