scenario_id,estimator,history_s,frame_start_sample,reference_time_s,status,selected_history_s,estimate_rate_hz_s,rate_sigma_hz_s,receiver_truth_rate_hz_s,physical_truth_rate_hz_s,receiver_error_hz_s,physical_error_hz_s,receiver_covered_95,physical_covered_95,receiver_failure,physical_failure,step_phase,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm
P005,fixed_500ms_linear,0.5,-1,1.0,no_result,,,,-1499.9250028124063,-1500.0,,,,,,,no_result,cap-20260825T105640-facdadeffb3b,913004,-1500.0,0.0,300.0,-32.0,0.65,0.0,-300.0,25.0
P006,causal_20ms_linear,0.02,-1,1.0,no_result,,,,-3499.8250065622815,-3500.0,,,,,,,no_result,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0
P006,fixed_125ms_linear,0.125,-1,1.0,no_result,,,,-3499.8250065622815,-3500.0,,,,,,,no_result,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0
P006,fixed_500ms_linear,0.5,-1,1.0,no_result,,,,-3499.8250065622815,-3500.0,,,,,,,no_result,cap-20260825T111222-a2d4ce2afb9a,913005,-3500.0,800.0,300.0,-32.0,1.0,-750.0,-300.0,25.0
P007,causal_20ms_linear,0.02,55020000,0.0086688,warmup,,,,-5852.589367785984,-5852.589367785984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,55136667,0.0553356,warmup,,,,-5866.141375705896,-5866.141375705896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,55740000,0.2966688,warmup,,,,-5925.798783465984,-5925.798783465984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,55806667,0.3233356,warmup,,,,-5931.318793465896,-5931.318793465896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,56036667,0.4153356,warmup,,,,-5948.725130905896,-5948.725130905896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,56110000,0.44466880000000003,warmup,,,,-5953.741088745984,-5953.741088745984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,56130000,0.45266880000000004,warmup,,,,-5955.064283625984,-5955.064283625984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,56503333,0.602002,warmup,,,,-5976.2396387994,-5976.2396387994,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,56580000,0.6326688,warmup,,,,-5979.760168425984,-5979.760168425984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,57366667,0.9473356,warmup,,,,-5999.583969145896,-5999.583969145896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,57430000,0.9726688,warmup,,,,-5999.887950825984,-5999.887950825984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,58043333,1.2180019999999998,warmup,,,,-5992.8712691994,-5992.8712691994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,58093333,1.2380019999999998,warmup,,,,-5991.5032571994,-5991.5032571994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,58610000,1.4446687999999999,warmup,,,,-5970.340448745984,-5970.340448745984,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,58943333,1.578002,warmup,,,,-5949.8870531994,-5949.8870531994,,,,,,,transition,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,59190000,1.6766687999999998,warmup,,,,-5931.3179002659845,-5931.3179002659845,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,59763333,1.906002,warmup,,,,-5876.8740563994,-5876.8740563994,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,causal_20ms_linear,0.02,59856667,1.9433356,warmup,,,,-5866.517691865896,-5866.517691865896,,,,,,,post_history,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,55020000,0.0086688,warmup,,,,-5852.589367785984,-5852.589367785984,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
P007,fixed_125ms_linear,0.125,55136667,0.0553356,warmup,,,,-5866.141375705896,-5866.141375705896,,,,,,,pre_step,cap-20260825T105640-facdadeffb3b,913006,-6000.0,0.0,300.0,-24.0,0.35,750.0,300.0,0.0
