scenario_id,estimator,scope,estimator_no_result,background_session_id,seed,truth_rate_hz_s,truth_acceleration_hz_s2,truth_jerk_hz_s3,snr_db,frame_occupancy,alias_change_hz,cfo_step_hz,sample_clock_offset_ppm,receiver_count,receiver_bias,receiver_mse,receiver_rmse,receiver_median_absolute_error,receiver_failure_rate,receiver_coverage_95,physical_count,physical_bias,physical_mse,physical_rmse,physical_median_absolute_error,physical_failure_rate,physical_coverage_95
P009,fixed_500ms_linear,no_step,False,cap-20260825T062228-886fe2dd9cde,913008,3500.0,-800.0,-300.0,-24.0,1.0,-750.0,0.0,25.0,13,70.9437451890145,42152.85180524795,205.31159686010906,150.14083439972774,0.0,1.0,13,70.77767675038257,42122.047661242614,205.23656511753117,149.96046420035236,0.0,1.0
P010,causal_20ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913009,1500.0,0.0,-300.0,-24.0,0.35,-750.0,300.0,25.0,0,,,,,,,0,,,,,,
P010,fixed_125ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913009,1500.0,0.0,-300.0,-24.0,0.35,-750.0,300.0,25.0,0,,,,,,,0,,,,,,
P010,fixed_500ms_linear,all_complete,True,cap-20260825T105640-facdadeffb3b,913009,1500.0,0.0,-300.0,-24.0,0.35,-750.0,300.0,25.0,0,,,,,,,0,,,,,,
P011,causal_20ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913010,-1500.0,800.0,0.0,-24.0,0.65,750.0,-300.0,-25.0,0,,,,,,,0,,,,,,
P011,fixed_125ms_linear,all_complete,True,cap-20260825T111222-a2d4ce2afb9a,913010,-1500.0,800.0,0.0,-24.0,0.65,750.0,-300.0,-25.0,0,,,,,,,0,,,,,,
P011,fixed_500ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913010,-1500.0,800.0,0.0,-24.0,0.65,750.0,-300.0,-25.0,6,-194.01747782268782,67494.91399752544,259.7978329346214,244.0522049896183,0.0,0.8333333333333334,6,-194.0929427974996,67524.56154462867,259.8548855508179,244.1314746448851,0.0,0.8333333333333334
P011,fixed_500ms_linear,pre_step,False,cap-20260825T111222-a2d4ce2afb9a,913010,-1500.0,800.0,0.0,-24.0,0.65,750.0,-300.0,-25.0,5,-157.7919429341792,52847.11974340986,229.88501417754455,207.88011885474384,0.0,0.8,5,-157.86842308390496,52872.13335711744,229.93941236142498,207.96202867501802,0.0,0.8
P011,fixed_500ms_linear,transition,False,cap-20260825T111222-a2d4ce2afb9a,913010,-1500.0,800.0,0.0,-24.0,0.65,750.0,-300.0,-25.0,1,-375.145152265231,140733.88526810333,375.145152265231,375.145152265231,0.0,1.0,1,-375.21554136547275,140786.7024821848,375.21554136547275,375.21554136547275,0.0,1.0
P012,causal_20ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913011,-3500.0,-800.0,0.0,-24.0,1.0,0.0,-300.0,-25.0,0,,,,,,,0,,,,,,
P012,fixed_125ms_linear,all_complete,True,cap-20260825T062228-886fe2dd9cde,913011,-3500.0,-800.0,0.0,-24.0,1.0,0.0,-300.0,-25.0,0,,,,,,,0,,,,,,
P012,fixed_500ms_linear,all_complete,False,cap-20260825T062228-886fe2dd9cde,913011,-3500.0,-800.0,0.0,-24.0,1.0,0.0,-300.0,-25.0,10,164.92364201628544,35977.11724205144,189.67634866279835,179.9277446479391,0.0,1.0,10,164.72640464656524,35912.23555538156,189.5052388599892,179.7265230308078,0.0,1.0
P012,fixed_500ms_linear,post_history,False,cap-20260825T062228-886fe2dd9cde,913011,-3500.0,-800.0,0.0,-24.0,1.0,0.0,-300.0,-25.0,7,145.42950382648152,28609.346786406928,169.1429773487712,151.23780070262228,0.0,1.0,7,145.22618683839178,28550.35068592428,168.96849021614733,151.03599238482275,0.0,1.0
P012,fixed_500ms_linear,pre_step,False,cap-20260825T062228-886fe2dd9cde,913011,-3500.0,-800.0,0.0,-24.0,1.0,0.0,-300.0,-25.0,2,159.75090769955978,31165.67515779042,176.5380275118945,159.75090769955978,0.0,1.0,2,159.57579437816867,31109.744775977793,176.37954749907314,159.57579437816867,0.0,1.0
P012,fixed_500ms_linear,transition,False,cap-20260825T062228-886fe2dd9cde,913011,-3500.0,-800.0,0.0,-24.0,1.0,0.0,-300.0,-25.0,1,311.7280779783641,97174.39460008507,311.7280779783641,311.7280779783641,0.0,1.0,1,311.5291498405727,97050.41120039,311.5291498405727,311.5291498405727,0.0,1.0
P013,causal_20ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913012,-6000.0,800.0,0.0,-16.0,0.35,-750.0,0.0,25.0,170,-41.60340453653325,23732740.361153826,4871.626048985475,1973.6437338149483,0.8352941176470589,0.9529411764705882,170,-41.30101539435052,23732714.382513735,4871.623382663497,1973.642480565278,0.8352941176470589,0.9529411764705882
P013,causal_20ms_linear,no_step,False,cap-20260825T111222-a2d4ce2afb9a,913012,-6000.0,800.0,0.0,-16.0,0.35,-750.0,0.0,25.0,170,-41.60340453653325,23732740.361153826,4871.626048985475,1973.6437338149483,0.8352941176470589,0.9529411764705882,170,-41.30101539435052,23732714.382513735,4871.623382663497,1973.642480565278,0.8352941176470589,0.9529411764705882
P013,fixed_125ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913012,-6000.0,800.0,0.0,-16.0,0.35,-750.0,0.0,25.0,398,-36.956050789995516,55654.50407028051,235.91206851341988,183.89655264652038,0.010050251256281407,0.9748743718592965,398,-36.65743289335814,55632.42155890822,235.8652614500665,183.8916196188402,0.010050251256281407,0.9748743718592965
P013,fixed_125ms_linear,no_step,False,cap-20260825T111222-a2d4ce2afb9a,913012,-6000.0,800.0,0.0,-16.0,0.35,-750.0,0.0,25.0,398,-36.956050789995516,55654.50407028051,235.91206851341988,183.89655264652038,0.010050251256281407,0.9748743718592965,398,-36.65743289335814,55632.42155890822,235.8652614500665,183.8916196188402,0.010050251256281407,0.9748743718592965
P013,fixed_500ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913012,-6000.0,800.0,0.0,-16.0,0.35,-750.0,0.0,25.0,385,-194.68251473660462,38217.95306648316,195.49412540146358,195.31073103405288,0.0,0.0,385,-194.39183104812355,38104.65857880493,195.20414590577968,194.99402340862616,0.0,0.0
P013,fixed_500ms_linear,no_step,False,cap-20260825T111222-a2d4ce2afb9a,913012,-6000.0,800.0,0.0,-16.0,0.35,-750.0,0.0,25.0,385,-194.68251473660462,38217.95306648316,195.49412540146358,195.31073103405288,0.0,0.0,385,-194.39183104812355,38104.65857880493,195.20414590577968,194.99402340862616,0.0,0.0
P014,causal_20ms_linear,all_complete,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,639,122.13486785821615,9172206.317150759,3028.5650590916416,1665.7585503889932,0.8528951486697965,0.9311424100156495,639,121.83521765917631,9172131.676995706,3028.552736373548,1666.0486996743448,0.8528951486697965,0.9311424100156495
P014,causal_20ms_linear,post_history,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,281,-42.68739205424339,6644801.9862159,2577.7513429762575,1782.067419873284,0.8896797153024911,0.9395017793594306,281,-42.96481349407467,6644821.7291078335,2577.75517245293,1781.7902297779683,0.8896797153024911,0.9395017793594306
P014,causal_20ms_linear,pre_step,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,351,-17.690160775301138,6556353.103569736,2560.5376590805563,1499.9868635495923,0.8205128205128205,0.9373219373219374,351,-18.00768672979782,6556363.556638927,2560.539700266123,1500.2986114850046,0.8205128205128205,0.9373219373219374
P014,causal_20ms_linear,transition,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,7,13749.797737253319,241795791.3113841,15549.784285043446,15441.441073896258,1.0,0.2857142857142857,7,13749.502102601095,241787661.04867008,15549.522855980826,15441.145698281558,1.0,0.2857142857142857
P014,fixed_125ms_linear,all_complete,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,902,168.6104588537678,415381.9206506228,644.5012960814142,117.93439332779553,0.06097560975609756,0.9046563192904656,902,168.31312681500438,415283.0040548225,644.4245526474162,117.6626162301618,0.06097560975609756,0.9046563192904656
P014,fixed_125ms_linear,post_history,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,378,38.64500665125279,38994.12742871932,197.46930756124942,118.75238422795383,0.013227513227513227,0.9365079365079365,378,38.36932489717755,38973.22367226222,197.41637133799776,118.70336773800636,0.013227513227513227,0.9365079365079365
P014,fixed_125ms_linear,pre_step,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,468,35.42816556760332,28070.389990569776,167.54220361022405,98.3801597962838,0.00641025641025641,0.967948717948718,468,35.11286652056638,28048.141081702313,167.47579252447892,98.41697055187615,0.00641025641025641,0.967948717948718
P014,fixed_125ms_linear,transition,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,56,2158.900712255119,6192817.316843199,2488.537184139148,2638.592148080851,0.8392857142857143,0.16071428571428573,56,2158.6073936495673,6191551.0907696085,2488.282759408506,2638.2973590934853,0.8392857142857143,0.16071428571428573
P014,fixed_500ms_linear,all_complete,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,742,387.3554999667894,259336.2819629167,509.2507063941264,204.2638178316397,0.25067385444743934,0.0,742,387.06512435762073,259113.4207539676,509.0318465027189,203.98292131197968,0.25067385444743934,0.0
P014,fixed_500ms_linear,post_history,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,188,198.17733000930164,39631.41104785633,199.07639500417002,201.51216942831797,0.0,0.0,188,197.90968882593464,39525.52810992654,198.81028170073736,201.24444541336243,0.0,0.0
P014,fixed_500ms_linear,pre_step,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,304,186.13991460973514,34898.22734894364,186.8106724706692,190.05491745726658,0.0,0.0,304,185.8316720745469,34783.724988120586,186.50395434982227,189.75087571220865,0.0,0.0
P014,fixed_500ms_linear,transition,False,cap-20260825T062228-886fe2dd9cde,913013,6000.0,-800.0,0.0,-16.0,0.65,750.0,300.0,25.0,250,774.2956355689983,697471.0193016334,835.1473039539991,890.4759571011591,0.744,0.0,250,774.0098898536663,697028.4260735565,834.8822827641969,890.1899142311518,0.744,0.0
P015,causal_20ms_linear,all_complete,False,cap-20260825T105640-facdadeffb3b,913014,3500.0,0.0,300.0,-16.0,1.0,0.0,0.0,-25.0,1476,-8.60878564578489,4710706.242561054,2170.416145019442,1406.9148752371136,0.8218157181571816,0.9471544715447154,1476,-8.431349282145149,4710703.061030284,2170.415412088267,1407.094890201495,0.8224932249322493,0.9471544715447154
P015,causal_20ms_linear,no_step,False,cap-20260825T105640-facdadeffb3b,913014,3500.0,0.0,300.0,-16.0,1.0,0.0,0.0,-25.0,1476,-8.60878564578489,4710706.242561054,2170.416145019442,1406.9148752371136,0.8218157181571816,0.9471544715447154,1476,-8.431349282145149,4710703.061030284,2170.415412088267,1407.094890201495,0.8224932249322493,0.9471544715447154
P015,fixed_125ms_linear,all_complete,False,cap-20260825T105640-facdadeffb3b,913014,3500.0,0.0,300.0,-16.0,1.0,0.0,0.0,-25.0,1406,-5.130464312310622,26404.52018166461,162.49467739487534,115.84749865532035,0.0,0.930298719772404,1406,-4.953230831419652,26402.70310151131,162.48908609968643,115.96496079412327,0.0,0.930298719772404
P015,fixed_125ms_linear,no_step,False,cap-20260825T105640-facdadeffb3b,913014,3500.0,0.0,300.0,-16.0,1.0,0.0,0.0,-25.0,1406,-5.130464312310622,26404.52018166461,162.49467739487534,115.84749865532035,0.0,0.930298719772404,1406,-4.953230831419652,26402.70310151131,162.48908609968643,115.96496079412327,0.0,0.930298719772404
P015,fixed_500ms_linear,all_complete,False,cap-20260825T105640-facdadeffb3b,913014,3500.0,0.0,300.0,-16.0,1.0,0.0,0.0,-25.0,1139,-5.21579071081184,1349.1150125972595,36.730301014247885,33.07967747576231,0.0,0.5803336259877085,1139,-5.038916965128045,1347.2131930810008,36.704402911381095,32.89994220547396,0.0,0.5812115891132572
P015,fixed_500ms_linear,no_step,False,cap-20260825T105640-facdadeffb3b,913014,3500.0,0.0,300.0,-16.0,1.0,0.0,0.0,-25.0,1139,-5.21579071081184,1349.1150125972595,36.730301014247885,33.07967747576231,0.0,0.5803336259877085,1139,-5.038916965128045,1347.2131930810008,36.704402911381095,32.89994220547396,0.0,0.5812115891132572
P016,causal_20ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,184,-59.973794878903156,11138173.99417253,3337.390296949479,1883.1631329133138,0.8858695652173914,0.9456521739130435,184,-59.899183552310205,11138168.362963438,3337.389453294811,1883.2795800248402,0.8858695652173914,0.9456521739130435
P016,causal_20ms_linear,post_history,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,70,-202.09784474754863,7187590.954514084,2680.9682867415804,1654.1158100748994,0.8428571428571429,0.9857142857142858,70,-201.99774319132655,7187548.530965807,2680.960374747416,1654.2272868227417,0.8428571428571429,0.9857142857142858
P016,causal_20ms_linear,pre_step,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,112,-226.76005335133246,10110125.067257175,3179.64228605313,2242.793025716598,0.9107142857142857,0.9375,112,-226.70146209735216,10110101.828561556,3179.6386317570045,2242.796232634116,0.9107142857142857,0.9375
P016,causal_20ms_linear,transition,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,2,14254.398424979729,206979320.28947812,14386.775882367741,14254.398424979729,1.0,0.0,2,14254.478002335614,206981588.40938604,14386.85470870496,14254.478002335614,1.0,0.0
P016,fixed_125ms_linear,all_complete,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,415,93.14814069843857,520372.5774130005,721.368544790387,232.12561673676782,0.17349397590361446,0.8192771084337349,415,93.22589470024091,520386.0784344909,721.3779026519255,232.22297184042577,0.17349397590361446,0.8192771084337349
P016,fixed_125ms_linear,post_history,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,162,-88.27787667542431,89505.19740423076,299.174192410092,204.79837542357996,0.1111111111111111,0.9074074074074074,162,-88.17617795070956,89486.13392668862,299.142330549671,204.7986565665251,0.1111111111111111,0.9074074074074074
P016,fixed_125ms_linear,pre_step,False,cap-20260825T111222-a2d4ce2afb9a,913015,1500.0,800.0,300.0,-16.0,0.35,0.0,300.0,-25.0,228,-27.4960960118998,125737.34036535052,354.5946141234389,225.84007088892258,0.13596491228070176,0.8333333333333334,228,-27.43580469274914,125732.85769986073,354.58829323577606,225.89802642344273,0.13596491228070176,0.8333333333333334
