left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_absolute_cfo_hz,left_rx1_candidate_rank,right_rx0_absolute_cfo_hz,right_rx0_candidate_rank,right_rx1_absolute_cfo_hz,right_rx1_candidate_rank
1795,1796,5,2,326,evaluation,494578654862,494579854862,494579856078,494581056078,1216,False,-7400.0,0,,,-7723.526245709159,0,674413.8629117445,0
1803,1804,6,3,327,evaluation,494589683215,494590883215,494590883433,494592083433,218,False,,,,,,,,
1805,1806,7,4,328,evaluation,494592288847,494593488847,494593491797,494594691797,2950,True,-16535.532477394445,0,665571.2768437213,0,-16938.01577441208,0,665172.3592170897,0
1806,1807,7,4,328,evaluation,494593491797,494594691797,494594697320,494595897320,5523,True,-16938.01577441208,0,665172.3592170897,0,-17331.482653502026,0,664823.2577473039,0
1809,1810,6,3,329,evaluation,494597501482,494598701482,494598705515,494599905515,4033,False,,,,,,,,
1815,1816,5,2,330,evaluation,494605727848,494606927848,494606933483,494608133483,5635,True,-15755.506041689601,0,666386.2768070968,0,-16080.27190779749,0,666012.9683121532,0
1821,1822,4,1,331,evaluation,494613961660,494615161660,494615161728,494616361728,68,False,-15633.168153202045,0,,,-16062.336987485643,0,,
1822,1823,4,1,331,evaluation,494615161728,494616361728,494616368451,494617568451,6723,False,-16062.336987485643,0,,,-16353.810628263687,1,,
1825,1826,4,1,332,evaluation,494619174269,494620374269,494620381869,494621581869,7600,False,-17170.30726869742,1,664956.748753584,0,-17505.936873598723,0,,
1827,1828,6,3,333,evaluation,494621785892,494622985892,494622986373,494624186373,481,False,,,,,,,,
1828,1829,6,3,333,evaluation,494622986373,494624186373,494624187191,494625387191,818,False,,,,,,,,
1831,1832,4,1,334,evaluation,494626992107,494628192107,494628194246,494629394246,2139,False,-19404.74038036086,0,,,-19847.10063164757,0,,
1832,1833,4,1,334,evaluation,494628194246,494629394246,494629401689,494630601689,7443,False,-19847.10063164757,0,,,,,,
1838,1839,5,2,335,evaluation,494636423819,494637623819,494637627143,494638827143,3324,False,-24904.134202631598,0,,,-25261.287985625677,0,,
1845,1846,5,2,336,evaluation,494646058126,494647258126,494647265447,494648465447,7321,False,,,,,,,,
1849,1850,4,1,337,evaluation,494651481814,494652681814,494652683637,494653883637,1823,False,,,,,,,,
1851,1852,7,4,338,evaluation,494654086660,494655286660,494655290756,494656490756,4096,False,,,,,,,,
1852,1853,7,4,338,evaluation,494655290756,494656490756,494656497867,494657697867,7111,False,,,,,,,,
1853,1854,7,4,338,evaluation,494656497867,494657697867,494657700492,494658900492,2625,False,,,,,,,,
1856,1857,5,2,339,evaluation,494660508142,494661708142,494661711249,494662911249,3107,False,,,,,,,,
1861,1862,4,1,340,evaluation,494667322594,494668522594,494668528845,494669728845,6251,False,,,,,,,,
1863,1864,7,4,341,evaluation,494669934178,494671134178,494671137941,494672337941,3763,False,,,,,,,,
1889,1890,5,2,342,evaluation,494706228965,494707428965,494707434117,494708634117,5152,False,,,,,,,,
1895,1896,4,1,343,evaluation,494714447692,494715647692,494715647985,494716847985,293,False,-12777.88622625405,0,,,,,,
1900,1901,5,2,344,evaluation,494721263200,494722463200,494722472415,494723672415,9215,False,,,,,,,,
1907,1908,5,2,345,evaluation,494730902236,494732102236,494732110902,494733310902,8666,False,,,,,,,,
1909,1910,4,1,346,evaluation,494733511412,494734711412,494734717550,494735917550,6138,False,,,,,,,,
1911,1912,5,2,347,evaluation,494736117829,494737317829,494737323251,494738523251,5422,False,,,,,,,,
1913,1914,4,1,348,evaluation,494738727220,494739927220,494739930839,494741130839,3619,False,,,,,,,,
1920,1921,4,1,349,evaluation,494748351725,494749551725,494749555553,494750755553,3828,False,,,,,,,,
1923,1924,5,2,350,evaluation,494752371811,494753571811,494753574420,494754774420,2609,False,,,,,,,,
1924,1925,5,2,350,evaluation,494753574420,494754774420,494754781832,494755981832,7412,False,,,,,-26340.0516796328,0,,
1928,1929,7,4,351,evaluation,494759002537,494760202537,494760209960,494761409960,7423,False,,,,,,,,
1929,1930,7,4,351,evaluation,494760209960,494761409960,494761414448,494762614448,4488,False,,,,,,,,
1932,1933,6,3,352,evaluation,494764226186,494765426186,494765429079,494766629079,2893,False,,,,,,,,
1935,1936,5,2,353,evaluation,494768234056,494769434056,494769439911,494770639911,5855,False,,,,,,,,
1940,1941,5,2,354,evaluation,494775049102,494776249102,494776255791,494777455791,6689,False,,,,,-31847.129642739776,0,,
1944,1945,4,1,355,evaluation,494780473762,494781673762,494781679637,494782879637,5875,False,,,,,,,,
1945,1946,4,1,355,evaluation,494781679637,494782879637,494782881272,494784081272,1635,False,,,,,,,,
1946,1947,4,1,355,evaluation,494782881272,494784081272,494784088328,494785288328,7056,False,,,,,,,,
1947,1948,4,1,355,evaluation,494784088328,494785288328,494785294337,494786494337,6009,False,,,,,,,,
1949,1950,5,2,356,evaluation,494786697481,494787897481,494787898311,494789098311,830,False,,,,,,,,
1959,1960,6,3,357,evaluation,494800532902,494801732902,494801737409,494802937409,4507,False,,,,,,,,
1962,1963,5,2,358,evaluation,494804545735,494805745735,494805746112,494806946112,377,False,,,,,,,,
1965,1966,7,4,359,evaluation,494808551266,494809751266,494809757664,494810957664,6398,False,,,,,,,,
1970,1971,5,2,360,evaluation,494815370698,494816570698,494816571599,494817771599,901,False,,,,,,,,
1972,1973,6,3,361,evaluation,494817977731,494819177731,494819180579,494820380579,2848,False,,,,,,,,
1973,1974,6,3,361,evaluation,494819180579,494820380579,494820381933,494821581933,1354,False,,,,,,,,
1981,1982,5,2,362,evaluation,494830207745,494831407745,494831411426,494832611426,3681,False,,,,,,,,
1983,1984,4,1,363,evaluation,494832818962,494834018962,494834024207,494835224207,5245,False,,,,,,,,
1984,1985,4,1,363,evaluation,494834024207,494835224207,494835228750,494836428750,4543,False,,,,,,,,
1986,1987,7,4,364,evaluation,494836633117,494837833117,494837840325,494839040325,7208,False,,,,,,,,
1997,1998,7,4,365,evaluation,494851895071,494853095071,494853095816,494854295816,745,False,,,,,,,,
2011,2012,5,2,366,evaluation,494871383338,494872583338,494872589102,494873789102,5764,False,,,,,,,,
2015,2016,6,3,367,evaluation,494876793371,494877993371,494878000179,494879200179,6808,False,,,,,,,,
2017,2018,4,1,368,evaluation,494879402029,494880602029,494880604913,494881804913,2884,False,,,,,,,,
2018,2019,4,1,368,evaluation,494880604913,494881804913,494881806065,494883006065,1152,False,,,,,,,,
2025,2026,7,4,369,evaluation,494890227868,494891427868,494891428929,494892628929,1061,False,,,,,,,,
2026,2027,7,4,369,evaluation,494891428929,494892628929,494892636303,494893836303,7374,False,,,,,,,,
2028,2029,6,3,370,evaluation,494894041958,494895241958,494895246006,494896446006,4048,False,,,,,,,,
2030,2031,4,1,371,evaluation,494896648757,494897848757,494897852004,494899052004,3247,False,,,,,,,,
2034,2035,7,4,372,evaluation,494902071484,494903271484,494903273358,494904473358,1874,False,,,,,,,,
2035,2036,7,4,372,evaluation,494903273358,494904473358,494904478647,494905678647,5289,False,,,,,,,,
2049,2050,6,3,373,evaluation,494922726245,494923926245,494923931660,494925131660,5415,False,,,,,,,,
2051,2052,4,1,374,evaluation,494925336068,494926536068,494926539773,494927739773,3705,False,,,,,,,,
2055,2056,4,1,375,evaluation,494930751952,494931951952,494931953327,494933153327,1375,False,,,,,,,,
2056,2057,4,1,375,evaluation,494931953327,494933153327,494933153607,494934353607,280,False,,,,,,,,
2057,2058,4,1,375,evaluation,494933153607,494934353607,494934359205,494935559205,5598,False,,,,,,,,
2072,2073,6,3,376,evaluation,494954003168,494955203168,494955205202,494956405202,2034,False,,,,,,,,
2074,2075,5,2,377,evaluation,494956610798,494957810798,494957812659,494959012659,1861,False,,,,,,,,
2075,2076,5,2,377,evaluation,494957812659,494959012659,494959018517,494960218517,5858,False,,,,,,,,
2076,2077,5,2,377,evaluation,494959018517,494960218517,494960225315,494961425315,6798,False,,,,,,,,
2080,2081,5,2,378,evaluation,494964440771,494965640771,494965643352,494966843352,2581,False,,,,,,,,
2090,2091,7,4,379,evaluation,494978273630,494979473630,494979480299,494980680299,6669,False,,,,,,,,
2094,2095,5,2,380,evaluation,494983688237,494984888237,494984892510,494986092510,4273,False,,,,,,,,
2095,2096,5,2,380,evaluation,494984892510,494986092510,494986097919,494987297919,5409,False,,,,,,,,
2096,2097,5,2,380,evaluation,494986097919,494987297919,494987302164,494988502164,4245,False,,,,,,,,
2099,2100,5,2,381,evaluation,494990106190,494991306190,494991313061,494992513061,6871,False,,,,,,,,
2100,2101,5,2,381,evaluation,494991313061,494992513061,494992516734,494993716734,3673,False,,,,,,,,
2101,2102,5,2,381,evaluation,494992516734,494993716734,494993721978,494994921978,5244,False,,,,,,,,
2111,2112,6,3,382,evaluation,495006351185,495007551185,495007557015,495008757015,5830,False,,,,,,,,
2113,2114,5,2,383,evaluation,495008959006,495010159006,495010160559,495011360559,1553,False,,,,,,,,
2115,2116,4,1,384,evaluation,495011562968,495012762968,495012765404,495013965404,2436,False,,,,,,,,
2116,2117,4,1,384,evaluation,495012765404,495013965404,495013965623,495015165623,219,False,,,,,,,,
2117,2118,4,1,384,evaluation,495013965623,495015165623,495015167906,495016367906,2283,False,,,,,,,,
2118,2119,4,1,384,evaluation,495015167906,495016367906,495016373864,495017573864,5958,False,,,,,,,,
2119,2120,4,1,384,evaluation,495016373864,495017573864,495017574321,495018774321,457,False,,,,,,,,
2131,2132,5,2,385,evaluation,495033016630,495034216630,495034223093,495035423093,6463,False,,,,,,,,
2133,2134,7,4,386,evaluation,495035627324,495036827324,495036828051,495038028051,727,False,,,,,,,,
2135,2136,5,2,387,evaluation,495038229970,495039429970,495039434450,495040634450,4480,False,,,,,,,,
2137,2138,6,3,388,evaluation,495040840543,495042040543,495042040760,495043240760,217,False,,,,,,,,
2140,2141,7,4,389,evaluation,495044854021,495046054021,495046057707,495047257707,3686,False,,,,,,,,
2141,2142,7,4,389,evaluation,495046057707,495047257707,495047261094,495048461094,3387,False,,,,,,,,
2143,2144,5,2,390,evaluation,495048666149,495049866149,495049871505,495051071505,5356,False,,,,,,,,
2152,2153,5,2,391,evaluation,495061107496,495062307496,495062310396,495063510396,2900,False,,,,,,,,
2153,2154,5,2,391,evaluation,495062310396,495063510396,495063516959,495064716959,6563,False,,,,,,,,
2163,2164,5,2,392,evaluation,495076158326,495077358326,495077358527,495078558527,201,False,,,,,,,,
2166,2167,5,2,393,evaluation,495080165690,495081365690,495081370674,495082570674,4984,False,,,,,,,,
2167,2168,5,2,393,evaluation,495081370674,495082570674,495082570902,495083770902,228,False,,,,,,,,
2176,2177,5,2,394,evaluation,495093814763,495095014763,495095016932,495096216932,2169,False,,,,,,,,
2186,2187,7,4,395,evaluation,495107645449,495108845449,495108850437,495110050437,4988,False,,,,,,,,
2192,2193,5,2,396,evaluation,495115865170,495117065170,495117071849,495118271849,6679,False,,,,,,,,
2196,2197,7,4,397,evaluation,495121280473,495122480473,495122485409,495123685409,4936,False,,,,,,,,
2202,2203,6,3,398,evaluation,495129501515,495130701515,495130708038,495131908038,6523,False,,,,,,,,
2203,2204,6,3,398,evaluation,495130708038,495131908038,495131910398,495133110398,2360,False,,,,,-269032.0788071361,0,,
2207,2208,5,2,399,evaluation,495136116094,495137316094,495137316626,495138516626,532,False,,,,,,,,
2211,2212,6,3,400,evaluation,495141524824,495142724824,495142726314,495143926314,1490,False,,,,,,,,
2212,2213,6,3,400,evaluation,495142726314,495143926314,495143932025,495145132025,5711,False,,,,,,,,
