left_visit,right_visit,target_index,channel,overlapping_edge_group,split,left_start_counter,left_end_counter_exclusive,right_start_counter,right_end_counter_exclusive,gap_samples,all_four_sparse_acquisitions_pass,left_rx0_absolute_cfo_hz,left_rx0_candidate_rank,left_rx1_absolute_cfo_hz,left_rx1_candidate_rank,right_rx0_absolute_cfo_hz,right_rx0_candidate_rank,right_rx1_absolute_cfo_hz,right_rx1_candidate_rank
1118,1119,7,4,203,evaluation,493659936896,493661136896,493661140667,493662340667,3771,False,,,,,,,,
1119,1120,7,4,203,evaluation,493661140667,493662340667,493662345573,493663545573,4906,False,,,,,,,,
1120,1121,7,4,203,evaluation,493662345573,493663545573,493663551560,493664751560,5987,False,,,,,,,,
1129,1130,4,1,204,evaluation,493674782707,493675982707,493675983762,493677183762,1055,True,125899.89765838976,1,808013.9429773665,0,125880.95014582243,0,580043.511542942,0
1130,1131,4,1,204,evaluation,493675983762,493677183762,493677184073,493678384073,311,True,125880.95014582243,0,580043.511542942,0,124997.77610283534,0,807136.0766057364,0
1131,1132,4,1,204,evaluation,493677184073,493678384073,493678384949,493679584949,876,False,124997.77610283534,0,807136.0766057364,0,,,,
1132,1133,4,1,204,evaluation,493678384949,493679584949,493679590320,493680790320,5371,False,,,,,,,806321.539894425,0
1133,1134,4,1,204,evaluation,493679590320,493680790320,493680797268,493681997268,6948,False,,,806321.539894425,0,123693.59021070987,0,805898.8103732886,0
1146,1147,6,3,205,evaluation,493697644441,493698844441,493698847893,493700047893,3452,False,,,,,,,,
1149,1150,4,1,206,evaluation,493701659416,493702859416,493702865537,493704065537,6121,True,116088.07835230976,0,798378.7764677167,0,115729.54244272364,0,797936.1630599694,0
1153,1154,7,4,207,evaluation,493707071048,493708271048,493708323518,493709523518,52470,False,,,,,,,,
1156,1157,5,2,208,evaluation,493711130836,493712330836,493712331192,493713531192,356,True,113001.16946737844,0,795227.3921331347,0,112504.57712955232,0,794813.541713432,0
1157,1158,5,2,208,evaluation,493712331192,493713531192,493713540456,493714740456,9264,True,112504.57712955232,0,794813.541713432,0,112086.93950163986,0,794353.8464639717,0
1163,1164,7,4,209,evaluation,493720561034,493721761034,493721766789,493722966789,5755,False,,,,,,,,
1174,1175,7,4,210,evaluation,493735799546,493736999546,493737006810,493738206810,7264,False,,,,,,,,
1181,1182,6,3,211,evaluation,493745425460,493746625460,493746626001,493747826001,541,False,,,,,,,,
1183,1184,5,2,212,evaluation,493748026915,493749226915,493749248189,493750448189,21274,False,36505.46080517507,0,851213.2754587872,0,,,,
1185,1186,7,4,213,evaluation,493750653608,493751853608,493751860007,493753060007,6399,False,,,,,,,,
1186,1187,7,4,213,evaluation,493751860007,493753060007,493753067118,493754267118,7111,False,,,,,,,,
1190,1191,4,1,214,evaluation,493757276861,493758476861,493758477011,493759677011,150,False,95827.62092223513,0,778018.7148387423,0,,,,
1191,1192,4,1,214,evaluation,493758477011,493759677011,493759683476,493760883476,6465,False,,,,,94999.70143626753,0,777076.7498421292,0
1200,1201,6,3,215,evaluation,493770920672,493772120672,493772123120,493773323120,2448,False,,,,,,,,
1215,1216,6,3,216,evaluation,493791765649,493792965649,493792966431,493794166431,782,False,,,,,,,,
1216,1217,6,3,216,evaluation,493792966431,493794166431,493794170237,493795370237,3806,False,,,,,,,,
1222,1223,6,3,217,evaluation,493801184948,493802384948,493802385404,493803585404,456,False,,,,,,,,
1232,1233,5,2,218,evaluation,493815010333,493816210333,493816215447,493817415447,5114,False,,,,,,,,
1235,1236,6,3,219,evaluation,493819022234,493820222234,493820228201,493821428201,5967,False,,,,,,,,
1237,1238,5,2,220,evaluation,493821632744,493822832744,493822837076,493824037076,4332,False,71584.53888339968,0,753800.42911362,0,,,,
1244,1245,5,2,221,evaluation,493831263844,493832463844,493832470880,493833670880,7036,False,,,,,,,,
1253,1254,6,3,222,evaluation,493843702772,493844902772,493844906652,493846106652,3880,False,,,,,,,,
1257,1258,7,4,223,evaluation,493849116866,493850316866,493850317104,493851517104,238,False,,,,,,,,
1259,1260,6,3,224,evaluation,493851717481,493852917481,493852926798,493854126798,9317,False,,,,,,,,
1263,1264,4,1,225,evaluation,493857133882,493858333882,493858341407,493859541407,7525,False,59385.51356131199,0,,,59000.235801322066,0,741089.5786605745,0
1266,1267,5,2,226,evaluation,493861152803,493862352803,493862356458,493863556458,3655,False,,,,,56586.28011156776,0,,
1267,1268,5,2,226,evaluation,493862356458,493863556458,493863557603,493864757603,1145,False,56586.28011156776,0,,,,,,
1271,1272,6,3,227,evaluation,493867773181,493868973181,493868975625,493870175625,2444,False,,,,,,,,
1273,1274,7,4,228,evaluation,493870376825,493871576825,493871578416,493872778416,1591,False,,,,,,,,
1276,1277,6,3,229,evaluation,493874391409,493875591409,493875593759,493876793759,2350,False,,,,,,,,
1280,1281,5,2,230,evaluation,493879807037,493881007037,493881013127,493882213127,6090,False,50272.155444132804,0,,,,,,
1283,1284,6,3,231,evaluation,493883825618,493885025618,493885027652,493886227652,2034,False,,,,,,,,
1287,1288,4,1,232,evaluation,493889242073,493890442073,493890442539,493891642539,466,False,,,,,,,,
1292,1293,4,1,233,evaluation,493896055556,493897255556,493897257026,493898457026,1470,False,,,,,,,,
1298,1299,5,2,234,evaluation,493904284130,493905484130,493905485087,493906685087,957,False,41471.825270820525,0,,,41056.60434975417,0,495906.3594417109,0
1308,1309,4,1,235,evaluation,493918243826,493919443826,493919451749,493920651749,7923,False,,,877040.7982470165,0,,,876683.8608757646,0
1309,1310,4,1,235,evaluation,493919451749,493920651749,493920654243,493921854243,2494,False,,,876683.8608757646,0,,,876381.8784793605,0
1311,1312,6,3,236,evaluation,493922124565,493923324565,493923330582,493924530582,6017,False,,,,,,,,
1314,1315,7,4,237,evaluation,493926141406,493927341406,493927348370,493928548370,6964,False,,,,,,,880874.3242647304,0
1318,1319,7,4,238,evaluation,493931556670,493932756670,493932762368,493933962368,5698,False,,,879481.9284383407,0,,,,
1319,1320,7,4,238,evaluation,493932762368,493933962368,493933967910,493935167910,5542,False,,,,,,,,
1323,1324,4,1,239,evaluation,493938173944,493939373944,493939381455,493940581455,7511,False,,,871136.0427104693,0,,,870821.3691255023,0
1332,1333,4,1,240,evaluation,493950618233,493951818233,493951825254,493953025254,7021,False,,,867390.8316552744,1,,,866988.3274007381,0
