session_id,visit,sample_rate_msps,channel,native_state,native_supported,matched_state,matched_supported,native_coherence,native_wrong_time,native_resultant,native_spline_rms_deg,native_linear_rms_deg,native_pilot_rms_deg,pilot_held_count,relative_cfo_hz,relative_cfo_rate_hz_s,retained_bandwidth_hz,illustrative_differential_hz_bound,illustrative_120ms_geometric_phase_bound_deg,fitted_residual_excursion_deg,median_absolute_spline_residual_frequency_hz,rf_hz,matched_coherence,matched_wrong_time,matched_spline_rms_deg
scan-fw-1aa1d50103d97388,1642,2.5,1,replayed,False,replayed,False,0.09225337686370987,0.021861020211293002,0.769503000007529,42.88226329199766,49.66839903432942,2.9055285969663096,3,-673973.5100379634,0.0,466918.9453125,0.04671098163516842,2.017914406639276,342.69764636904796,11.392885129453571,10940312500,0.09225337686370987,0.021861020211293002,42.88226329199766
scan-fw-1aa1d50103d97388,1646,2.5,1,abstained,False,abstained,False,,,,,,,,,,,,,,,,,,
scan-fw-1aa1d50103d97388,1659,2.5,2,replayed,False,replayed,False,0.07791290496274161,0.013051736665230794,0.5612848208329387,74.97759403527205,103.18490753728814,7.68813744579705,2,-674044.9764007429,0.0,593872.0703125,0.0477783867398025,2.0640263071594678,665.7981781402982,27.01275304072689,11190312500,0.07791290496274161,0.013051736665230794,74.97759403527205
scan-fw-1aa1d50103d97388,1667,2.5,2,replayed,False,replayed,False,0.06502569075218682,0.012564515602997164,0.6675488462488645,69.82274185946235,109.32870837099088,8.768018432011594,3,-674093.0589993128,0.0,878906.25,0.0477783867398025,2.0640263071594678,444.98706780473475,18.694803552893045,11190312500,0.06502569075218682,0.012564515602997164,69.82274185946235
scan-fw-1aa1d50103d97388,544,2.5,3,replayed,True,replayed,True,0.13036285976200968,0.003560229920465019,0.9286173058139048,20.83117103280957,123.65659894559191,4.389080098444058,3,-674408.0873118277,0.0,1321411.1328125,0.048845791844436603,2.110138207679661,349.1710369954721,17.748243728186146,11440312500,0.13036285976200968,0.003560229920465019,20.83117103280957
scan-fw-1aa1d50103d97388,569,2.5,3,replayed,True,replayed,True,0.12485873972560443,0.006618577902239947,0.9547464003929671,16.100488927001333,43.38424707999853,7.368078967900917,3,-674691.5387390254,0.0,1422729.4921875,0.048845791844436603,2.110138207679661,304.9045326731335,11.810146266931637,11440312500,0.12485873972560443,0.006618577902239947,16.100488927001333
scan-fw-1aa1d50103d97388,2138,2.5,4,replayed,True,replayed,True,0.10169136259231791,0.0028741863221240435,0.8671325236733571,26.890335204185998,50.8521974568469,1.261226833680007,1,-673976.2146229084,0.0,941162.109375,0.04991319694907068,2.156250108199853,286.88431373229224,19.011441182534806,11690312500,0.10169136259231791,0.0028741863221240435,26.890335204185998
scan-fw-1aa1d50103d97388,1464,2.5,4,replayed,False,replayed,False,0.03719696251769613,0.035610261836863645,0.05052676867004036,99.25644373886657,100.39864044630737,,0,-674038.5012999221,0.0,59814.453125,0.04991319694907068,2.156250108199853,624.2723259408524,54.947694209045636,11690312500,0.03719696251769613,0.035610261836863645,99.25644373886657
scan-fw-9b88653c7a012fc2,855,10.0,1,replayed,True,replayed,True,0.11668884818125298,0.00261893184881242,0.9594141301120742,13.016984979466098,108.40958941517206,2.679098963206244,3,-677215.2176187889,462.5135209823205,9243164.0625,0.04572763468252426,1.975433818285048,587.0511336393789,15.033505347277607,10710000000,0.11785103684491513,0.0016258090179320016,10.33371612482843
scan-fw-9b88653c7a012fc2,859,10.0,1,replayed,True,replayed,True,0.12028647370251673,0.005515622880338344,0.9648241458754545,12.46136850778198,92.24800276589826,2.6640960651460115,3,-677249.9806601013,0.0,9243164.0625,0.04572763468252426,1.975433818285048,596.6544700175795,29.63937290537848,10710000000,0.12256480246671221,0.004234293739264707,9.543681918377217
