method,location_id,latitude_deg,longitude_deg,error_km,common_integer_rms_hz,native_objective,native_value,selection,track_count,observation_count
Joint integer-timing search,joint_basin_1,37.84936795005425,-122.48209887260599,0.3143855943455346,202.61889758960953,Duration-weighted capped RMS (Hz),202.61889758960953,Legacy evaluation-selected location and identities,553,14043
hard_training_mean_sse,joint_basin_3,37.807679916654436,-122.43805365175601,6.214610716618559,204.87235227583298,hard_training_duration_weighted_mean_sse,56572.90898923366,Training-selected among five frozen finalists; candidate discovery touched evaluation,553,14043
soft_marginal_evidence,joint_basin_1,37.84936795005425,-122.48209887260599,0.3143855943455346,202.61889758960953,soft_training_duration_weighted_mean_negative_log_evidence,6.224149567677072,Training-selected among five frozen finalists; candidate discovery touched evaluation,553,14043
timing-0.25s-duration-capped-rmse-800hz-identity-evaluation,joint_basin_1,37.84936795005425,-122.48209887260599,0.3143855943455346,202.61889758960953,duration-capped-rmse-800hz,199.72604918481315,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-0.25s-duration-capped-rmse-800hz-identity-training,reno_coordinate_mean,37.84439706483181,-122.46963210548681,1.4982878969497935,202.83874056191715,duration-capped-rmse-800hz,208.10897057461733,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-0.25s-uncertainty-floor-pseudo-huber-identity-training,reno_coordinate_mean,37.84439706483181,-122.46963210548681,1.4982878969497935,202.83874056191715,uncertainty-floor-pseudo-huber,0.09574235682368219,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-0.5s-duration-capped-rmse-800hz-identity-evaluation,joint_basin_1,37.84936795005425,-122.48209887260599,0.3143855943455346,202.61889758960953,duration-capped-rmse-800hz,200.28065521727328,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-0.5s-duration-capped-rmse-800hz-identity-training,reno_coordinate_mean,37.84439706483181,-122.46963210548681,1.4982878969497935,202.83874056191715,duration-capped-rmse-800hz,208.70196117609484,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-0.5s-uncertainty-floor-pseudo-huber-identity-training,reno_coordinate_mean,37.84439706483181,-122.46963210548681,1.4982878969497935,202.83874056191715,uncertainty-floor-pseudo-huber,0.0965714444073568,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-1s-duration-capped-rmse-800hz-identity-evaluation,joint_basin_1,37.84936795005425,-122.48209887260599,0.3143855943455346,202.61889758960953,duration-capped-rmse-800hz,202.61889758960956,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-1s-duration-capped-rmse-800hz-identity-training,joint_basin_2,37.85599215160505,-122.4759846632868,1.1487471339953412,202.89684829236631,duration-capped-rmse-800hz,211.3029471095291,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
timing-1s-uncertainty-floor-pseudo-huber-identity-training,reno_coordinate_mean,37.84439706483181,-122.46963210548681,1.4982878969497935,202.83874056191715,uncertainty-floor-pseudo-huber,0.0984347909358865,Five-finalist native-objective selection; see timing report for identity versus location selection,553,14043
sacramento_coordinate_mean,sacramento_coordinate_mean,37.84647070244335,-122.50869747702644,2.043261023254973,204.46221688386282,Equal-scan coordinate fusion,,No observation-level refit,553,14043
reno_coordinate_mean,reno_coordinate_mean,37.84439706483181,-122.46963210548681,1.4982878969497935,202.83874056191715,Equal-scan coordinate fusion,,No observation-level refit,553,14043
