session_id,publication_utc,prior,prior_radius_km,tracks,observations,evaluated_positions,selected_latitude_deg,selected_longitude_deg,selected_spacing_km,selected_rmse_hz,selected_uncapped_rmse_hz,selected_matched_track_count,selected_unmatched_track_count,finest_rmse_hz,finest_evaluated_positions,deferred_cells,selected_reference_error_km,finest_reference_error_km,runtime_ms,search_complete
scan-fw-8240aa583830ca1b,2026-09-23T04:29:36.677840+00:00,sacramento,250.0,24,535,400,38.01526494913257,-122.49320828990864,25.0,116.90729555723169,116.9072955572317,24,0,117.19543527554085,262,78,18.496084101892492,5.791425248999643,83634,False
scan-fw-8240aa583830ca1b,2026-09-23T04:29:36.677840+00:00,reno,500.0,24,535,400,37.98184591201257,-122.45234138095721,12.5,114.88105197015018,114.88105197015018,24,0,114.88105197015018,210,136,15.054540641770203,15.054540641770203,138079,False
scan-fw-ead16f7f48901a57,2026-09-23T04:19:13.019928+00:00,sacramento,250.0,29,813,400,37.790454910163106,-122.49014612553002,25.0,104.89736981214693,104.89736981214693,29,0,120.50366412568182,262,86,6.525495158717486,14.008947212249595,159096,False
scan-fw-ead16f7f48901a57,2026-09-23T04:19:13.019928+00:00,reno,500.0,29,813,400,37.75715699306074,-122.44420376079852,12.5,108.33886843411445,108.33886843411445,29,0,108.33886843411445,197,165,10.845799284926882,10.845799284926882,299938,False
scan-fw-fb43b04ccf6f273e,2026-09-23T04:07:07.205311+00:00,sacramento,250.0,42,1291,400,37.790454910163106,-122.49014612553002,25.0,193.39068134099853,235.37237809639015,42,0,198.2009318596698,261,79,6.525495158717486,5.791425248999643,270869,False
scan-fw-fb43b04ccf6f273e,2026-09-23T04:07:07.205311+00:00,reno,500.0,42,1291,400,37.86950159896743,-122.4482629890385,12.5,193.3315036594162,242.68844623175374,42,0,193.3315036594162,207,140,3.994480913390877,3.994480913390877,378437,False
scan-fw-547e004082d486e7,2026-09-23T03:59:23.950225+00:00,sacramento,250.0,30,678,400,37.84828166466674,-122.27738288350866,12.5,101.85402094716947,101.85402094716949,30,0,101.85402094716947,257,85,18.287124442946677,18.287124442946677,99185,False
scan-fw-547e004082d486e7,2026-09-23T03:59:23.950225+00:00,reno,500.0,30,678,400,37.86950159896743,-122.4482629890385,12.5,101.7547745240022,101.7547745240022,30,0,101.7547745240022,212,142,3.994480913390877,3.994480913390877,159716,False
scan-fw-0fcac6eb710de2b8,2026-09-23T03:49:55.358432+00:00,sacramento,250.0,39,760,400,37.733625831183176,-122.56044940436978,12.5,99.91114447820426,99.91114447820426,39,0,99.91114447820426,260,80,14.417820371908652,14.417820371908652,105243,False
scan-fw-0fcac6eb710de2b8,2026-09-23T03:49:55.358432+00:00,reno,500.0,39,760,400,37.86950159896743,-122.4482629890385,12.5,92.72934464921055,92.72934464921053,39,0,92.72934464921055,204,149,3.994480913390877,3.994480913390877,177499,False
scan-fw-ec373a5cddf1a470,2026-09-23T03:37:07.415016+00:00,sacramento,250.0,37,901,400,37.733625831183176,-122.56044940436978,12.5,303.90501085740595,389.86861692556386,37,0,303.90501085740595,263,79,14.417820371908652,14.417820371908652,120994,False
scan-fw-ec373a5cddf1a470,2026-09-23T03:37:07.415016+00:00,reno,500.0,37,901,400,37.75715699306074,-122.44420376079852,12.5,304.1772306980502,391.22022685979255,37,0,304.1772306980502,198,147,10.845799284926882,10.845799284926882,196002,False
scan-fw-91e59b3fb15c25b7,2026-09-23T03:30:39.987168+00:00,sacramento,250.0,32,731,400,37.733625831183176,-122.56044940436978,12.5,97.20829795608036,97.20829795608037,32,0,97.20829795608036,259,73,14.417820371908652,14.417820371908652,101189,False
scan-fw-91e59b3fb15c25b7,2026-09-23T03:30:39.987168+00:00,reno,500.0,32,731,400,37.86616295802748,-122.59058145391954,12.5,100.88227704168699,100.88227704168699,32,0,100.88227704168699,216,135,9.406731540376745,9.406731540376745,165106,False
scan-fw-a6f1c029ab96d537,2026-09-23T03:17:06.812503+00:00,sacramento,250.0,38,1003,400,37.84602941502392,-122.56208207148525,12.5,137.16278967914894,137.16278967914894,38,0,137.16278967914894,266,74,6.719037076702814,6.719037076702814,132508,False
scan-fw-a6f1c029ab96d537,2026-09-23T03:17:06.812503+00:00,reno,500.0,38,1003,400,37.81168387740501,-122.51733707593512,25.0,128.38813331577177,128.38813331577177,38,0,135.58531293027235,211,136,4.999001983889371,9.406731540376745,213399,False
scan-fw-df2768d62176961d,2026-09-23T03:07:11.256124+00:00,sacramento,250.0,54,1610,400,37.84602941502392,-122.56208207148525,12.5,139.7072126011664,139.7072126011664,54,0,139.7072126011664,263,64,6.719037076702814,6.719037076702814,188743,False
scan-fw-df2768d62176961d,2026-09-23T03:07:11.256124+00:00,reno,500.0,54,1610,400,37.81168387740501,-122.51733707593512,25.0,142.14392927571828,142.14392927571825,54,0,142.26381848095298,208,150,4.999001983889371,3.994480913390877,309839,False
scan-fw-c526cdf62a208f31,2026-09-23T02:57:22.520101+00:00,sacramento,250.0,47,1372,400,37.790454910163106,-122.49014612553002,25.0,298.629237767613,645.0916778431068,47,0,299.5964542211815,262,87,6.525495158717486,14.008947212249595,171581,False
scan-fw-c526cdf62a208f31,2026-09-23T02:57:22.520101+00:00,reno,500.0,47,1372,400,37.75715699306074,-122.44420376079852,12.5,297.37007651970123,631.6060279731133,47,0,297.37007651970123,214,133,10.845799284926882,10.845799284926882,279132,False
scan-fw-d5170384143bb4cd,2026-09-23T02:50:09.706682+00:00,sacramento,250.0,26,540,400,37.95843295131761,-122.56372246731505,12.5,170.43499327276683,172.1737121632756,26,0,170.43499327276683,258,72,13.96058503568436,13.96058503568436,84366,False
