label,stage_index,translation_index,spacing_km,latitude_deg,longitude_deg,postseal_error_km,winner_on_edge
iteration-12 parent,-1,-1,,37.855596563599256,-122.48229576373605,0.7871880013564422,True
stage 0 step 0,0,0,0.09765625,37.85471930659243,-122.48340683459378,0.6624001630267529,True
stage 0 step 1,0,1,0.09765625,37.8538420495856,-122.48451790545151,0.5440086518148175,True
stage 0 step 2,0,2,0.09765625,37.8538420495856,-122.48562897630924,0.5347869252324784,True
stage 0 step 3,0,3,0.09765625,37.8538420495856,-122.48674004716696,0.5432140903634035,True
stage 0 step 4,0,4,0.09765625,37.8538420495856,-122.4878511180247,0.5685058407419397,True
stage 0 step 5,0,5,0.09765625,37.8538420495856,-122.4878511180247,0.5685058407419397,False
stage 1 step 0,1,0,0.048828125,37.8538420495856,-122.4878511180247,0.5685058407419397,False
stage 2 step 0,2,0,0.0244140625,37.85406136383731,-122.48812888573913,0.5998998209458487,True
stage 2 step 1,2,1,0.0244140625,37.85406136383731,-122.48812888573913,0.5998998209458487,False
