resolution,window_stride,method,method_label,point_count,rate_khz_per_s,rate_delta_from_equal_hz_per_s,unweighted_rms_us,weighted_rms_us,maximum_absolute_residual_us,effective_sample_count,minimum_weight,median_weight,maximum_weight,points_below_half_weight,maximum_fit_shift_ns,robust_z_vs_absolute_equal_residual_correlation,nonoverlap_parity_rates_khz_per_s,nonoverlap_parity_rate_spread_hz_per_s,iterations
half,62.5/31.25 ms,equal,Equal weight,270,2.554584498300872,0.0,0.0378233873311984,0.0378233873311984,0.10398879138426992,270.0,1.0,1.0,1.0,0,0.0,-0.11713267467213707,"[np.float64(2.5546387076356707), np.float64(2.55456701302086)]",0.07169461481071338,1
half,62.5/31.25 ms,quality_wls,Robust-z WLS,270,2.558426542203787,3.8420439029152043,0.03788969185642794,0.03715531206732898,0.10559488606101154,264.8009769331629,0.7536621949756103,0.9858993210921644,1.3723602884937416,0,4.218128230655972,-0.11713267467213707,"[np.float64(2.5587565933373266), np.float64(2.558072486516598)]",0.6841068207288359,1
half,62.5/31.25 ms,quality_huber,Robust-z WLS + Huber,270,2.561081718797096,6.497220496223921,0.03801643764360407,0.03485613999477289,0.10926107013380873,260.84328526463264,0.4116972066809995,0.9769146635680811,1.3723602884937416,6,8.03272155866161,-0.11713267467213707,"[np.float64(2.5609709892629735), np.float64(2.5615162393446447)]",0.545250081671167,15
baseline,125/62.5 ms,equal,Equal weight,134,2.5564868745767617,0.0,0.039550478920718495,0.039550478920718495,0.09897649381866452,134.0,1.0,1.0,1.0,0,0.0,-0.14829836607573235,"[np.float64(2.5563324683040514), np.float64(2.5565851162984568)]",0.2526479944053861,1
baseline,125/62.5 ms,quality_wls,Robust-z WLS,134,2.560975980931301,4.489106354539363,0.03963614394471246,0.038775092648123906,0.09937762999269245,131.05960352289372,0.725260046888598,0.9880991216135195,1.3136197769782927,0,4.472899535728613,-0.14829836607573235,"[np.float64(2.560075582030243), np.float64(2.561817560633233)]",1.7419786029901907,1
baseline,125/62.5 ms,quality_huber,Robust-z WLS + Huber,134,2.563352808733705,6.865934156943254,0.0397768692895754,0.03680252691015354,0.09794670451714364,129.444337542949,0.46726160233618724,0.9812075109938685,1.3136197769782927,3,9.219713496615936,-0.14829836607573235,"[np.float64(2.561983886559494), np.float64(2.5646900030203477)]",2.7061164608537247,19
double,250/125 ms,equal,Equal weight,66,2.5568265090730513,0.0,0.038223233974277,0.038223233974277,0.08483639365899735,66.0,1.0,1.0,1.0,0,0.0,-0.15945724977884806,"[np.float64(2.552326769832464), np.float64(2.562084291196203)]",9.757521363739308,1
double,250/125 ms,quality_wls,Robust-z WLS,66,2.561134172727723,4.307663654671501,0.03830727291321674,0.03740871321235619,0.08943071209965847,64.5463949664713,0.7744274758471286,0.9919291689090526,1.278721209700714,0,4.594318440661119,-0.15945724977884806,"[np.float64(2.5568472972287615), np.float64(2.566228315474513)]",9.381018245751438,1
double,250/125 ms,quality_huber,Robust-z WLS + Huber,66,2.565174989885746,8.348480812694792,0.03865433165330592,0.035418168206155246,0.0985198159854741,63.55697540582801,0.4419805271719016,0.9615688371184221,1.278721209700714,1,13.683422326476753,-0.15945724977884806,"[np.float64(2.560196265559019), np.float64(2.5723220644850926)]",12.125798926073461,19
