visit_index,time_s,held_after_20ms,evaluation_set,raw_phase_deg,normalized_phase_deg,tone_agreement
259,0.000902327863025489,False,training,-67.94707510678957,-67.68672865263014,0.9912950709669075
259,0.00223562786302549,False,training,-68.24778668729357,-68.14917273571636,0.9821107842759189
259,0.00356902786302549,False,training,-69.95930596035117,-69.83920659935738,0.9796980480951731
259,0.00490232786302549,False,training,-65.98074256502306,-65.8540698614006,0.9926875377740144
259,0.00623562786302549,False,training,-70.67487121356413,-70.91189680784642,0.9740397415126003
259,0.00756902786302549,False,training,-85.05860191290571,-85.53517156340862,0.9892947977575248
259,0.008902327863025488,False,training,-96.23501805209065,-96.36926998735754,0.9930075781190196
259,0.010235627863025488,False,training,-105.80078832976156,-105.5623863629292,0.9799095669742603
259,0.011569027863025485,False,training,-115.36002928268528,-115.30771033793845,0.9927768138632705
259,0.012902327863025484,False,training,-122.74068610189073,-122.56224096516549,0.9797774612837474
259,0.014235627863025485,False,training,-142.9243701589237,-142.98892869441397,0.9824255729041356
259,0.015569027863025485,False,training,-146.40846789572942,-146.35865863077515,0.9885194271336448
259,0.016902327863025486,False,training,-151.2820324013595,-151.09965631870662,0.9942793466526363
259,0.018235627863025485,False,training,-168.01647029270364,-168.19611322756114,0.9813803725158239
259,0.019569027863025484,False,boundary,-172.74949797770972,-173.22181833858014,0.974168288049654
259,0.020902327863025486,True,held,-163.8428441566706,-163.8211979159634,0.9836504577281412
259,0.022235627863025485,True,held,176.07358332226087,175.89223698608586,0.9730478820861991
259,0.023569027863025484,True,held,164.33323704212802,164.54403682193714,0.9946498305011011
259,0.024902327863025486,True,held,136.24839205633558,136.31144552937357,0.977751539526637
259,0.026235627863025485,True,held,125.68911561006507,125.73113475776464,0.9758985818179648
259,0.027569027863025484,True,held,125.19027491432246,125.36890623692803,0.9853663668875225
259,0.028902327863025486,True,held,130.00265006087758,129.74726245572404,0.9848415146051183
259,0.030235627863025485,True,held,120.69236106993803,120.42042052042908,0.9815425692201102
259,0.031569027863025484,True,held,111.5514495869421,111.710538117058,0.9798660409397107
259,0.03290232786302549,True,held,96.55696950667146,96.48293750316013,0.9905170147137177
259,0.03423562786302549,True,held,64.89575913190488,64.51438392909306,0.9872233327371417
259,0.03556902786302549,True,held,47.76445614595896,47.170559042096876,0.9934448985907893
259,0.03690232786302549,True,held,15.592181622329855,15.744172946447808,0.9866241412256543
259,0.03823562786302549,True,held,1.844381619031665,1.7086505585988703,0.9779733316336603
259,0.03956902786302549,True,held,-27.38415858886863,-27.66070824469953,0.9859852818883137
259,0.040902327863025494,True,held,-41.226807295983434,-41.569581060260695,0.9797318707082036
259,0.04223562786302549,True,held,-76.57416808514446,-76.39335777498377,0.9774677596934803
259,0.04356902786302549,True,held,-95.65047769440484,-95.80243259847579,0.97329846678488
259,0.04490232786302549,True,held,-125.63458301679007,-125.19581883221689,0.9823741116249922
259,0.04623562786302549,True,held,177.42651173487843,177.328866085883,0.9817778100314696
259,0.04756902786302549,True,held,133.70438210374093,133.75240078971535,0.9806141888262531
259,0.048902327863025494,True,held,106.80265676230653,106.66598677909266,0.9846646993833138
259,0.05023562786302549,True,held,94.62029414472984,95.03758862679103,0.9901287591774914
259,0.05156902786302549,True,held,77.93559446850374,77.84728130556815,0.9814501142291199
259,0.05290232786302549,True,held,70.82979336199446,71.09730982267371,0.9513436531298783
259,0.05423562786302549,True,held,80.18105680368816,80.0153120191957,0.9961167783651471
259,0.05556902786302549,True,held,69.3994693053768,69.39314688199329,0.9568421201218652
259,0.056902327863025494,True,held,58.040751221651156,57.94486304705945,0.9786255551185907
259,0.05823562786302549,True,held,68.30306147539467,68.17719568222589,0.9778918384862691
259,0.05956902786302549,True,held,60.032001940748856,59.57583715124856,0.9932668126422208
259,0.06090232786302549,True,held,39.022086519980576,38.808937621432996,0.9909938108498964
259,0.06223562786302549,True,held,19.472230602279726,19.01679916997733,0.9875649990893909
259,0.06356902786302548,True,held,6.695326905753206,6.565992596039143,0.9784684108103482
259,0.0649023278630255,True,held,-0.11329684287976637,-0.24089051418670693,0.9653229595317677
259,0.06623562786302549,True,held,-20.135220774129028,-20.427536003255835,0.9578718295178106
259,0.06756902786302549,True,held,-7.537324684915916,-7.757372276788333,0.973962028257008
259,0.06890232786302548,True,held,-11.546059121181258,-11.367027387549939,0.9657829045709236
259,0.0702356278630255,True,held,-23.02680525591694,-22.72626095968298,0.9900927604861182
259,0.07156902786302549,True,held,-39.40362838162693,-39.62698511556774,0.9793673049219742
259,0.07290232786302549,True,held,-22.330857135231494,-22.18642120727703,0.9544538975355724
259,0.0742356278630255,True,held,-18.915559249829887,-19.123923046971363,0.9689459737705953
259,0.0755690278630255,True,held,-14.887558558224832,-14.744084096219774,0.9737784982597512
259,0.07690232786302549,True,held,10.869583907733373,10.690487746243818,0.9822573245277132
259,0.07823562786302549,True,held,20.65657166425425,20.244873750008654,0.9931576309012177
259,0.07956902786302548,True,held,40.695121443211235,40.84651134964696,0.9904375695510672
259,0.0809023278630255,True,held,41.65150414265812,41.63550822372357,0.9744710776627634
259,0.08223562786302549,True,held,52.58240333105572,52.21858331399431,0.9667627354090211
259,0.08356902786302549,True,held,69.0530969969234,68.68887326337676,0.9688320526440223
259,0.08490232786302548,True,held,53.517808225073246,53.39802474835745,0.9870027407550758
259,0.0862356278630255,True,held,62.31623549984106,62.22152228808889,0.9806174262705852
259,0.08756902786302549,True,held,69.26420619722082,69.39890016119293,0.9674117012863851
259,0.08890232786302549,True,held,31.914034574947205,31.744391200338733,0.9623072675691269
259,0.0902356278630255,True,held,28.62356882075256,28.585665912472507,0.9826088870432743
259,0.0915690278630255,True,held,23.392047435345397,23.187668073249302,0.9849478007374489
259,0.09290232786302549,True,held,10.74875811248897,10.743183406655335,0.9679771488287365
259,0.09423562786302549,True,held,7.577056234329813,7.15899352943006,0.9631747111195789
259,0.09556902786302549,True,held,16.447263814180175,16.632129656651124,0.9504711090912638
259,0.0969023278630255,True,held,12.157604056231559,12.224410171722024,0.9917005589044064
259,0.09823562786302549,True,held,10.880656746276289,10.660668781785018,0.9861379441577197
259,0.09956902786302549,True,held,3.624583524269504,3.56128166094204,0.9736258599609251
259,0.10090232786302548,True,held,12.482612110098724,12.64471878780535,0.972830695563175
259,0.1022356278630255,True,held,3.7896303901564097,3.6302248549653062,0.9865886581599639
259,0.10356902786302549,True,held,20.472663282605875,20.772639598420458,0.9966516890248835
259,0.1049023278630255,True,held,14.176371046224162,14.192620824056036,0.926621591430003
259,0.1062356278630255,True,held,1.0866336552946223,0.8948978283876954,0.9537554396587138
259,0.1075690278630255,True,held,11.512291304558296,11.82727447800975,0.9815564822946018
