path,scope_digest,branch_id,trajectory_id,window_index,start_time_s,end_time_s,reference_time_s,phase_supported_span_ms,supported_frame_count,phase_update_count,phase_lock_qualified,qualified_20_70ms_segment,local_cfo_doppler_rate_hz_s,local_cfo_doppler_rate_sigma_hz_s,phase_frequency_kalman_rate_hz_s,glrt_doppler_rate_hz_s,local_minus_glrt_rate_hz_s,frequency_line_rms_hz,held_out_frequency_rms_hz,median_coherence_margin,qualification_failures
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,10,51.525,51.595,51.558081333333334,61.333200000000005,48,47,True,True,-3845.044028513818,119.35266928437582,-4037.0420320116486,-5682.742261241052,1837.698232727234,15.273828609781107,16.820208397219684,0.15294515401002207,
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,11,51.975,52.045,51.99277466153846,33.3332,26,16,False,False,-4193.112326747323,839.3166273679274,-5426.4013686673425,-5682.742261241052,1489.6299344937288,42.7969054445165,44.07881066290127,0.15225363462583474,supported frame coverage below threshold; modulo-pi phase lock did not qualify; local-line and Kalman Doppler rates disagree
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,12,52.35,52.42,52.3850748,68.0,52,49,True,True,-3693.873372416628,110.02494516484838,-3771.306581522944,-5682.742261241052,1988.8688888244237,15.876838680505031,16.561376956408633,0.11799265319606457,
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,13,52.8,52.87,52.82502693333333,46.666799999999995,36,32,True,False,-3835.5512415445255,241.75675494054062,-3712.0143455688117,-5682.742261241052,1847.1910196965264,20.091529524803757,21.002342425754225,0.12680226509057535,supported frame coverage below threshold
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,14,53.175,53.245,53.209972799999996,22.666800000000002,52,17,False,False,-3781.5245689397543,92.22184614499773,-15000.0,-5682.742261241052,1901.2176923012976,13.307812804348254,14.658252664362708,0.13485766451380998,modulo-pi phase lock did not qualify; local-line and Kalman Doppler rates disagree
stream-0/RX0 upper,sha256:933253659aeb4ce6c70bd6bd59511a4de2327175265ecb9ea78702fcdda6df45,sha256:997d8dcd539ee0395d0144e5d242a18b14148d7737fc16e5e520efd0a521b98a,sha256:76f2747289d5677e12af719c93444ea1a6b5408731ae316254d34db8cc0e892c,15,53.625,53.695,53.6566116,60.00000000000001,46,35,False,False,-3418.565360409773,99.06502550194857,-3695.8850636795305,-5682.742261241052,2264.176900831279,11.89330760001317,12.189119983414136,0.13707108188016442,modulo-pi phase lock did not qualify
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,0,48.5,48.57,48.525314533333336,46.666799999999995,36,36,True,False,-4254.181570902763,189.3556801782232,-4029.9368101793393,-5654.410863263503,1400.2292923607401,15.736665723883336,16.173122971233887,0.11844549284239742,supported frame coverage below threshold
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,1,48.8,48.87,48.831975463829785,61.333200000000005,47,47,True,True,-3803.579156023794,132.6354890863094,-3962.273835445685,-5654.410863263503,1850.8317072397094,16.44584830612088,18.639906190190604,0.10851146688041326,
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,2,49.175,49.245,49.210904,1.3336,50,2,False,False,-3648.0770974528186,129.28254084539265,-3558.1514028609295,-5654.410863263503,2006.3337658106848,17.589609324026092,18.62436201216429,0.09998365336695836,modulo-pi phase lock did not qualify; phase-supported span is shorter than 20 ms
stream-0/RX1 upper,sha256:058270deacd5dcee85dbccb5e27a1fe05166d0a605afdcfdf92317fcf033bab0,sha256:e82aceb7c338d09957cc7adb9c814737181aaedd4ffd161b9633f621999009e0,sha256:0d2fc94a8b2b3d35abe882c35e9690ace6cd90f39a4f133ea054102a1b6fab28,3,49.475,49.545,49.4842184,15.999999999999996,13,13,False,False,-3253.9603276322164,1197.9699372750504,-4178.666785018595,-5654.410863263503,2400.450535631287,21.548711407610785,35.969613108984746,0.09513472583050563,supported frame coverage below threshold; modulo-pi phase lock did not qualify; phase-supported span is shorter than 20 ms
