visit_index,receiver_id,data_variant,legacy_best_margin,corrected_best_margin,legacy_passed,corrected_passed,confusion_cell,raw_valid_identical
177,0,raw,0.00909713835839272,0.007573696319210947,False,False,neither,True
177,0,rf_valid,0.00909713835839272,0.007573696319210947,False,False,neither,True
177,1,raw,0.006152804689594248,0.343841424384313,False,True,corrected_only,True
177,1,rf_valid,0.006152804689594248,0.343841424384313,False,True,corrected_only,True
194,0,raw,0.0022202570008969177,0.004946658263687967,False,False,neither,True
194,0,rf_valid,0.0022202570008969177,0.004946658263687967,False,False,neither,True
194,1,raw,0.010395927276111286,0.4884900148780678,False,True,corrected_only,True
194,1,rf_valid,0.010395927276111286,0.4884900148780678,False,True,corrected_only,True
250,0,raw,0.3106527064616109,0.31065270646161786,True,True,both,True
250,0,rf_valid,0.3106527064616109,0.31065270646161786,True,True,both,True
250,1,raw,0.006861802127794699,0.0065755844767058785,False,False,neither,True
250,1,rf_valid,0.006861802127794699,0.0065755844767058785,False,False,neither,True
2,0,raw,0.005791331527486385,0.002679264493961074,False,False,neither,True
2,0,rf_valid,0.005791331527486385,0.002679264493961074,False,False,neither,True
2,1,raw,0.007063397996190841,0.008827279876222886,False,False,neither,True
2,1,rf_valid,0.007063397996190841,0.008827279876222886,False,False,neither,True
86,0,raw,0.007489010425163707,0.005956130433857232,False,False,neither,True
86,0,rf_valid,0.007489010425163707,0.005956130433857232,False,False,neither,True
86,1,raw,0.0035567655757544683,0.0035567655757101913,False,False,neither,True
86,1,rf_valid,0.0035567655757544683,0.0035567655757101913,False,False,neither,True
161,0,raw,0.007566834148237375,0.011237841803729113,False,False,neither,True
161,0,rf_valid,0.007566834148237375,0.011237841803729113,False,False,neither,True
161,1,raw,-0.000609705169974474,-0.000609705169974474,False,False,neither,True
161,1,rf_valid,-0.000609705169974474,-0.000609705169974474,False,False,neither,True
106,0,raw,0.007731458445811509,0.3196969910558951,False,True,corrected_only,True
106,0,rf_valid,0.007731458445811509,0.3196969910558951,False,True,corrected_only,True
106,1,raw,0.003762145878739999,0.5121681546796925,False,True,corrected_only,True
106,1,rf_valid,0.003762145878739999,0.5121681546796925,False,True,corrected_only,True
139,0,raw,0.00876735391771561,0.3169451334158151,False,True,corrected_only,True
139,0,rf_valid,0.00876735391771561,0.3169451334158151,False,True,corrected_only,True
139,1,raw,0.011704051795824538,0.4216369574799073,False,True,corrected_only,True
139,1,rf_valid,0.011704051795824538,0.4216369574799073,False,True,corrected_only,True
