slot_ordinal,scheduled_utc,sample_rate_msps,session_id,terminal_archive,skipped_visits,scanner_importable,outcome
2982813,2026-09-17T23:30:00+00:00,10,scan-fw-a1453a551a154915,True,0,True,imported
2982814,2026-09-17T23:40:00+00:00,15,scan-fw-22b118f8048f0441,True,0,True,imported
2982815,2026-09-17T23:50:00+00:00,20,,False,,False,firmware_etime_-62
2982816,2026-09-18T00:00:00+00:00,10,scan-fw-7851abe2d25a9813,True,0,True,imported
2982817,2026-09-18T00:10:00+00:00,15,scan-fw-da6805a08345af8c,True,0,True,imported
2982818,2026-09-18T00:20:00+00:00,20,scan-fw-0ae4d2e146a1cbac,True,0,True,imported
2982819,2026-09-18T00:30:00+00:00,10,,False,,False,firmware_etime_-62
2982820,2026-09-18T00:40:00+00:00,15,,False,,False,firmware_etime_-62
2982821,2026-09-18T00:50:00+00:00,20,,False,,False,firmware_etime_-62
2982822,2026-09-18T01:00:00+00:00,10,scan-fw-da39cee0f063521b,True,0,True,imported
2982823,2026-09-18T01:10:00+00:00,15,scan-fw-7d2fd80dfd33ff51,True,0,True,imported
2982824,2026-09-18T01:20:00+00:00,20,,False,,False,firmware_etime_-62
2982825,2026-09-18T01:30:00+00:00,10,scan-fw-906d82e211995e59,True,0,True,imported
2982826,2026-09-18T01:40:00+00:00,15,scan-fw-ca412a042c7f030b,True,0,True,imported
2982827,2026-09-18T01:50:00+00:00,20,,False,,False,firmware_etime_-62
2982828,2026-09-18T02:00:00+00:00,10,scan-fw-41baafbb4271e426,True,0,True,imported
2982829,2026-09-18T02:10:00+00:00,15,scan-fw-6bff1fff37cc8ff2,True,0,True,imported
2982830,2026-09-18T02:20:00+00:00,20,,False,,False,firmware_etime_-62
2982831,2026-09-18T02:30:00+00:00,10,scan-fw-b2f704c15e95d366,True,0,True,imported
2982832,2026-09-18T02:40:00+00:00,15,scan-fw-e902dc59d3ff9b05,True,0,True,imported
