model,label,budget,total,converged,exact_checked,exact_passed,qualified,sub_km_qualified,qualified_error_min_m,qualified_error_median_m,qualified_error_max_m
gaussian-contrast,Gaussian contrast,399,3,2,2,1,1,0,3008.37935221522,3008.37935221522,3008.37935221522
gaussian-contrast,Gaussian contrast,798,3,1,1,1,1,1,708.528375728683,708.528375728683,708.528375728683
gaussian-contrast,Gaussian contrast,1597,3,2,2,1,1,1,535.5841708262044,535.5841708262044,535.5841708262044
