model,label,budget,total,converged,exact_checked,exact_passed,qualified,sub_km_qualified,qualified_error_min_m,qualified_error_median_m,qualified_error_max_m
shape3-formal,"Packet 3, formal (20 seeds)",399,20,17,17,17,17,9,116.80125332065283,952.8677919189857,1932.092538212349
shape3-formal,"Packet 3, formal (20 seeds)",798,20,11,11,11,11,7,215.7920030466571,934.3828004214072,1704.155438651992
shape3-formal,"Packet 3, formal (20 seeds)",1597,20,2,2,2,2,2,547.7852319361016,622.8558202394436,697.9264085427856
shape5-formal,"Packet 5, formal (20 seeds)",399,20,17,17,17,17,7,421.1732514162361,1076.9146684039997,2285.083735285655
shape5-formal,"Packet 5, formal (20 seeds)",798,20,20,20,20,20,11,30.663142747474364,937.3156697175555,1939.5265438623694
shape5-formal,"Packet 5, formal (20 seeds)",1597,20,14,14,14,14,12,142.4179395302686,554.0788431128362,1273.395504217232
