model,label,budget,total,converged,exact_checked,exact_passed,qualified,sub_km_qualified,qualified_error_min_m,qualified_error_median_m,qualified_error_max_m
geometry-fisher-formal,"Geometry-Fisher, formal",399,1,1,1,1,1,0,1089.3199343986355,1089.3199343986355,1089.3199343986355
geometry-fisher-formal,"Geometry-Fisher, formal",798,1,1,1,1,1,1,659.7521539809087,659.7521539809087,659.7521539809087
geometry-fisher-formal,"Geometry-Fisher, formal",1597,1,0,0,0,0,0,,,
