model,label,budget,total,converged,exact_checked,exact_passed,qualified,sub_km_qualified,qualified_error_min_m,qualified_error_median_m,qualified_error_max_m
laplace-contrast,Laplace contrast,399,3,2,2,2,2,0,1606.6866282708963,1627.9275521133277,1649.1684759557588
laplace-contrast,Laplace contrast,798,3,0,0,0,0,0,,,
laplace-contrast,Laplace contrast,1597,3,2,2,1,0,0,,,
