city,rank,qualifying_track_count,latitude_deg,longitude_deg,clipped_best_rms_sum_hz,postselection_evaluation_distance_km,candidate_ids_norad_by_track,minimum_heldout_rms_hz_by_track
sacramento,1,10,37.90398740525912,-122.34921470922835,982.8252274390918,13.444296274687865,"[66122, 58749, 58749, 66122, 66125, 56144, 56144, 66325, 66116, 62286]","[82.2159393336314, 69.33511027421424, 121.78434975974925, 83.42067065522114, 114.64632772771243, 167.05351303904044, 54.2492667269253, 72.28706550184931, 105.8822007023196, 111.95078371842878]"
sacramento,2,10,37.89843711615999,-122.91901918772825,1552.2712077904775,38.43260338488365,"[66122, 58749, 58749, 66122, 66125, 56144, 56144, 62738, 66116, 62286]","[108.10301178801119, 462.66592175818937, 128.75180513151682, 79.59460005697143, 106.84726553129694, 112.47179124239445, 33.91929547578529, 227.50822067063274, 99.93605771511578, 192.47323842056366]"
sacramento,3,10,38.353617875779165,-122.35451439566263,1820.6247012505924,57.26877002846903,"[66122, 52603, 52603, 66122, 66125, 56144, 56144, 66325, 66116, 62286]","[132.596762528012, 183.2467854769259, 223.25737055930867, 87.65669882904554, 161.6907848000921, 109.59069334425621, 392.62724253489563, 57.355181482496825, 128.11108216149256, 344.49209953406705]"
sacramento,4,10,40.60470320739026,-121.79047282140363,2228.466922283679,312.2098837075993,"[66116, 69191, 69191, 66116, 60092, 69191, 52603, 62738, 51997, 62156]","[281.10463684127063, 112.3916473141567, 286.9381528801311, 155.64317696957755, 188.95261467607403, 219.42520978471936, 631.1026351494885, 72.37733818841818, 183.98667994416934, 96.54483053567377]"
sacramento,5,10,38.34801477965777,-122.92784992186684,2233.258268333508,67.64420511562592,"[66122, 52603, 52603, 66122, 66125, 52603, 56144, 66325, 66116, 60092]","[80.63067206668191, 317.8040114568482, 148.4003308695543, 66.08096498817089, 182.21847278376384, 277.85954956928526, 338.8659627235932, 121.00727397441024, 189.90812017847796, 510.4829097227224]"
reno,1,10,37.92727918367501,-122.37908082471127,904.845447755335,12.773803485017744,"[66122, 58749, 52603, 66122, 66125, 56144, 56144, 66325, 66116, 62286]","[92.28576706546986, 66.52282107737435, 179.08951310586212, 60.53898646235635, 117.78615623762762, 73.04703776005294, 72.83337811672547, 52.83034696100904, 95.65769682947654, 94.25374413938073]"
reno,2,10,41.86421741048157,-125.55230888355293,1361.3494263150706,517.4578649328179,"[65039, 62738, 62738, 65039, 65880, 59323, 59323, 59772, 65866, 62100]","[217.89802613810434, 119.86378859685587, 142.66580167540602, 230.6269308645667, 95.60117387810001, 114.4109640614067, 43.85551837450293, 67.5132063212421, 120.4641266402675, 208.44988976461835]"
reno,3,10,37.913206354752184,-122.94873838600067,1620.5390015443875,41.26411099914752,"[66122, 58749, 58749, 66122, 66125, 56144, 56144, 62738, 66116, 60092]","[84.50693578814729, 380.31687748354267, 206.59835801090756, 92.00816740713748, 99.25906202095086, 162.5173365442173, 43.65638992309303, 274.41428873970654, 87.7604451652874, 189.50114046139737]"
reno,4,10,43.14260916999971,-126.90406170377948,1795.5709704338108,696.932678010716,"[60319, 57778, 63823, 60319, 65870, 57778, 57778, 63906, 58796, 64387]","[91.61324705965315, 534.0252124046876, 378.0325763783738, 67.73694481972572, 190.1306127182701, 75.53314541004826, 82.26843044000363, 87.74689715667259, 184.9747937812687, 103.50911026510705]"
reno,5,10,38.37666926564553,-122.39510543313344,1833.7988309311536,59.202993842704274,"[66122, 52603, 52603, 66122, 66125, 56144, 56144, 62738, 66116, 62286]","[102.9062271923072, 268.305673590402, 170.49979808126812, 89.9174761126642, 126.65278536091826, 105.3546560185942, 419.59933108535495, 130.98912812411513, 111.68529680646935, 307.8884585590605]"
denver,1,10,37.73839652916277,-122.43550466781697,1299.0431198496315,13.067587562569853,"[66122, 58749, 58749, 66122, 66125, 56144, 56144, 66325, 66116, 62286]","[127.81658457725506, 227.2369747047694, 179.5933822412857, 139.89729584703502, 88.32693990342847, 82.3947614392257, 31.48495364790379, 140.4390981805015, 120.47675045597894, 161.37637885224817]"
denver,2,10,32.561300352770346,-81.61303885597518,1348.4614687634821,3729.832837896541,"[64447, 45668, 45668, 64447, 64449, 69357, 69357, 61961, 65846, 63902]","[75.86153878160292, 107.65894177860956, 116.02514308453156, 72.50756131457825, 128.79706165350333, 111.99678475130325, 472.5509653040479, 86.14723423665576, 66.90631171233109, 110.00992614631862]"
denver,3,10,38.88804911457244,-81.32117231893523,1434.8767202798836,3559.8568228713757,"[53544, 56379, 56379, 53544, 60054, 62032, 62032, 60343, 58028, 58224]","[99.19644035246553, 232.4411942229685, 144.1681967169101, 56.44705105741352, 104.6528118491864, 97.2130460244545, 277.1855247721677, 47.997693315097074, 99.59358547175461, 275.9811764974659]"
denver,4,10,30.400380467112583,-80.0707086386913,1440.0361999244733,3956.2222384397737,"[64182, 63916, 63916, 64182, 64196, 66423, 66423, 58593, 69226, 61969]","[72.60818518536188, 85.5529941904679, 139.671023898638, 75.02388690342157, 308.10395000552984, 59.017916872349346, 32.46142796504733, 441.47891486028334, 118.01004963874712, 108.10785040462696]"
denver,5,10,40.837375785697226,-84.2970100031008,1538.382648217753,3274.731757980597,"[62453, 67943, 67943, 62453, 65747, 53565, 53565, 57376, 62444, 60345]","[74.41841981615931, 393.53711965844525, 132.19923454890136, 63.436208760748976, 109.4503733383139, 67.88098738987422, 266.78280399973687, 116.60376085794755, 105.53058769393948, 208.5431521536863]"
