analysis_elapsed_seconds,analyzed_segments,bundle_bytes,burst_id,capture_elapsed_seconds,fallback_window_segments,position,preferred_window_segments,qualified_fraction,qualified_segments,scan_id,status,unavailable_segments
10.756102101993747,6,6085203,scan-burst-d6d38ffaf56e43e6,1.85000880699954,0,2,6,0.0,0,scan-burst-d6d38ffaf56e43e6-02,insufficient_data,0
10.991612164012622,7,6337519,scan-burst-d6d38ffaf56e43e6,1.8704345070000272,0,3,7,0.0,0,scan-burst-d6d38ffaf56e43e6-03,insufficient_data,0
10.614250557002379,5,6005968,scan-burst-d6d38ffaf56e43e6,1.8752154870016966,1,4,4,0.0,0,scan-burst-d6d38ffaf56e43e6-04,insufficient_data,0
11.468051517993445,13,6858651,scan-burst-1227231d081a4060,2.108978144999128,0,1,13,0.23076923076923078,3,scan-burst-1227231d081a4060-01,partial,0
11.524087783996947,13,6902707,scan-burst-1227231d081a4060,1.8866642259818036,0,2,13,0.07692307692307693,1,scan-burst-1227231d081a4060-02,partial,0
11.0857057730027,12,6764831,scan-burst-1227231d081a4060,1.917070841009263,0,3,12,0.0,0,scan-burst-1227231d081a4060-03,insufficient_data,0
11.216959317971487,12,6759215,scan-burst-1227231d081a4060,1.8813066569855437,0,4,12,0.08333333333333333,1,scan-burst-1227231d081a4060-04,partial,0
11.30866081500426,8,6323110,scan-burst-fee91179e481445a,1.824256226012949,0,1,8,0.125,1,scan-burst-fee91179e481445a-01,partial,0
11.56994033700903,9,6397259,scan-burst-fee91179e481445a,1.8562975339882541,0,2,9,0.2222222222222222,2,scan-burst-fee91179e481445a-02,partial,0
11.456155494000996,10,6575107,scan-burst-fee91179e481445a,1.873309151007561,0,3,10,0.0,0,scan-burst-fee91179e481445a-03,insufficient_data,0
11.40527108698734,9,6382243,scan-burst-fee91179e481445a,1.9290247690223623,0,4,9,0.0,0,scan-burst-fee91179e481445a-04,insufficient_data,0
12.245325827010674,5,5980160,scan-burst-57910b570a0f4680,1.862600302993087,0,1,5,0.0,0,scan-burst-57910b570a0f4680-01,insufficient_data,0
11.864821221010061,4,5861538,scan-burst-57910b570a0f4680,1.8959973030141555,0,2,4,0.0,0,scan-burst-57910b570a0f4680-02,insufficient_data,0
13.368611679004971,6,5980896,scan-burst-57910b570a0f4680,1.890059436991578,0,3,6,0.0,0,scan-burst-57910b570a0f4680-03,insufficient_data,0
12.266681965993484,5,5944612,scan-burst-57910b570a0f4680,1.8906822860008106,0,4,5,0.4,2,scan-burst-57910b570a0f4680-04,partial,0
10.447243881004397,4,5736501,scan-burst-0da7f16aa303404d,1.8561973980104085,0,1,4,0.75,3,scan-burst-0da7f16aa303404d-01,partial,0
10.619925458013313,4,5712663,scan-burst-0da7f16aa303404d,1.9363753469951916,0,2,4,1.0,4,scan-burst-0da7f16aa303404d-02,complete,0
10.493989236972993,4,5735824,scan-burst-0da7f16aa303404d,1.9423693350108806,0,3,4,0.5,2,scan-burst-0da7f16aa303404d-03,partial,0
10.803346169006545,4,5795466,scan-burst-0da7f16aa303404d,1.9038573360012379,0,4,4,0.5,2,scan-burst-0da7f16aa303404d-04,partial,0
10.917413507006131,0,5312674,scan-burst-d14399fdfd484e87,1.8636657139868475,0,1,0,,0,scan-burst-d14399fdfd484e87-01,no_result,0
10.555139288015198,3,5799840,scan-burst-d14399fdfd484e87,1.909418410010403,0,2,3,0.0,0,scan-burst-d14399fdfd484e87-02,insufficient_data,0
10.814337688003434,3,5773661,scan-burst-d14399fdfd484e87,1.8784501810150687,1,3,2,0.0,0,scan-burst-d14399fdfd484e87-03,insufficient_data,0
10.547274465003284,2,5684152,scan-burst-d14399fdfd484e87,1.860095531999832,0,4,2,0.0,0,scan-burst-d14399fdfd484e87-04,insufficient_data,0
10.965344980999362,9,6252486,scan-burst-68594eea578f4bfc,1.880610816006083,0,1,9,0.4444444444444444,4,scan-burst-68594eea578f4bfc-01,partial,0
10.916929784987587,8,6138730,scan-burst-68594eea578f4bfc,1.8773578300024383,0,2,8,0.5,4,scan-burst-68594eea578f4bfc-02,partial,0
10.678963993006619,7,6081573,scan-burst-68594eea578f4bfc,1.9111297889903653,0,3,7,0.7142857142857143,5,scan-burst-68594eea578f4bfc-03,partial,0
11.034104416001355,8,6209732,scan-burst-68594eea578f4bfc,1.8617512100026943,0,4,8,0.625,5,scan-burst-68594eea578f4bfc-04,partial,0
10.677985827001976,5,5777940,scan-burst-86d249770cfb4a29,2.0523405389976688,0,1,5,0.8,4,scan-burst-86d249770cfb4a29-01,partial,0
10.550537725997856,4,5757814,scan-burst-86d249770cfb4a29,1.913645752996672,0,2,4,1.0,4,scan-burst-86d249770cfb4a29-02,complete,0
10.795665810001083,5,5828119,scan-burst-86d249770cfb4a29,1.8856866389978677,1,3,4,1.0,5,scan-burst-86d249770cfb4a29-03,complete,0
10.671707030996913,6,5958006,scan-burst-86d249770cfb4a29,1.8511567859968636,0,4,6,0.6666666666666666,4,scan-burst-86d249770cfb4a29-04,partial,0
10.829064406018006,9,6220483,scan-burst-f92b37e07159438d,1.8405709719809238,0,1,9,0.1111111111111111,1,scan-burst-f92b37e07159438d-01,partial,0
10.4679778360005,8,6394264,scan-burst-f92b37e07159438d,1.8309458869916853,0,2,8,0.125,1,scan-burst-f92b37e07159438d-02,partial,0
10.313136082026176,6,6185791,scan-burst-f92b37e07159438d,1.8436870079895016,0,3,6,0.0,0,scan-burst-f92b37e07159438d-03,insufficient_data,1
10.426147291989764,10,6516298,scan-burst-f92b37e07159438d,1.888471888989443,1,4,9,0.2,2,scan-burst-f92b37e07159438d-04,partial,0
10.9803087360051,8,6188909,scan-burst-618a9b1b602d4492,1.910424439003691,0,1,8,0.5,4,scan-burst-618a9b1b602d4492-01,partial,0
11.66689777301508,8,6091492,scan-burst-618a9b1b602d4492,1.9285775940224994,0,2,8,0.5,4,scan-burst-618a9b1b602d4492-02,partial,0
10.831206521979766,8,6064243,scan-burst-618a9b1b602d4492,1.9360571849974804,0,3,8,0.5,4,scan-burst-618a9b1b602d4492-03,partial,0
