analyzed_segments,internal_status,path,qualified_fraction,qualified_segments,registry_status,session_id
66,complete,stream-0 · RX1,0.07575757575757576,5,partial_coverage,cap-20260823T091800-9bd536243a3e
187,complete,stream-1 · RX1,0.058823529411764705,11,partial_coverage,cap-20260823T091800-9bd536243a3e
80,complete,stream-0 · RX0,0.225,18,complete,cap-20260823T091800-9bd536243a3e
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T091800-9bd536243a3e
174,complete,stream-0 · RX1,0.14942528735632185,26,complete,cap-20260823T092100-62d4c6eb7bdc
150,complete,stream-0 · RX0,0.14666666666666667,22,partial_coverage,cap-20260823T092100-62d4c6eb7bdc
221,complete,stream-1 · RX1,0.04524886877828054,10,partial_coverage,cap-20260823T092100-62d4c6eb7bdc
112,complete,stream-1 · RX0,0.15178571428571427,17,complete,cap-20260823T092100-62d4c6eb7bdc
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T092400-3c35810955bd
114,complete,stream-0 · RX1,0.017543859649122806,2,complete,cap-20260823T092400-3c35810955bd
64,insufficient_data,stream-1 · RX1,0.0,0,complete,cap-20260823T092400-3c35810955bd
32,insufficient_data,stream-0 · RX0,0.0,0,complete,cap-20260823T092400-3c35810955bd
240,complete,stream-0 · RX1,0.05416666666666667,13,partial_coverage,cap-20260823T092700-48effabd4369
129,complete,stream-1 · RX1,0.007751937984496124,1,complete,cap-20260823T092700-48effabd4369
84,complete,stream-1 · RX0,0.17857142857142858,15,complete,cap-20260823T092700-48effabd4369
224,complete,stream-0 · RX0,0.004464285714285714,1,partial_coverage,cap-20260823T092700-48effabd4369
240,complete,stream-0 · RX0,0.10833333333333334,26,partial_coverage,cap-20260823T093300-d7b2a62549fe
43,complete,stream-1 · RX0,0.20930232558139536,9,complete,cap-20260823T093300-d7b2a62549fe
153,complete,stream-0 · RX1,0.0457516339869281,7,complete,cap-20260823T093300-d7b2a62549fe
208,complete,stream-1 · RX1,0.019230769230769232,4,partial_coverage,cap-20260823T093300-d7b2a62549fe
112,complete,stream-1 · RX1,0.008928571428571428,1,complete,cap-20260823T093900-39acaef247b6
32,complete,stream-0 · RX0,0.34375,11,complete,cap-20260823T093900-39acaef247b6
8,insufficient_data,stream-0 · RX1,0.0,0,complete,cap-20260823T093900-39acaef247b6
64,complete,stream-1 · RX0,0.078125,5,complete,cap-20260823T093900-39acaef247b6
82,complete,stream-0 · RX1,0.17073170731707318,14,complete,cap-20260823T094200-286af7ccf451
32,complete,stream-1 · RX0,0.25,8,complete,cap-20260823T094200-286af7ccf451
230,complete,stream-1 · RX1,0.030434782608695653,7,complete,cap-20260823T094200-286af7ccf451
112,complete,stream-0 · RX0,0.22321428571428573,25,complete,cap-20260823T094200-286af7ccf451
144,complete,stream-0 · RX0,0.16666666666666666,24,partial_coverage,cap-20260823T094500-4c44f53f328a
208,complete,stream-0 · RX1,0.07211538461538461,15,partial_coverage,cap-20260823T094500-4c44f53f328a
256,complete,stream-1 · RX1,0.015625,4,partial_coverage,cap-20260823T094500-4c44f53f328a
112,complete,stream-1 · RX0,0.11607142857142858,13,complete,cap-20260823T094500-4c44f53f328a
228,complete,stream-1 · RX1,0.013157894736842105,3,partial_coverage,cap-20260823T094800-8799dba1652a
111,complete,stream-1 · RX0,0.18018018018018017,20,complete,cap-20260823T094800-8799dba1652a
224,complete,stream-0 · RX0,0.08035714285714286,18,partial_coverage,cap-20260823T094800-8799dba1652a
170,complete,stream-0 · RX1,0.15294117647058825,26,partial_coverage,cap-20260823T094800-8799dba1652a
250,partial,stream-1 · RX1,0.008,2,partial_coverage,cap-20260823T095458-7d2412e2ff8f
224,complete,stream-1 · RX0,0.08928571428571429,20,partial_coverage,cap-20260823T095458-7d2412e2ff8f
256,complete,stream-0 · RX0,0.05859375,15,partial_coverage,cap-20260823T095458-7d2412e2ff8f
256,partial,stream-0 · RX1,0.015625,4,partial_coverage,cap-20260823T095458-7d2412e2ff8f
155,complete,stream-0 · RX1,0.11612903225806452,18,complete,cap-20260823T095749-8569a833587a
96,complete,stream-1 · RX0,0.16666666666666666,16,complete,cap-20260823T095749-8569a833587a
256,complete,stream-1 · RX1,0.01953125,5,partial_coverage,cap-20260823T095749-8569a833587a
75,complete,stream-0 · RX0,0.18666666666666668,14,complete,cap-20260823T095749-8569a833587a
184,complete,stream-1 · RX1,0.016304347826086956,3,complete,cap-20260823T100040-7bc5ba3cc0ac
0,no_result,stream-0 · RX0,,0,no_result,cap-20260823T100040-7bc5ba3cc0ac
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T100040-7bc5ba3cc0ac
96,insufficient_data,stream-0 · RX1,0.0,0,complete,cap-20260823T100040-7bc5ba3cc0ac
32,insufficient_data,stream-1 · RX0,0.0,0,complete,cap-20260823T100330-f8009ee92145
224,complete,stream-1 · RX1,0.004464285714285714,1,partial_coverage,cap-20260823T100330-f8009ee92145
144,insufficient_data,stream-0 · RX0,0.0,0,complete,cap-20260823T100330-f8009ee92145
119,complete,stream-0 · RX1,0.08403361344537816,10,complete,cap-20260823T100330-f8009ee92145
256,complete,stream-0 · RX1,0.0234375,6,complete,cap-20260823T100905-29d563ac02d9
240,complete,stream-1 · RX1,0.016666666666666666,4,partial_coverage,cap-20260823T100905-29d563ac02d9
128,complete,stream-0 · RX0,0.046875,6,partial_coverage,cap-20260823T100905-29d563ac02d9
119,complete,stream-1 · RX0,0.03361344537815126,4,complete,cap-20260823T100905-29d563ac02d9
110,complete,stream-1 · RX0,0.16363636363636364,18,complete,cap-20260823T101200-1b98ddd3d643
64,complete,stream-0 · RX0,0.265625,17,complete,cap-20260823T101200-1b98ddd3d643
165,complete,stream-1 · RX1,0.01818181818181818,3,complete,cap-20260823T101200-1b98ddd3d643
144,complete,stream-0 · RX1,0.09027777777777778,13,complete,cap-20260823T101200-1b98ddd3d643
224,complete,stream-0 · RX1,0.09375,21,partial_coverage,cap-20260823T101809-80205045e4c6
208,complete,stream-0 · RX0,0.1346153846153846,28,partial_coverage,cap-20260823T101809-80205045e4c6
48,complete,stream-1 · RX0,0.041666666666666664,2,complete,cap-20260823T101809-80205045e4c6
254,insufficient_data,stream-1 · RX1,0.0,0,partial_coverage,cap-20260823T101809-80205045e4c6
190,complete,stream-0 · RX0,0.21052631578947367,40,partial_coverage,cap-20260823T102100-41a973bd84ae
240,complete,stream-0 · RX1,0.09166666666666666,22,partial_coverage,cap-20260823T102100-41a973bd84ae
224,complete,stream-1 · RX1,0.017857142857142856,4,partial_coverage,cap-20260823T102100-41a973bd84ae
224,complete,stream-1 · RX0,0.14732142857142858,33,partial_coverage,cap-20260823T102100-41a973bd84ae
0,no_result,stream-0 · RX1,,0,no_result,cap-20260823T102721-5eb863f3e015
12,insufficient_data,stream-1 · RX0,0.0,0,complete,cap-20260823T102721-5eb863f3e015
0,no_result,stream-0 · RX0,,0,no_result,cap-20260823T102721-5eb863f3e015
176,complete,stream-1 · RX1,0.005681818181818182,1,complete,cap-20260823T102721-5eb863f3e015
256,complete,stream-1 · RX1,0.00390625,1,partial_coverage,cap-20260823T103006-b22ba294d7f7
80,complete,stream-0 · RX0,0.1375,11,complete,cap-20260823T103006-b22ba294d7f7
112,complete,stream-1 · RX0,0.23214285714285715,26,complete,cap-20260823T103006-b22ba294d7f7
198,complete,stream-0 · RX1,0.14646464646464646,29,partial_coverage,cap-20260823T103006-b22ba294d7f7
240,complete,stream-0 · RX1,0.0875,21,partial_coverage,cap-20260823T103300-f5e88b1f6dff
176,complete,stream-0 · RX0,0.10795454545454546,19,partial_coverage,cap-20260823T103300-f5e88b1f6dff
216,complete,stream-1 · RX0,0.125,27,complete,cap-20260823T103300-f5e88b1f6dff
224,complete,stream-1 · RX1,0.004464285714285714,1,partial_coverage,cap-20260823T103300-f5e88b1f6dff
175,complete,stream-0 · RX1,0.10285714285714286,18,complete,cap-20260823T103600-a42d17d4fcb0
64,complete,stream-1 · RX0,0.25,16,complete,cap-20260823T103600-a42d17d4fcb0
256,partial,stream-1 · RX1,0.01953125,5,partial_coverage,cap-20260823T103600-a42d17d4fcb0
112,complete,stream-0 · RX0,0.23214285714285715,26,complete,cap-20260823T103600-a42d17d4fcb0
160,complete,stream-1 · RX0,0.2,32,complete,cap-20260823T103900-f15ba31ea9b2
200,complete,stream-0 · RX1,0.055,11,partial_coverage,cap-20260823T103900-f15ba31ea9b2
160,complete,stream-0 · RX0,0.04375,7,complete,cap-20260823T103900-f15ba31ea9b2
256,insufficient_data,stream-1 · RX1,0.0,0,partial_coverage,cap-20260823T103900-f15ba31ea9b2
0,no_result,stream-0 · RX1,,0,no_result,cap-20260823T104200-597c155f2bcf
47,insufficient_data,stream-1 · RX1,0.0,0,complete,cap-20260823T104200-597c155f2bcf
64,insufficient_data,stream-0 · RX0,0.0,0,complete,cap-20260823T104200-597c155f2bcf
32,insufficient_data,stream-1 · RX0,0.0,0,complete,cap-20260823T104200-597c155f2bcf
192,complete,stream-0 · RX0,0.109375,21,complete,cap-20260823T104500-c60e191df8ff
256,partial,stream-0 · RX1,0.078125,20,partial_coverage,cap-20260823T104500-c60e191df8ff
141,complete,stream-1 · RX0,0.11347517730496454,16,complete,cap-20260823T104500-c60e191df8ff
256,complete,stream-1 · RX1,0.01171875,3,partial_coverage,cap-20260823T104500-c60e191df8ff
96,complete,stream-0 · RX0,0.14583333333333334,14,complete,cap-20260823T104800-e74d8882b242
254,partial,stream-0 · RX1,0.1889763779527559,48,partial_coverage,cap-20260823T104800-e74d8882b242
246,complete,stream-1 · RX0,0.13821138211382114,34,partial_coverage,cap-20260823T104800-e74d8882b242
224,complete,stream-1 · RX1,0.017857142857142856,4,partial_coverage,cap-20260823T104800-e74d8882b242
240,complete,stream-1 · RX1,0.0375,9,partial_coverage,cap-20260823T105400-45b265314705
112,complete,stream-1 · RX0,0.33035714285714285,37,complete,cap-20260823T105400-45b265314705
240,complete,stream-0 · RX1,0.0875,21,partial_coverage,cap-20260823T105400-45b265314705
236,complete,stream-0 · RX0,0.05508474576271186,13,partial_coverage,cap-20260823T105400-45b265314705
213,complete,stream-1 · RX1,0.004694835680751174,1,partial_coverage,cap-20260823T105700-5b47e25426e2
212,complete,stream-0 · RX0,0.05660377358490566,12,partial_coverage,cap-20260823T105700-5b47e25426e2
192,complete,stream-0 · RX1,0.0625,12,partial_coverage,cap-20260823T105700-5b47e25426e2
88,complete,stream-1 · RX0,0.03409090909090909,3,complete,cap-20260823T105700-5b47e25426e2
26,complete,stream-1 · RX0,0.07692307692307693,2,complete,cap-20260823T110332-725635ff80b1
187,complete,stream-1 · RX1,0.0053475935828877,1,partial_coverage,cap-20260823T110332-725635ff80b1
128,complete,stream-0 · RX0,0.1015625,13,partial_coverage,cap-20260823T110332-725635ff80b1
114,complete,stream-0 · RX1,0.08771929824561403,10,complete,cap-20260823T110332-725635ff80b1
14,complete,stream-0 · RX1,0.07142857142857142,1,complete,cap-20260823T110622-a02d007ca14a
256,partial,stream-1 · RX1,0.00390625,1,partial_coverage,cap-20260823T110622-a02d007ca14a
0,no_result,stream-0 · RX0,,0,no_result,cap-20260823T110622-a02d007ca14a
215,complete,stream-1 · RX0,0.07906976744186046,17,partial_coverage,cap-20260823T110622-a02d007ca14a
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T111139-5bde5bd4dd04
86,insufficient_data,stream-1 · RX1,0.0,0,complete,cap-20260823T111139-5bde5bd4dd04
0,no_result,stream-0 · RX0,,0,no_result,cap-20260823T111139-5bde5bd4dd04
34,complete,stream-0 · RX1,0.08823529411764706,3,complete,cap-20260823T111139-5bde5bd4dd04
238,complete,stream-0 · RX1,0.11764705882352941,28,complete,cap-20260823T111430-17ab4cda0851
80,complete,stream-1 · RX0,0.2875,23,complete,cap-20260823T111430-17ab4cda0851
254,complete,stream-0 · RX0,0.1220472440944882,31,partial_coverage,cap-20260823T111430-17ab4cda0851
208,complete,stream-1 · RX1,0.009615384615384616,2,partial_coverage,cap-20260823T111430-17ab4cda0851
250,complete,stream-1 · RX1,0.016,4,partial_coverage,cap-20260823T111715-35a82d19c4c5
10,insufficient_data,stream-0 · RX1,0.0,0,complete,cap-20260823T111715-35a82d19c4c5
0,no_result,stream-0 · RX0,,0,no_result,cap-20260823T111715-35a82d19c4c5
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T111715-35a82d19c4c5
224,complete,stream-1 · RX1,0.008928571428571428,2,partial_coverage,cap-20260823T112002-cd1078bbb46d
144,complete,stream-1 · RX0,0.09722222222222222,14,partial_coverage,cap-20260823T112002-cd1078bbb46d
219,complete,stream-0 · RX1,0.0365296803652968,8,partial_coverage,cap-20260823T112002-cd1078bbb46d
155,complete,stream-0 · RX0,0.1032258064516129,16,partial_coverage,cap-20260823T112002-cd1078bbb46d
256,complete,stream-1 · RX1,0.01953125,5,partial_coverage,cap-20260823T112246-00eaaa171336
240,complete,stream-0 · RX1,0.1625,39,partial_coverage,cap-20260823T112246-00eaaa171336
228,complete,stream-1 · RX0,0.09210526315789473,21,complete,cap-20260823T112246-00eaaa171336
160,complete,stream-0 · RX0,0.19375,31,partial_coverage,cap-20260823T112246-00eaaa171336
208,complete,stream-0 · RX1,0.1201923076923077,25,partial_coverage,cap-20260823T112821-12d694a8feba
250,partial,stream-1 · RX1,0.012,3,partial_coverage,cap-20260823T112821-12d694a8feba
142,complete,stream-1 · RX0,0.2605633802816901,37,complete,cap-20260823T112821-12d694a8feba
224,complete,stream-0 · RX0,0.08928571428571429,20,complete,cap-20260823T112821-12d694a8feba
5,insufficient_data,stream-1 · RX0,0.0,0,complete,cap-20260823T113111-10142f2c1489
160,complete,stream-1 · RX1,0.0375,6,complete,cap-20260823T113111-10142f2c1489
142,complete,stream-0 · RX1,0.09154929577464789,13,complete,cap-20260823T113111-10142f2c1489
71,complete,stream-0 · RX0,0.23943661971830985,17,complete,cap-20260823T113111-10142f2c1489
224,insufficient_data,stream-1 · RX1,0.0,0,partial_coverage,cap-20260823T113719-e85d040a0afd
222,complete,stream-0 · RX1,0.06306306306306306,14,partial_coverage,cap-20260823T113719-e85d040a0afd
176,complete,stream-0 · RX0,0.03977272727272727,7,complete,cap-20260823T113719-e85d040a0afd
75,complete,stream-1 · RX0,0.36,27,complete,cap-20260823T113719-e85d040a0afd
78,insufficient_data,stream-0 · RX1,0.0,0,complete,cap-20260823T114012-49c3afc433c0
0,no_result,stream-1 · RX0,,0,no_result,cap-20260823T114012-49c3afc433c0
64,complete,stream-0 · RX0,0.015625,1,complete,cap-20260823T114012-49c3afc433c0
0,no_result,stream-1 · RX1,,0,no_result,cap-20260823T114012-49c3afc433c0
160,complete,stream-0 · RX0,0.125,20,partial_coverage,cap-20260823T114537-e7e1cf063697
