visit_index,track_elapsed_s,dwell_center_time_ms,most_likely_rx1_minus_rx0_phase_deg,coherence_magnitude,minimum_normalized_prediction_error,conditional_phase_jackknife_se_deg
376,0,1.9998,-24.3334326252,0.175551484454,0.98447025161,4.5208349673
376,0,2.4998,-17.3215399393,0.170363852499,0.985381224583,5.80930964008
376,0,2.9998,-9.59653032927,0.165593824765,0.986194040339,3.49365961519
376,0,3.4998,-2.65499755758,0.17413834228,0.984721197978,2.24829229199
376,0,3.9998,1.53343423215,0.17706257815,0.984199595315,2.8421121121
376,0,4.4998,8.48649408389,0.172148922621,0.98507093574,4.98296584074
376,0,4.9998,16.5477154954,0.172810671732,0.98495506077,5.45631227572
376,0,5.4998,26.6730974545,0.168078954507,0.985773536393,4.4758626867
376,0,5.9998,33.0420439005,0.163004824887,0.986625271855,4.2346123504
376,0,6.4998,37.4924566751,0.163328140051,0.98657180107,4.34434395615
376,0,6.9998,42.9980751651,0.15264789519,0.988280638328,6.13734292125
376,0,7.4998,45.3365720925,0.148348158298,0.988935197032,5.31947521839
376,0,7.9998,58.0353894522,0.147271390236,0.989096121526,7.52733527212
376,0,8.4998,66.7207158641,0.146552146279,0.989202946023,5.92596343616
376,0,8.9998,70.6856086263,0.164372298058,0.986398371669,5.91887048768
376,0,9.4998,78.0499489579,0.171935033098,0.985108290694,4.04418065655
376,0,9.9998,74.3410485919,0.17951062774,0.983756034049,5.4970170501
376,0,10.4998,69.4071977464,0.182111320539,0.983277919477,4.91718923046
376,0,10.9998,68.3689398256,0.179956705791,0.983674531561,4.77589527007
376,0,11.4998,63.6690308056,0.18734408772,0.982294351402,4.46089711577
376,0,11.9998,61.9025236989,0.181423207062,0.983405114863,2.43153792788
376,0,12.4998,59.5457370849,0.180316066519,0.983608721065,5.55503509011
376,0,12.9998,56.0487372543,0.18499676224,0.982739130167,2.78536199698
376,0,13.4998,50.5330996457,0.187550595095,0.982254943627,4.39470428363
376,0,13.9998,42.9467919307,0.191147911634,0.981561244079,4.78190385972
376,0,14.4998,39.4794140215,0.187355371377,0.982292199305,5.38703155356
376,0,14.9998,34.3789407546,0.196656137818,0.980472520501,3.71048011258
376,0,15.4998,33.1751761831,0.196128835988,0.980578135435,4.25014600289
376,0,15.9998,34.8743034544,0.189672607632,0.981847392375,3.57437596281
