capture_id,lane,independent_track_count,blocks_with_qualified_modes,median_epoch_z,median_epoch_peak_ratio,frame_count,strong_fraction,median_local_peak_ratio,heldout_rms_ns,heldout_mad_ns,apparent_stretch_ppm,apparent_stretch_rate_ppm_s
cap-20260910T144242-5d3167466531,native25,5,9,43.28611289894236,4.186469057976815,1687,1.0,22.95856083139753,195.31905578630196,5.431597438638222,3.9929700974222677,-0.28935242314124116
cap-20260910T144242-5d3167466531,derived2p5,4,9,10.992980095685578,2.1954312849738225,1687,0.3230586840545347,4.192582286136208,830.2444631409217,597.5454445578678,4.035809894951354,0.08087152605562943
cap-20260910T144242-5d3167466531,recorded2p5,7,9,11.19399496792562,2.584251891231311,1687,0.31653823355068167,4.151875926769882,696.483787159742,546.5980009429742,2.5979110777333636,-0.4825505565931899
cap-20260909T180511-4d26661f6312,native25,6,9,40.335811311987634,4.002005629881062,1687,1.0,21.52025357781672,132.04172306368378,4.7144525695010575,-3.9948511639577227,-0.3491268413132644
cap-20260909T180511-4d26661f6312,derived2p5,2,9,9.655320983457885,1.979418594139683,1687,0.2880853586247777,4.030639794536021,890.0740378332853,540.5371524210735,-3.929650441933424,-0.0662499832286921
cap-20260909T180511-4d26661f6312,recorded2p5,3,9,7.590718852082919,2.010741099350094,1687,0.2803793716656787,3.988127403119271,884.7967287479672,704.0337793352652,-4.809359189531993,0.06167805579311377
cap-20260907T122009-79d2b4e4d711,native25,6,9,34.70915391955217,3.5721003477803235,1687,1.0,21.840564014846827,36.6105440249574,3.1373072535424,-5.300236092060507,-0.3279473442818466
cap-20260907T122009-79d2b4e4d711,derived2p5,2,9,8.293121873175405,1.7700157741015623,1687,0.25014819205690575,3.7666343418069284,1075.1330029666817,943.7125106740943,-5.517493368380125,-0.9087319047633395
cap-20260907T122009-79d2b4e4d711,recorded2p5,4,9,9.233453199015734,1.989553567412844,1687,0.18672199170124482,3.293427431927243,954.661368699278,646.0864574509409,-3.7844236360075807,-0.4443720016949185
cap-20260910T142004-f161b21c74ba,native25,6,9,62.89159578478658,6.026003294586034,1687,0.997628927089508,13.195411229579914,446.8755798097725,50.26215668009672,0.4651679627767899,-0.34633403856569667
cap-20260910T142004-f161b21c74ba,derived2p5,4,9,9.465547505129914,2.0489952804313676,1687,0.27919383521043273,3.9435138921141863,973.8621959060873,769.1263285708221,0.3076099692583577,-0.7464289586649
cap-20260910T142004-f161b21c74ba,recorded2p5,5,9,9.135707857249997,1.9868257342706663,1687,0.27800829875518673,4.018989244798574,917.2751658120399,757.7501401192875,1.628443494284981,-0.2089276898739124
cap-20260910T152219-88da5a7cf5ec,native25,8,9,42.986211427331504,4.330617072640215,1688,1.0,18.413401995948956,131.57807455540444,5.345281615713076,1.481706021672957,-0.36795106905452446
cap-20260910T152219-88da5a7cf5ec,derived2p5,5,9,8.927362094672453,1.9237777041799573,1688,0.30390995260663506,4.046471635886224,989.4672806372981,833.1846949980597,1.467562377480217,-0.6952840211354462
cap-20260910T152219-88da5a7cf5ec,recorded2p5,3,9,8.519360261645746,1.9400206311280406,1688,0.2778436018957346,3.87127029778956,970.7942189992069,601.6613402104323,2.7376030508613343,-0.354936914892951
