method_id,iteration,arm,method,classification,superseded_by,registry_aliases,ds1_scope,ds3_scope,ds1_terminal_status,ds1_qualification_status,ds1_ranking_eligible,ds1_qualification_reason,ds3_terminal_status,ds1_estimate,ds3_estimate,ds1_postseal_error_km,ds3_qualified_postseal_error_km,ds3_diagnostic_postseal_error_km,postseal_delta_km,ds3_objective,ds3_runtime_s,ds3_support,qualification_reason,comparability,ds1_postseal_artifact,ds1_postseal_artifact_sha256,ds1_qualification_artifact,ds1_qualification_artifact_sha256,ds3_artifact,ds3_artifact_sha256,method_terminal,iteration_ledger_terminal
baseline-doppler,,baseline,Baseline Doppler,position_method,,[],reports/2026_09_24_ds1_train_full,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,terminal_control,,"{""label"": ""selected"", ""latitude_deg"": 37.847100032440544, ""longitude_deg"": -122.43752834216635, ""postseal_error_km"": 4.231109763301439, ""ranking_eligible"": false}",,,4.231109763301439,,0.6003939358484184,498.0497689200565,"{""observations"": 36270, ""sources"": null, ""tracks"": 1443}",terminal_control,sealed DS3 control; qualification metadata unavailable,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/baseline.json,sha256:2d5792786cb3f778f1818e8518c52a51b15d0677c54c62519ac0c6de188984df,True,
causal-per-norad-orbit-rate,,causal_per_norad_orbit_rate,Causal per-NORAD orbit-rate correction,position_method,,[],reports/2026_09_24_ds1_orbit_arm,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,
fixed-hard-cone-orientation,,fixed_hard_cone_orientation,Fixed hard cone orientation,position_method,,[],reports/2026_09_23_train_fixed_cone,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,qualified,,"{""label"": ""selected"", ""latitude_deg"": 38.68492057707508, ""longitude_deg"": -119.95914883471241, ""postseal_error_km"": 239.3435571630438, ""ranking_eligible"": true}",,239.3435571630438,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",qualified,method-matched DS1/DS3 comparison,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-d/output/geometry/fixed_hard_cone_orientation.json,sha256:44e2e3e0d627abebea56450817882fa2e8eec36c2343e5120efa55d066db13dc,True,
global-time,,shared_global_tau,Shared global receive time,position_method,,[],reports/2026_09_24_ds1_train_full_timing,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,terminal_control,,"{""label"": ""selected"", ""latitude_deg"": 37.847100032440544, ""longitude_deg"": -122.43752834216635, ""postseal_error_km"": 4.231109763301439, ""ranking_eligible"": false}",,,4.231109763301439,,0.5400852697919002,2155.893497816054,"{""observations"": 36270, ""sources"": null, ""tracks"": 1443}",terminal_control,sealed DS3 control; qualification metadata unavailable,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/global_time.json,sha256:72567f1d317656e1e22685361f434c463b5eae737304fd6292d7fc3696c38e58,True,
global-time-plus-per-norad-orbit-rate,,global_tau_per_norad_orbit_rate,Shared global receive time plus causal per-NORAD rate,position_method,,[],reports/2026_09_24_ds1_train_full_orbit_soft,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,terminal_control,,"{""label"": ""selected"", ""latitude_deg"": 37.847100032440544, ""longitude_deg"": -122.43752834216635, ""postseal_error_km"": 4.231109763301439, ""ranking_eligible"": false}",,,4.231109763301439,,0.6157160306323406,3055.353789545945,"{""observations"": null, ""sources"": null, ""tracks"": null}",terminal_control,sealed DS3 control; qualification metadata unavailable,,,,,reports/2026_09_25_ds3_all_iterations_backfill/batch-c/runner-family-output/exact-method-arms/global_time_plus_per_norad_orbit_rate.json,sha256:92ae359b7f53c4a1d8ca2b6d03da1a4b8c6df916a1c14e1a7acddab3be23c7a7,True,
i01-unknown-history,1,unknown,Iteration 1 unknown historical method,missing_history,,[],,DS3/all56,missing_historical_artifact,unavailable,False,no DS1 report directory,missing_historical_artifact,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",missing_historical_artifact,accounting/diagnostic only,,,,,,,True,True
i02-regularized-per-scan-time,2,regularized_per_scan_tau,Iteration 2 regularized per-scan receive time,position_method,,[],reports/2026_09_24_ds1_iteration2,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_boundary,,"{""label"": ""regularized_per_scan_tau"", ""latitude_deg"": 37.85060764676994, ""longitude_deg"": -122.47312014456215, ""postseal_error_km"": 1.1143629742419496, ""ranking_eligible"": false}",,,1.1143629742419496,,,0.04388228605967015,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_boundary,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-02.json,sha256:303e381d886e8fc5534480d2ac3a27e8585557008d008cdffed61f0ccaf37abd,True,True
i02-shared-global-time,2,shared_global_tau,Iteration 2 shared global receive time,position_method,,[],reports/2026_09_24_ds1_iteration2,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,unqualified_boundary,,"{""label"": ""shared_global_tau"", ""latitude_deg"": 37.85060764676994, ""longitude_deg"": -122.47312014456215, ""postseal_error_km"": 1.1143629742419496, ""ranking_eligible"": false}",,,1.1143629742419496,,,0.04388228605967015,"{""observations"": null, ""sources"": null, ""tracks"": null}",unqualified_boundary,terminal but unqualified; estimate is diagnostic only,,,,,reports/2026_09_25_ds3_all_iterations_backfill/output-v4/results/iteration-02.json,sha256:303e381d886e8fc5534480d2ac3a27e8585557008d008cdffed61f0ccaf37abd,True,True
i03-global-time-plus-orbit-rate-screen,3,global_time_plus_per_norad_orbit_rate,Iteration 3 global time plus per-NORAD rate geographic screen,position_method,,"[""rate_aware_joint_geographic_screen""]",reports/2026_09_24_ds1_joint_rate_search,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,True
i04-seed-union-exact-selection,4,seed_union_exact_selection,Iteration 4 seed-union exact selection,position_method,,[],reports/2026_09_24_ds1_joint_rate_search,DS3/all56,historical_terminal,unavailable,False,no sealed DS1 qualification artifact,not_run,,,,,,,,,"{""observations"": null, ""sources"": null, ""tracks"": null}",not_run,pending DS3 terminal result,,,,,,,False,True
