session_id,rate_msps,tracklet_id,channel,edge,span_s,observation_count,local_rms_hz,rate_hz_s,eligibility
scan-fw-8f3d5e4f98298739,15.0,sha256:527d51ff37335446ed628af0f7fc62f2fc277565a2040dea9ab933e6235b0047,4,lower,10.120322333,12,108.23568901657318,-3975.137793140231,sparse
scan-fw-8f3d5e4f98298739,15.0,sha256:1e7e2ccba10c7c37ec194b8aac580ddc77a05759d105ee2948840bec1b94057f,1,upper,15.876437133,13,413.60972079197245,-3036.1697499164657,sparse
scan-fw-8f3d5e4f98298739,15.0,sha256:e7c02a85f2ee9402e9c799c2b95020163dc2d5855b2e84d990022c6ec756b5eb,2,lower,10.9643596,13,199.022311241975,-3153.201526495397,sparse
scan-fw-cac2852c8b997373,20.0,sha256:c1bff962806f8697d3c4f5b56c3d9363e95ac214b574789a3b981ff82a577794,2,upper,7.03629565,12,28.728249674058382,-3666.329228005805,sparse
scan-fw-2cc439088902d3cb,10.0,sha256:66910094e42c1924a2d48acb5428764b53cba8537dc099fcc0d2ea853e45e2ca,3,upper,11.8070197,13,166.08702077988525,-3487.028436952318,sparse
scan-fw-2cc439088902d3cb,10.0,sha256:5635d93266737f8a4354901369555a9078e2ccc0dc0a1235eb49d943ec493845,3,lower,11.8056837,12,163.37201603761966,-3485.245991589243,sparse
scan-fw-84018161c4854b96,15.0,sha256:d392b1506a4271aab8d5ed308d7ba63cfacb4ef3aceb3b2b32e2159ab55aa566,4,upper,13.348376333,13,142.32862714224774,-3668.5507041807346,sparse
scan-fw-339f6cd315644713,20.0,sha256:b7880940269bc9788a441358ae48e6775d3ce32cf049439677c18b5071a5a308,2,upper,5.77361885,12,60.85740956356017,-3514.9170612880607,short+sparse
scan-fw-99d253498c148c7e,10.0,sha256:6062e2b56982463de389cd70e5350438338775ceae602b14bf49e072b0be463c,1,lower,16.2936581,13,144.02445029747398,-3631.5012723280283,sparse
scan-fw-f5c5c846a92fc5e7,15.0,sha256:c4a26f22ca4055c52d45659a529a6645f50a2a66e5d9992e5a689fec6830feb7,2,lower,19.521501666,13,666.3638837042027,-2660.4050762900865,sparse
scan-fw-f5c5c846a92fc5e7,15.0,sha256:b2a8277e246ca391b8f0e4fc9a2cd0d312ecafa5ab6db714643846ac96636310,4,upper,12.3669444,12,117.53339841488248,-3727.5324344410055,sparse
scan-fw-f5c5c846a92fc5e7,15.0,sha256:789e45a6dcdc4e9c00aea2ee083444dacebac6ba007c0a0fd44687e24b336d8c,4,upper,13.769559,12,56.329487654730265,-3065.583503376436,sparse
scan-fw-f5c5c846a92fc5e7,15.0,sha256:e826e37feb1afb8231c8717d835ea45326005db8aa78b87e9f3ef27586b20a8e,4,upper,20.224297133,13,86.14205929490437,-3081.239662446843,sparse
scan-fw-c278e7656221ad52,20.0,sha256:ae191c3247f89f584fde37764ca2020cb2d6ab90b60fd1cd9dd5786bf20025e0,1,lower,11.24837435,13,202.47113292980745,-3182.92201871276,sparse
scan-fw-c278e7656221ad52,20.0,sha256:09ef5a0965f34489e0f110af0b17d014c3114ff9ce0a55ec5198fd4067532e2c,4,upper,10.96695325,13,59.15209569200084,-3909.5691573938243,sparse
scan-fw-c278e7656221ad52,20.0,sha256:798ab6d3c81b87871cb32597a189e4c9814cb4dae7badacb08461999fccd154a,2,lower,16.19488555,12,143.01889538480228,-3628.10921522229,sparse
scan-fw-105c3accc3fd7b27,15.0,sha256:7175539315284328ee0318507fade89c1de477937dc4360ca6555bb2100b5063,3,upper,15.7310664,12,431.9169243284196,-3356.600588719669,sparse
scan-fw-105c3accc3fd7b27,15.0,sha256:6c0b813adff39889c19c92d16b0bcef5c518002446cf1286d9df7231884e2b21,1,lower,5.6309736,14,109.86931540454886,-3546.6147971072874,short
scan-fw-105c3accc3fd7b27,15.0,sha256:ffd2fb24a146295696fcf0fb25086d4a1a5f62c7a9291b00a3c47fceb12615cf,1,upper,18.3949802,13,82.55816004699123,-3647.416464802062,sparse
scan-fw-ccbbacd514abeb9f,20.0,sha256:48ebf3f36d6efae276be9ff85ee208fc1f53febb9b2d25757fe8f814399cabd3,3,lower,15.88174475,12,423.9777875674049,-3624.3702334757177,sparse
scan-fw-7c0ab729e74bedf6,10.0,sha256:e6e431e8d28a79ce872eb900e1e892908888dc5c8cfb561e181111a1b4b22ade,2,lower,9.7003069,13,26.824409426779884,-3753.769806286323,sparse
scan-fw-7c0ab729e74bedf6,10.0,sha256:24630e5128e5e57cea4d48bb8ce3546a5999875bb6c35741d39f5bef6646342c,3,upper,9.9817225,12,197.6897561517366,-2839.5606104983212,sparse
scan-fw-9c432e95cfac4f8b,15.0,sha256:281d688c7a0f53a9a2d840d0d4e4fcb957b1c55a86bafba2bd539e205f2c0a8f,2,upper,13.06439,12,270.446849535939,-3118.0038028455365,sparse
scan-fw-268cf33c4b083540,10.0,sha256:7daf72860f1009c3cddc57283d0487d76e2be53a7e5cfdce41ac50c936410f9a,1,lower,13.7710895,13,362.6157607692125,-2808.299155435301,sparse
scan-fw-268cf33c4b083540,10.0,sha256:4bb9542de273650cea5c551e27fb138964633ec275f202d80428d4b3765a5b12,3,lower,25.8390928,12,1046.865192499385,-3704.469374990233,sparse
scan-fw-268cf33c4b083540,10.0,sha256:e2c410f8f0645b20064c963ae5e21525bc211bbde2e0f47999dff3c3eaa5fa1b,2,lower,16.0135019,12,530.5924601406748,-3398.2243536892643,sparse
scan-fw-f56ff9b54a60fc9c,20.0,sha256:954a09fd3e6f23e33c04c9ee6e6f220e3df510c083e1a054d118d6276208aa7f,1,upper,18.82956505,12,351.8343885825341,-3819.8564529355085,sparse
scan-fw-f56ff9b54a60fc9c,20.0,sha256:5e5de87baa68419ef1f31a295e1e38d9c5e2e1f725237d9999ce0bdbaa58413a,1,lower,17.28556555,12,346.79458615676396,-3795.250819198508,sparse
scan-fw-f56ff9b54a60fc9c,20.0,sha256:48967da7c4a0d7cc460dd5be6671a779a8a5088ebe58da59541cc569df5a5ee7,2,lower,9.0029266,12,71.70885155907145,-3526.8514872947726,sparse
scan-fw-f56ff9b54a60fc9c,20.0,sha256:962bcabf1eef7950506838388859eac6730c52b2ca568f1753776e50fdfce4ce,4,upper,13.91896165,12,47.22606631032042,-3750.7491978316425,sparse
scan-fw-8cc2bf3afeb44437,10.0,sha256:4f82d34a8b3e03479b7fb32f4ab2f160ad47a2fb37c6546f5ba25c08985c8869,2,upper,10.4002519,13,111.07400145319123,-3543.9382088172697,sparse
scan-fw-1f8c05375035758c,15.0,sha256:da357d9cd0db33d4f3e455abe521477b71b0d7e4dc770c4ab9b837885f37b5ef,2,upper,15.174971067,12,134.90943305720634,-3902.404007891135,sparse
scan-fw-1f8c05375035758c,15.0,sha256:8d2ef79465e2dc242b9ba778bb98f3bb3787167c46f4711a7f1675ef8bb666a8,1,upper,14.893741533,12,368.5148915673797,-3120.793863654325,sparse
scan-fw-b06315212ddf5fc7,15.0,sha256:b665d3ed20ed2fcd1b1c62bc0ca3d4d9581abab3fcf6bd48121448133e6964f9,4,upper,13.912441666,12,410.7383324971469,-2864.323485434693,sparse
scan-fw-b06315212ddf5fc7,15.0,sha256:a6d7555100e702515db2249df7528e98e484b6b81159ffcfd641dfab91623f32,2,upper,14.052291466,13,101.31586227275187,-4165.683361955698,sparse
scan-fw-b06315212ddf5fc7,15.0,sha256:60c1c4b6ef0fb3c9cfb078c42cf953d31a1a3cc09155df7e8f87edc8bb77055a,4,lower,10.540128133,12,178.11379391199543,-3085.777792067011,sparse
scan-fw-58e52b6878d5b070,10.0,sha256:94f995e0bd5b338ef5ec4e1f1380f24827f60e78d420904d893e2205142a194a,1,upper,16.0149202,12,304.1157581505706,-3480.073518412899,sparse
scan-fw-58e52b6878d5b070,10.0,sha256:455e674d799de640754cbf8349eb5bc53d2c393796bd1773a473c46ab579bf43,2,lower,16.7149576,13,255.34032152408415,-3823.48683762155,sparse
scan-fw-58e52b6878d5b070,10.0,sha256:cc0265cc3ddf0fed59e2b3e8fb2dcd0dd2d34ff88c035b0575a0f3c10bf5b354,1,lower,14.4696255,13,49.75372359976214,-3995.7412545099673,sparse
scan-fw-219c32625329e76d,15.0,sha256:4ce78d990c97656dbbc6a9433aa85e3e3bb8a7475eb61acecfb4b2b0fee0ee51,2,upper,8.717702867,12,141.10493956504374,-3129.838277607608,sparse
scan-fw-ae29339ef0a8b774,20.0,sha256:c53c0f461147b8e53d3fa273b12e2e3614b705a5c300103c1b4722f65f32adea,3,upper,23.8817275,12,378.3341215105026,-3885.275894735486,sparse
scan-fw-55e1cd429ff192a6,15.0,sha256:e0850654c2258075b2404a051a13bf927b33f8832cc87fd0f5902911f13e474e,2,upper,13.632288534,13,116.03597982081139,-3487.1647446119014,sparse
scan-fw-a8f2afc6e2bd2358,15.0,sha256:caee40289506e7c682d2aadb75709fc254a48894534a951dda5b888718856349,4,upper,16.9964504,13,497.64945066704917,-3064.45291302699,sparse
scan-fw-2c570fb935c75a7e,10.0,sha256:06ae112a0b6c19a9898b19d9c5c684836f58bf65a117441c5e76226cd1ba8f58,1,upper,13.629685,12,45.36532775832037,-4009.0083953545027,sparse
scan-fw-2c570fb935c75a7e,10.0,sha256:1187e8c8b9b2a79cf86fe17866611cb6a9a0540445b3c3b1c6b741041dad110c,2,upper,18.3987079,12,268.49817210347686,-3932.85142042052,sparse
scan-fw-2c570fb935c75a7e,10.0,sha256:2bb7349ad431f3655f5c3e3b16a84030048c5d89fe7a842ec2e45de9898542d2,2,lower,18.5431254,13,748.327729218942,-2882.220866712019,sparse
