session_id,rate_msps,tracklet_id,channel,edge,start_s,span_s,observations,norad,runner_norad,fit_rms_hz,evaluation_rms_hz,runner_evaluation_rms_hz,runner_ratio,tau_s,production_norad,production_accepted,png
scan-fw-494cdb3ae1f42bec,15.0,sha256:26e4ef6fe76d46e7e92468572a8d8e5c045266e130319d3b7eeb37ca36c50952,1,upper,36.635998445,20.765438577000005,23,64042,57328,91.36101999018145,147.29178057025968,124.03625839551928,0.8421125599493499,0.0,68705,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-494cdb3ae1f42bec/tle-review-01.png?sha256=sha256:8b0b5566cf313dedc21f7e02875e6a5b67b35b29e51a15c4b16732e67e8752a1
scan-fw-494cdb3ae1f42bec,15.0,sha256:77857b7c06384b665f8ddd0cedf58de9e15cb1835329892ae77c633d1d742512,1,lower,71.154782785,24.136053984,20,67495,52560,108.07250734971801,157.01491018265207,1063.4604495869517,6.77299021061026,-2.0,64220,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-494cdb3ae1f42bec/tle-review-03.png?sha256=sha256:69a3dbb0b8d07aebec5d7d8f4b7bf9b7468c73545b4d216ca3f2801fbc4004db
scan-fw-494cdb3ae1f42bec,15.0,sha256:95c52fed6733cd596ee8277a239eff0afc3242f4d311e7f96d70c8f609a4e51a,1,lower,237.167355952,28.347732063999985,25,59369,64134,92.72469431025368,107.8386109201993,620.6760982379552,5.75560175471155,0.0,65214,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-494cdb3ae1f42bec/tle-review-10.png?sha256=sha256:58d956b3b46e22046d11148c5c5932ba00aeb2417a0255951aa6ea545bef68db
scan-fw-f56ff9b54a60fc9c,20.0,sha256:3f0fe00320e9ae24bff47be61fd25a755efec055a814dc9c2979e8627dbdb497,2,lower,100.684548216,33.84967516200001,28,58859,55477,102.91208842331649,107.97977316507888,251.19035189141977,2.3262722686720347,-1.0,55477,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-f56ff9b54a60fc9c/tle-review-03.png?sha256=sha256:be44dfea49ea8181ba343ccbc00be8a5a67cd607a2670549663c35d143f4bd47
scan-fw-8cc2bf3afeb44437,10.0,sha256:e4095ca33da1a910c23ba0ef61bc0d17d65d604acbf51c1b013340219bbdb6f5,2,lower,250.775794861,34.65810080799997,31,67310,57331,20.375437740030765,25.65663310546977,147.58290445153676,5.752231941145597,-1.0,57331,True,http://gauss:8090/api/v1/scanner/tracking/scan-fw-8cc2bf3afeb44437/tle-review-08.png?sha256=sha256:be08e961552abb01264e2d3e06dacff11f8456f5e1899be420ef47443cd402b5
scan-fw-1f8c05375035758c,15.0,sha256:e20e61c4132fc21aca560959bfbf351bf203740a1ade1ad0abf8e4c8c55585de,1,lower,56.15304042,21.609299213999996,26,53397,56482,204.56700613350995,227.1018105944097,275.94888312995477,1.2150888731696774,4.0,56482,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-1f8c05375035758c/tle-review-01.png?sha256=sha256:1c6c825073da033957d6199d81d590ab3fd75ac527a0fd650b8714679ead57ec
scan-fw-b623e058c7e3a4c4,10.0,sha256:f39e6397cd174731cd982c4f188532973c47ba37aa2c8097ca925cbdb2dfc347,1,lower,235.907665922,12.485266556,18,60286,52837,115.62192373538359,51.4390626683344,364.7017820586511,7.089977210707602,0.0,49763,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-b623e058c7e3a4c4/tle-review-07.png?sha256=sha256:6280b0ea948e3f9d6a7f4c113fb4e9506d5eaf84dd194ffd71c0a36c17ad6a6a
scan-fw-b623e058c7e3a4c4,10.0,sha256:33b4cfd95ef6504136a5c61cab9a9061dd7895659337795840c64177f9b1d6b0,3,lower,251.200195765,28.203480087000003,32,63483,52837,96.30386663652956,69.13365248695975,1188.3948376922822,17.189817041945552,-5.0,49763,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-b623e058c7e3a4c4/tle-review-09.png?sha256=sha256:1101b131224fffc354c7c5a91288189c77181dbd130d350e4348cc4e6801ee8f
scan-fw-b06315212ddf5fc7,15.0,sha256:b03b6d8584f45a092a972c5409ba8a3b165f347584874af4d073b3eb2b24422c,3,lower,147.36748244,37.888218981999984,40,62044,60121,351.1816642210028,327.3480216975193,700.7539601160903,2.140700152951011,-5.0,60121,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-b06315212ddf5fc7/tle-review-10.png?sha256=sha256:b1ee05771510f030f7f229d6c8cdca6e1363b47dc06af59f38d01cdbe330a339
scan-fw-b06315212ddf5fc7,15.0,sha256:f5eb2264cad3887ec0f8405f0437157b4d87f6f0f6990372e3c9efbc51f3e99f,3,upper,214.862416193,29.46144528900001,25,60262,62220,72.41687326512755,74.78015917902333,776.2101170339499,10.379893885699103,0.0,62220,False,http://gauss:8090/api/v1/scanner/tracking/scan-fw-b06315212ddf5fc7/tle-review-16.png?sha256=sha256:7cc22911f28cc34761710d47a3f33352377c7a91edb9f1c70da2a4ec723b5c8b
