session_id,rate_msps,tracklet_id,channel,edge,span_s,observation_count,local_rms_hz,rate_hz_s,eligibility
scan-fw-ca412a042c7f030b,15.0,sha256:736d28cd41a299ff961fa22d04b2d8c2bbec5930e0f42169ba5166fe1424cc64,4,lower,9.5589008,11,150.89552133382108,-3257.1253789198704,sparse
scan-fw-ca412a042c7f030b,15.0,sha256:686729d151d347c18ac371caaf710cec58ddac463a333595add7f0fd037669a3,2,upper,28.363548533,28,266.37121623444864,-3667.6711043299456,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:395870719601bfc3fb029004c57c60d42990bfadf2605db09864ee6b8cd16861,3,lower,7.454953867,12,15.742988268884767,-3711.970656712112,sparse
scan-fw-ca412a042c7f030b,15.0,sha256:6b1c70ca28a9e27f438678f77fc21443340cab0ef60caa7bef9385d7b697287f,4,lower,21.7695272,22,551.0741304000215,-3440.9497050759383,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:004e9b6122f216443c3c012d847e7f9664e8c1c0d74fe6c224ed8fafd221b7a9,4,lower,29.063085934,20,1010.4755384949535,-3616.974252537573,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:9aca0662ac4dd0c84c2779c870d93bd8339155076d6af34e260e9b66ddf72976,4,upper,11.525609066,8,204.78630703593896,-3602.4191164985805,sparse
scan-fw-ca412a042c7f030b,15.0,sha256:b7ca1cf92f7305efa3a6e16bbff252b4e4e8582079ecdb29c1fd49f0751559a7,4,upper,24.0151462,24,274.31062891008673,-3919.7332923163835,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:e59e09d942b9a5a81726d0f9783fff470b4cdd86949918d19c1c732cae65e888,4,lower,25.558933533,32,272.2230656142559,-3924.5878027894205,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:610b8fd0c7e8cf35e44197c3e1c3b0015d353cd0ec797ac7f1b8f5eca9834e27,2,upper,21.348298333,20,635.3616929695813,-3302.226285675986,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:cda3b31acc90206d1fcf8ff744e78b208fc12f96e410839b85b668588799007e,1,lower,28.928213333,27,637.8386711591833,-3861.30240903122,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:07b361641a4a5b6bc9fd678fadc071297e95704b411c5e92b7d4a678d03c0409,1,upper,28.505570133,23,623.1245669203951,-3843.031893749444,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:51b35b6556002657caad8ea7c057cf07151330b9cfb5a1dc29ca0e9863641ef6,2,upper,21.0655816,19,219.1517927005113,-3600.802323475162,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:15815410afa94415ab6f787156ecbbbadf7b53203dafa116638d349e689a1483,2,upper,16.432347533,16,257.28442218421657,-3627.5262860886905,eligible
scan-fw-ca412a042c7f030b,15.0,sha256:632d447e7f6f4a78df0d8be1902454153ec46be77453e41d207960fb18addcb0,4,lower,12.925634933,10,91.00609513993042,-3722.9670716621717,sparse
scan-fw-ca412a042c7f030b,15.0,sha256:375ccf85a9e0f6d1736271e3361f2359f94461aaf6735670dd485ee3db531353,2,upper,6.8923524,8,60.23898387394649,-3507.0327008743034,short+sparse
scan-fw-ca412a042c7f030b,15.0,sha256:e65c367ab65ff644b4af9c881f41350bf160fb4bbea110fb348876f9929228a8,2,upper,5.2097072,10,14.651293573994572,-3701.429686524844,short+sparse
scan-fw-ca412a042c7f030b,15.0,sha256:b5b2ac372a18bd7dbade4f62cd6b5327c51dbdf0ef8e718dee7c487b28431fc5,1,lower,8.434950867,8,87.13738509499663,-3675.2216339557185,sparse
scan-fw-41baafbb4271e426,10.0,sha256:4207254e99b64bdb912b89328cbbfc1972976601ab7a45462af8b2ba98baaad4,2,lower,25.4151129,28,537.4051331220809,-3564.7885264020956,eligible
scan-fw-41baafbb4271e426,10.0,sha256:65c479c588f2f9553b9040088f3a6934f0bb7bbab91869f822a4292933a8a70a,2,upper,24.572439,37,439.1352095810214,-3560.624765390575,eligible
scan-fw-41baafbb4271e426,10.0,sha256:56685852024b7b4e66ab3d8b9d924d82790c2aab55f2eda87d2edb45efccf933,2,lower,24.573622,36,715.7819414603657,-3227.5055019568204,eligible
scan-fw-41baafbb4271e426,10.0,sha256:34208e7c643f128477a0a4d716ee2f25b788dd24b57377cae0d55ccaa57d8267,2,upper,27.3777046,23,527.8587152734491,-3522.5883841220584,eligible
scan-fw-41baafbb4271e426,10.0,sha256:a55684d9beee524e9f920eca947434b5820927d9935a46d8943e2196323cec25,4,upper,29.9016782,30,231.33001467576392,-3899.104982342117,eligible
scan-fw-41baafbb4271e426,10.0,sha256:7f69054b1964f03ea58c384a8b316220cfb0f98a1201094fcb90f36da3c9a65b,1,lower,10.822995,10,128.76359149859897,-3834.8544369774927,sparse
scan-fw-41baafbb4271e426,10.0,sha256:edf1750b7df7701468e0c5698a72e66a9a1bab4cdb9f0e617f167dd3d4b506bc,4,lower,24.9923215,22,310.26275324686156,-3884.834437629628,eligible
scan-fw-41baafbb4271e426,10.0,sha256:f353897a43e2d31205947528bc624211f0ad5338effc645f9ef82c3eab29fa0f,3,upper,29.1988623,35,258.2259645120286,-4219.703138825801,eligible
