visit_index,split,target_index,receiver_id,device_counter,time_s,phase_rad,residual_cfo_hz,exact_coherence,control_coherence,margin,held_even_odd_phase_rad,training_supported
2,development,5,1,492149340418,0.0011174,-0.6523837990970659,301.37616384678756,0.04097980460020457,0.005866372327135033,0.03511343227306953,-0.1408854415610814,True
2,development,5,1,492149353751,0.0024507,2.7753744378388707,253.77467532418288,0.03438647409741918,0.004639861966277006,0.029746612131142172,0.11742028160573015,True
2,development,5,1,492149367085,0.0037841,2.343452899893338,232.89673582231768,0.03412141977563223,0.007837970088144453,0.02628344968748778,-0.25584407269814635,True
2,development,5,1,492149380418,0.0051174,-0.3532809755315583,222.55875981150635,0.029855466946152737,0.003466734767942103,0.026388732178210632,-0.3637087416881837,True
2,development,5,1,492149393751,0.0064507,-0.7621205336838897,252.62041613296117,0.03590958151933352,0.004558355793700755,0.03135122572563276,0.1219697900888912,True
2,development,5,1,492149407085,0.0077841,2.53546068367001,228.63430684982438,0.029030397732781158,0.004915826412743336,0.024114571320037824,-0.24142215623302254,True
2,development,5,1,492149420418,0.0091174,-0.7497947187559528,193.75100195778987,0.03556169342582537,0.007386792573158746,0.028174900852666628,-0.08575203774561402,True
2,development,5,1,492149433751,0.0104507,-1.1511271092907556,226.82689985638143,0.040241620875572925,0.0035780281066807498,0.036663592768892174,-0.11876483728263398,True
2,development,5,1,492149447085,0.0117841,2.0154832083756484,218.09522117321666,0.04072975747523081,0.005008113573678298,0.03572164390155251,-0.2560570694319897,True
2,development,5,1,492149460418,0.0131174,1.4429589734655728,176.07013800495773,0.038146720013759315,0.0037269824867272715,0.03441973752703204,-0.1274912531097192,True
2,development,5,1,492149473751,0.0144507,-1.6227020903271914,185.31537018219663,0.04079947338809852,0.0035205459252111147,0.037278927462887405,-0.22632716779111361,True
2,development,5,1,492149487085,0.0157841,-2.2595788687705127,193.27266276559257,0.03830861635320106,0.008119894488793931,0.03018872186440713,0.045536141974026334,True
2,development,5,1,492149500418,0.0171174,0.6629420250041278,217.05427800200763,0.04050023079215293,0.004924329608860748,0.03557590118329218,-0.19807261925267872,True
2,development,5,1,492149513751,0.0184507,7.317707425787071e-05,159.3508510860844,0.04576994733279481,0.004508295195554512,0.0412616521372403,-0.11326876976310962,True
2,development,5,1,492149527085,0.0197841,3.0516317255792997,211.10058877264177,0.03974111048979923,0.005265121557036955,0.034475988932762276,0.019698081001789047,True
2,development,5,1,492149540418,0.0211174,-0.20876673313733268,144.260371453792,0.03974940448270677,0.004733759597440147,0.03501564488526662,-0.2490896621493055,True
2,development,5,1,492149553751,0.0224507,-0.9896363263684766,203.51887772912096,0.034172086550034085,0.00552282351697604,0.028649263033058044,0.12092168005459802,True
2,development,5,1,492149567085,0.0237841,1.7117453969797123,134.76328804725443,0.03851603451367919,0.0057512039753492466,0.03276483053832994,-0.10749131573349713,True
2,development,5,1,492149580418,0.0251174,0.9385345918304308,151.4897445909357,0.03325855437628193,0.0044662588176111045,0.028792295558670827,-0.14664949011618655,True
2,development,5,1,492149593751,0.0264507,-2.536128295656277,228.5545474119397,0.033240390415148764,0.005737757893601221,0.027502632521547544,-0.10818922906255901,True
2,development,5,1,492149607085,0.0277841,-0.00844816740597,88.14367285003522,0.03715606164977191,0.008690589878892227,0.02846547177087968,0.12610203563328248,True
2,development,5,1,492149620418,0.0291174,-0.7172245095804775,122.13521087770589,0.035016192728088175,0.005387816705173013,0.02962837602291516,0.06234093277731945,True
2,development,5,1,492149633751,0.0304507,1.9016350660693693,111.51395187628393,0.027578635327162475,0.006135485179580601,0.021443150147581875,-0.06232016395044382,True
2,development,5,1,492149647085,0.0317841,0.8887793747604357,151.7356584573319,0.037873738635885404,0.005856107034459765,0.032017631601425636,-0.33222961760963887,True
2,development,5,1,492149660418,0.0331174,-2.935705773165176,94.2512799115163,0.03607327233149213,0.005083812507318252,0.03098945982417388,0.050628820629281535,True
2,development,5,1,492149673751,0.0344507,-0.36676912630413155,138.65275409862605,0.034756743420800866,0.005542869177094768,0.029213874243706098,-0.16524187597858897,True
2,development,5,1,492149687085,0.0357841,-1.2797889408860366,105.50542262846965,0.0333853708745734,0.007472762682662927,0.02591260819191047,0.16053932653793623,True
2,development,5,1,492149700418,0.0371174,1.112826214801028,110.77100660339953,0.03226814301364415,0.007537586347915197,0.024730556665728952,-0.24624681753090316,True
2,development,5,1,492149713751,0.0384507,-0.12527172426972258,81.94542413954667,0.03988128062191384,0.0053889145820073085,0.03449236603990653,-0.10338688188402778,True
2,development,5,1,492149727085,0.0397841,2.3829058122935023,65.93520385143984,0.0233490232093119,0.007002054232100811,0.01634696897721109,0.06868538333546437,True
2,development,5,1,492149740418,0.0411174,1.1527858466002365,135.9327432411452,0.028586698144949185,0.004814127896120082,0.023772570248829103,-0.15957080367596865,True
2,development,5,1,492149753751,0.0424507,-2.924744411477422,109.17091574361996,0.03352179600188163,0.0055786320710640835,0.027943163930817548,-0.2633595827515116,True
2,development,5,1,492149767085,0.0437841,2.0115449975794997,70.86156263365808,0.02610992876490188,0.006046274655883394,0.020063654109018485,0.1398332318137585,False
2,development,5,1,492149780418,0.0451174,-1.9756513854203237,85.9002785461864,0.036911794879588136,0.00526974746393952,0.03164204741564862,-0.058386451867878275,True
2,development,5,1,492149793751,0.0464507,2.761515391398197,164.27381287785346,0.03301278039943737,0.0051290652195480685,0.0278837151798893,-0.07022934014421711,True
