method,frame_count,span_s,reference_time_s,cfo_hz,rate_hz_s,conditional_rate_sigma_hz_s,training_objective,even_exact_objective,even_control_objective,odd_exact_objective,odd_control_objective,even_exact_minus_control,odd_exact_minus_control,odd_cfo_rms_hz,odd_cfo_median_absolute_hz,cfo_search_boundary,rate_search_boundary,profile_support_complete,fit_symbols,validation_symbols,carrier_phase_connected,odd_symbols_influenced_fit,label,window_id,duration_ms,block_index,window_start_s,window_stop_s,initial_glrt_rate_hz_s,rate_delta_from_glrt_hz_s
summed_profile,9,0.017333600000000615,49.12855622222222,-189114.24176725146,-6524.317833827783,373.0168600493246,-4.503805337069681,-4.503805337069681,-1094.8914449573952,-7.431058699228876,-1082.0445529815088,1090.3876396203254,1074.6134942822798,60.77522253770324,29.77953853836516,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0006,20.0,6,49.1201116,49.1374452,-3699.3178338277826,-2825.0000000000005
occupancy_mixture,9,0.017333600000000615,49.12855622222222,-189114.24176725146,-6524.317833827783,373.64918900384936,-19.447121043162895,-4.503805337069681,-1094.8914449573952,-7.431058699228876,-1082.0445529815088,1090.3876396203254,1074.6134942822798,60.77522253770324,29.77953853836516,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0006,20.0,6,49.1201116,49.1374452,-3699.3178338277826,-2825.0000000000005
glrt_rate_recentered,10,0.018666799999998318,49.1711784,-189271.9147496214,-3699.3178338277826,,-9.75373974439592,-9.75373974439592,-603.0343321650914,-15.712030723216838,-529.5345250679155,593.2805924206955,513.8224943446987,173.65990093857405,81.31397407835175,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0008,20.0,8,49.1601116,49.1787784,-3699.3178338277826,0.0
frame_maxima,10,0.018666799999998318,49.1711784,-189277.0507828695,-4256.054450220874,6220.766196083433,-10.253191733795065,-10.253191733795065,-603.4288135268058,-16.512936085138872,-529.2226765296874,593.1756217930107,512.7097404445485,174.57485442875742,83.91215251974063,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0008,20.0,8,49.1601116,49.1787784,-3699.3178338277826,-556.7366163930915
summed_profile,10,0.018666799999998318,49.1711784,-189271.9147496214,-3199.3178338277826,,-9.84563065184031,-9.84563065184031,-602.9716448586563,-16.022168100647324,-529.5891290159831,593.126014206816,513.5669609153357,174.59608857825182,78.98057407836313,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0008,20.0,8,49.1601116,49.1787784,-3699.3178338277826,500.0
occupancy_mixture,10,0.018666799999998318,49.1711784,-189266.9147496214,-5899.317833827783,488.72212282463755,-29.3637786133587,-10.490758704379672,-603.0511612926394,-14.701107963354806,-529.6014114309692,592.5604025882598,514.9003034676143,168.33702477723799,82.61989346433256,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0008,20.0,8,49.1601116,49.1787784,-3699.3178338277826,-2200.0000000000005
glrt_rate_recentered,11,0.018666800000005423,49.189323890909094,-189339.04068774497,-3699.3178338277826,,-10.270150757391404,-10.270150757391404,-1283.4326256967695,-7.308734085031198,-1302.8721689540937,1273.1624749393782,1295.5634348690626,78.64377501497916,44.73739929264411,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0009,20.0,9,49.1801116,49.1987784,-3699.3178338277826,0.0
frame_maxima,11,0.018666800000005423,49.189323890909094,-189322.78735569707,-7640.073572168396,4759.830940751143,-12.771179469782028,-12.771179469782028,-1283.9850296276225,-16.530987801497005,-1302.3780148747305,1271.2138501578404,1285.8470270732334,87.85206302480317,47.624835557013284,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0009,20.0,9,49.1801116,49.1987784,-3699.3178338277826,-3940.7557383406133
summed_profile,11,0.018666800000005423,49.189323890909094,-189329.04068774497,-4699.317833827783,,-9.99553370415687,-9.99553370415687,-1283.6011868990838,-9.282228465202069,-1302.7766665341578,1273.6056531949268,1293.4944380689558,80.36593385800565,36.19190838356735,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0009,20.0,9,49.1801116,49.1987784,-3699.3178338277826,-1000.0000000000005
occupancy_mixture,11,0.018666800000005423,49.189323890909094,-189329.04068774497,-4699.317833827783,,-29.207212748989257,-9.99553370415687,-1283.6011868990838,-9.282228465202069,-1302.7766665341578,1273.6056531949268,1293.4944380689558,80.36593385800565,36.19190838356735,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0009,20.0,9,49.1801116,49.1987784,-3699.3178338277826,-1000.0000000000005
glrt_rate_recentered,10,0.01733319999999594,49.210645119999995,-189417.91469076008,-3699.3178338277826,,-6.264734922629976,-6.264734922629976,-1270.918545587492,-5.2921001414378495,-1202.1423183287695,1264.653810664862,1196.8502181873316,57.49144819364789,14.791150630495395,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0010,20.0,10,49.2014452,49.2187784,-3699.3178338277826,0.0
frame_maxima,10,0.01733319999999594,49.210645119999995,-189427.60867858614,-4828.63897425246,2916.1439311020417,-7.094109270818806,-7.094109270818806,-1270.6458271717486,-7.794419215377626,-1202.1888192062447,1263.5517179009298,1194.394399990867,59.65969848353124,32.74610581183515,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0010,20.0,10,49.2014452,49.2187784,-3699.3178338277826,-1129.3211404246772
summed_profile,10,0.01733319999999594,49.210645119999995,-189417.91469076008,-3449.3178338277826,,-6.510446891951802,-6.510446891951802,-1270.9328040074001,-5.4308216921390695,-1202.1438067039812,1264.4223571154482,1196.7129850118422,57.26205194866692,15.557122776852339,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0010,20.0,10,49.2014452,49.2187784,-3699.3178338277826,250.0
occupancy_mixture,10,0.01733319999999594,49.210645119999995,-189417.91469076008,-3449.3178338277826,,-22.942615585079434,-6.510446891951802,-1270.9328040074001,-5.4308216921390695,-1202.1438067039812,1264.4223571154482,1196.7129850118422,57.26205194866692,15.557122776852339,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0010,20.0,10,49.2014452,49.2187784,-3699.3178338277826,250.0
glrt_rate_recentered,10,0.017333600000000615,49.228245120000004,-189483.02268463548,-3699.3178338277826,,-5.345050837917293,-5.345050837917293,-1227.072522644303,-9.703113048367374,-1263.8480263392573,1221.7274718063857,1254.14491329089,73.79684647059211,32.84807485464262,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0011,20.0,11,49.2201116,49.2374452,-3699.3178338277826,0.0
frame_maxima,10,0.017333600000000615,49.228245120000004,-189474.9893527002,-802.2911537657541,2410.9974639151797,-8.689977310528871,-8.689977310528871,-1226.683562641147,-16.443503648594334,-1264.4689327833728,1217.9935853306183,1248.0254291347785,76.29947221013744,53.41889422337408,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0011,20.0,11,49.2201116,49.2374452,-3699.3178338277826,2897.0266800620284
summed_profile,10,0.017333600000000615,49.228245120000004,-189488.02268463548,-3149.3178338277826,259.29469153035006,-5.380758867358185,-5.380758867358185,-1226.9502469958013,-11.498863547587318,-1263.923246893251,1221.569488128443,1252.4243833456637,77.88461860959184,35.04807485463971,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0011,20.0,11,49.2201116,49.2374452,-3699.3178338277826,550.0
occupancy_mixture,10,0.017333600000000615,49.228245120000004,-189483.02268463548,-3699.3178338277826,129.5677020690687,-22.098673462040846,-5.345050837917293,-1227.072522644303,-9.703113048367374,-1263.8480263392573,1221.7274718063857,1254.14491329089,73.79684647059211,32.84807485464262,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0011,20.0,11,49.2201116,49.2374452,-3699.3178338277826,0.0
glrt_rate_recentered,9,0.016000000000005343,49.26900066666666,-189633.79040524684,-3699.3178338277826,,-5.089217895199968,-5.089217895199968,-1244.9705116415978,-5.637013477226244,-1167.6259183386378,1239.881293746398,1161.9889048614116,48.35671953551283,25.332825594960013,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0013,20.0,13,49.2614452,49.2774452,-3699.3178338277826,0.0
frame_maxima,9,0.016000000000005343,49.26900066666666,-189635.98316972112,-5119.307170754566,4213.462428305742,-6.753066587374116,-6.753066587374116,-1245.005530291286,-7.006672959679684,-1167.329669621424,1238.2524637039119,1160.3229966617444,47.63251539238607,22.476865314762108,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0013,20.0,13,49.2614452,49.2774452,-3699.3178338277826,-1419.9893369267834
summed_profile,9,0.016000000000005343,49.26900066666666,-189628.79040524684,-3049.3178338277826,331.6270962621532,-5.1305784295404075,-5.1305784295404075,-1244.906834629288,-5.954966400209726,-1167.5653960615718,1239.7762561997474,1161.610429661362,48.66281144001911,25.761399044073187,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0013,20.0,13,49.2614452,49.2774452,-3699.3178338277826,650.0
occupancy_mixture,9,0.016000000000005343,49.26900066666666,-189628.79040524684,-3049.3178338277826,332.3584027322158,-19.715519891296573,-5.1305784295404075,-1244.906834629288,-5.954966400209726,-1167.5653960615718,1239.7762561997474,1161.610429661362,48.66281144001911,25.761399044073187,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0013,20.0,13,49.2614452,49.2774452,-3699.3178338277826,650.0
glrt_rate_recentered,12,0.018666800000005423,49.28922286666667,-189708.5987503461,-3699.3178338277826,,-5.255364140739449,-5.255364140739449,-1266.0184466270164,-2.217457861069621,-1221.1693723283843,1260.763082486277,1218.9519144673147,52.1403986225472,15.718081699189497,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0014,20.0,14,49.2801116,49.2987784,-3699.3178338277826,0.0
frame_maxima,12,0.018666800000005423,49.28922286666667,-189722.88529660722,-800.5705765621675,2292.1733503307923,-5.834779697472755,-5.834779697472755,-1266.5601561586946,-6.66123063620825,-1220.881616908577,1260.7253764612217,1214.2203862723686,58.14155924532614,41.838924429379404,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0014,20.0,14,49.2801116,49.2987784,-3699.3178338277826,2898.747257265615
summed_profile,12,0.018666800000005423,49.28922286666667,-189708.5987503461,-1699.3178338277826,,-4.494746248348914,-4.494746248348914,-1265.8398782025058,-2.9631878590924075,-1220.905265446923,1261.3451319541568,1217.9420775878307,49.16689560447126,26.553810048964806,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0014,20.0,14,49.2801116,49.2987784,-3699.3178338277826,2000.0
occupancy_mixture,12,0.018666800000005423,49.28922286666667,-189708.5987503461,-1699.3178338277826,,-25.69028254459039,-4.494746248348914,-1265.8398782025058,-2.9631878590924075,-1220.905265446923,1261.3451319541568,1217.9420775878307,49.16689560447126,26.553810048964806,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0014,20.0,14,49.2801116,49.2987784,-3699.3178338277826,2000.0
glrt_rate_recentered,11,0.018666799999998318,49.30920265454545,-189782.51033596217,-3699.3178338277826,,-10.541747910057424,-10.541747910057424,-1355.0951257915872,-9.693888363738381,-1228.0260721358559,1344.5533778815297,1218.3321837721176,91.35089972777908,38.82690533294226,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0015,20.0,15,49.3001116,49.3187784,-3699.3178338277826,0.0
frame_maxima,11,0.018666799999998318,49.30920265454545,-189784.90411765964,-5072.41154380305,4896.800845328581,-11.373584624770594,-11.373584624770594,-1355.0359255295643,-12.170269682219192,-1228.4064971802652,1343.6623409047938,1216.236227498046,91.6321917655586,43.423618608969264,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0015,20.0,15,49.3001116,49.3187784,-3699.3178338277826,-1373.0937099752678
summed_profile,11,0.018666799999998318,49.30920265454545,-189772.51033596217,-4924.317833827783,304.4866598407145,-10.01308176492489,-10.01308176492489,-1355.3121619110225,-9.62385011759179,-1228.480002692048,1345.2990801460976,1218.8561525744562,93.35096475236884,55.06344715112937,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0015,20.0,15,49.3001116,49.3187784,-3699.3178338277826,-1225.0000000000005
occupancy_mixture,11,0.018666799999998318,49.30920265454545,-189772.51033596217,-4924.317833827783,305.23263109374625,-28.68521404397077,-10.01308176492489,-1355.3121619110225,-9.62385011759179,-1228.480002692048,1345.2990801460976,1218.8561525744562,93.35096475236884,55.06344715112937,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0015,20.0,15,49.3001116,49.3187784,-3699.3178338277826,-1225.0000000000005
glrt_rate_recentered,10,0.015999999999998238,49.32971176,-189858.380035526,-3699.3178338277826,,-4.464447678756587,-4.464447678756587,-1250.4720039527783,-8.789482700291673,-1157.505807565598,1246.0075562740217,1148.7163248653062,86.51046202255395,35.31628868279222,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0016,20.0,16,49.3214452,49.3374452,-3699.3178338277826,0.0
frame_maxima,10,0.015999999999998238,49.32971176,-189855.9287755586,-3462.4071277165654,3479.0980053853104,-4.928422435283132,-4.928422435283132,-1250.426241240231,-8.93528272411291,-1157.464385248592,1245.4978188049479,1148.529102524479,86.56830483043714,33.402001045426005,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0016,20.0,16,49.3214452,49.3374452,-3699.3178338277826,236.91070611121722
summed_profile,10,0.015999999999998238,49.32971176,-189858.380035526,-4949.317833827783,,-4.563109668134925,-4.563109668134925,-1250.5664697696457,-8.648492538414743,-1157.4649492386582,1246.0033601015107,1148.8164567002434,88.64405254308663,32.483088682784,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0016,20.0,16,49.3214452,49.3374452,-3699.3178338277826,-1250.0000000000005
occupancy_mixture,10,0.015999999999998238,49.32971176,-189858.380035526,-4699.317833827783,,-21.525292275278424,-4.543377270258212,-1250.5475766062727,-8.676690570787478,-1157.4731209040465,1246.0041993360146,1148.796430333259,88.18326754353289,33.049728682774,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0016,20.0,16,49.3214452,49.3374452,-3699.3178338277826,-1000.0000000000005
glrt_rate_recentered,10,0.018666799999998318,49.34917844,-189910.39347201545,-3699.3178338277826,,-3.9266257789901386,-3.9266257789901386,-1367.4119517622762,-3.81173570795225,-1370.0293588594554,1363.485325983286,1366.2176231515032,42.48986852222525,19.320240649569314,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0017,20.0,17,49.3401116,49.3587784,-3699.3178338277826,0.0
frame_maxima,10,0.018666799999998318,49.34917844,-189914.1115737612,-3264.456657849475,3302.1824030904972,-3.737693009867911,-3.737693009867911,-1367.627949819641,-3.7853565630058705,-1369.906216622829,1363.890256809773,1366.1208600598231,41.39918713614682,16.91201083220949,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0017,20.0,17,49.3401116,49.3587784,-3699.3178338277826,434.86117597830753
summed_profile,10,0.018666799999998318,49.34917844,-189920.39347201545,-2499.3178338277826,340.663893602301,-3.4215530114786277,-3.4215530114786277,-1368.0032747941282,-3.7388243117355238,-1369.6965890382849,1364.5817217826495,1365.9577647265494,40.68880629105289,12.507892298977822,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0017,20.0,17,49.3401116,49.3587784,-3699.3178338277826,1200.0
occupancy_mixture,10,0.018666799999998318,49.34917844,-189920.39347201545,-2499.3178338277826,341.4041916404995,-19.60546493342324,-3.4215530114786277,-1368.0032747941282,-3.7388243117355238,-1369.6965890382849,1364.5817217826495,1365.9577647265494,40.68880629105289,12.507892298977822,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0017,20.0,17,49.3401116,49.3587784,-3699.3178338277826,1200.0
glrt_rate_recentered,12,0.017333200000003046,49.37055619999999,-190009.47660083068,-3699.3178338277826,,-4.063059452108281,-4.063059452108281,-1693.6705469610563,-4.541872307322935,-1630.890468536797,1689.607487508948,1626.348596229474,57.34412870608221,20.92969675596396,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0018,20.0,18,49.3614452,49.3787784,-3699.3178338277826,0.0
frame_maxima,12,0.017333200000003046,49.37055619999999,-189989.4806847656,-6476.469943886882,2216.6675024806627,-9.477061181768766,-9.477061181768766,-1692.7091380388872,-12.677753154855335,-1631.0396645645462,1683.2320768571185,1618.361911409691,60.40991760649183,41.1086344224168,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0018,20.0,18,49.3614452,49.3787784,-3699.3178338277826,-2777.1521100590994
summed_profile,12,0.017333200000003046,49.37055619999999,-190009.47660083068,-3449.3178338277826,,-4.3063159626502605,-4.3063159626502605,-1693.7095117186589,-4.893085913641639,-1630.8845655775176,1689.4031957560087,1625.991479663876,57.83788474804921,20.096346755963168,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0018,20.0,18,49.3614452,49.3787784,-3699.3178338277826,250.0
occupancy_mixture,12,0.017333200000003046,49.37055619999999,-190009.47660083068,-3449.3178338277826,,-23.167456123049362,-4.3063159626502605,-1693.7095117186589,-4.893085913641639,-1630.8845655775176,1689.4031957560087,1625.991479663876,57.83788474804921,20.096346755963168,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0018,20.0,18,49.3614452,49.3787784,-3699.3178338277826,250.0
glrt_rate_recentered,10,0.018666799999998318,49.38944511999999,-190079.35271944845,-3699.3178338277826,,-2.2984780767835447,-2.2984780767835447,-1863.1270945592166,-5.204585467768245,-1866.709379929931,1860.828616482433,1861.5047944621626,48.41507752317935,10.10545865650056,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0019,20.0,19,49.3801116,49.3987784,-3699.3178338277826,0.0
frame_maxima,10,0.018666799999998318,49.38944511999999,-190077.5528720607,-3062.086461208785,781.5048945398632,-2.495995363648629,-2.495995363648629,-1863.3161756304462,-6.2991904922073365,-1866.790028906177,1860.8201802667975,1860.4908384139696,48.22140486255853,17.42798643669812,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0019,20.0,19,49.3801116,49.3987784,-3699.3178338277826,637.2313726189977
summed_profile,10,0.018666799999998318,49.38944511999999,-190079.35271944845,-2699.3178338277826,,-2.4326997548338554,-2.4326997548338554,-1863.2469793916614,-7.182321503453741,-1866.720437562799,1860.8142796368275,1859.5381160593452,49.58891777497205,18.772138656524476,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0019,20.0,19,49.3801116,49.3987784,-3699.3178338277826,1000.0
occupancy_mixture,10,0.018666799999998318,49.38944511999999,-190079.35271944845,-2699.3178338277826,,-15.494212661719464,-2.4326997548338554,-1863.2469793916614,-7.182321503453741,-1866.720437562799,1860.8142796368275,1859.5381160593452,49.58891777497205,18.772138656524476,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0019,20.0,19,49.3801116,49.3987784,-3699.3178338277826,1000.0
glrt_rate_recentered,11,0.017333200000003046,49.41089963636364,-190158.71979444864,-3699.3178338277826,,-3.012399389099603,-3.012399389099603,-1444.6575177365364,-6.061796834098376,-1487.3838578615932,1441.645118347437,1481.3220610274948,74.38504450128764,9.894328121474246,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0020,20.0,20,49.4014452,49.4187784,-3699.3178338277826,0.0
frame_maxima,11,0.017333200000003046,49.41089963636364,-190161.2360458031,-2199.9954863601038,2109.9971080784035,-3.4874878118910164,-3.4874878118910164,-1444.739359434315,-7.4025519799964545,-1487.187141634492,1441.251871622424,1479.7845896544957,75.63848384359245,13.104354147799313,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0020,20.0,20,49.4014452,49.4187784,-3699.3178338277826,1499.3223474676788
summed_profile,11,0.017333200000003046,49.41089963636364,-190158.71979444864,-2949.3178338277826,,-3.2951557172174386,-3.2951557172174386,-1444.6947461199252,-6.657785694708667,-1487.2533365140953,1441.3995904027076,1480.5955508193865,75.09880546686038,7.4999682868947275,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0020,20.0,20,49.4014452,49.4187784,-3699.3178338277826,750.0
occupancy_mixture,11,0.017333200000003046,49.41089963636364,-190158.71979444864,-2949.3178338277826,,-21.512332308831457,-3.2951557172174386,-1444.6947461199252,-6.657785694708667,-1487.2533365140953,1441.3995904027076,1480.5955508193865,75.09880546686038,7.4999682868947275,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0020,20.0,20,49.4014452,49.4187784,-3699.3178338277826,750.0
glrt_rate_recentered,10,0.018666799999998318,49.42997844,-190229.29835298873,-3699.3178338277826,,-6.701320390446975,-6.701320390446975,-1359.5446680234704,-3.0787817206310266,-1333.4391336792576,1352.8433476330235,1330.3603519586266,33.81090750267655,17.627160582051147,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0021,20.0,21,49.4201116,49.4387784,-3699.3178338277826,0.0
frame_maxima,10,0.018666799999998318,49.42997844,-190201.60821499804,-9073.841815882812,3276.120569899352,-12.968288087161127,-12.968288087161127,-1359.5328580725472,-18.345679589236152,-1332.8168159083,1346.564569985386,1314.4711363190638,37.2543919514133,31.04208634533279,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0021,20.0,21,49.4201116,49.4387784,-3699.3178338277826,-5374.523982055029
summed_profile,10,0.018666799999998318,49.42997844,-190224.29835298873,-5449.317833827783,277.0763208277513,-5.912043556388388,-5.912043556388388,-1359.5822375552227,-4.308067263938705,-1333.1943565051179,1353.6701939988343,1328.8862892411792,28.516471843667027,20.78698149252159,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0021,20.0,21,49.4201116,49.4387784,-3699.3178338277826,-1750.0000000000005
occupancy_mixture,10,0.018666799999998318,49.42997844,-190224.29835298873,-5449.317833827783,277.5297867199948,-22.862317450804177,-5.912043556388388,-1359.5822375552227,-4.308067263938705,-1333.1943565051179,1353.6701939988343,1328.8862892411792,28.516471843667027,20.78698149252159,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0021,20.0,21,49.4201116,49.4387784,-3699.3178338277826,-1750.0000000000005
