method,frame_count,span_s,reference_time_s,cfo_hz,rate_hz_s,conditional_rate_sigma_hz_s,training_objective,even_exact_objective,even_control_objective,odd_exact_objective,odd_control_objective,even_exact_minus_control,odd_exact_minus_control,odd_cfo_rms_hz,odd_cfo_median_absolute_hz,cfo_search_boundary,rate_search_boundary,profile_support_complete,fit_symbols,validation_symbols,carrier_phase_connected,odd_symbols_influenced_fit,label,window_id,duration_ms,block_index,window_start_s,window_stop_s,initial_glrt_rate_hz_s,rate_delta_from_glrt_hz_s
glrt_rate_recentered,11,0.017333200000003046,49.051263272727276,-188828.3105807557,-3699.3178338277826,,-6.561927405614649,-6.561927405614649,-1266.6911822426641,-8.910735250419727,-1257.0943074720228,1260.1292548370495,1248.183572221603,69.70951766632906,31.372284681536257,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0002,20.0,2,49.0414452,49.0587784,-3699.3178338277826,0.0
frame_maxima,11,0.017333200000003046,49.051263272727276,-188838.01139915377,-5815.669930818785,2305.787446447989,-6.298645730578361,-6.298645730578361,-1266.8883755487277,-14.343956772689221,-1256.7838523571022,1260.5897298181494,1242.439895584413,78.61470984355923,34.40305389420246,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0002,20.0,2,49.0414452,49.0587784,-3699.3178338277826,-2116.352096991003
summed_profile,11,0.017333200000003046,49.051263272727276,-188833.3105807557,-6199.317833827783,,-5.50232978175767,-5.50232978175767,-1266.9241749625205,-12.692809070168845,-1256.7701433932978,1261.4218451807628,1244.077334323129,76.25570095660395,28.493102863343665,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0002,20.0,2,49.0414452,49.0587784,-3699.3178338277826,-2500.0000000000005
occupancy_mixture,11,0.017333200000003046,49.051263272727276,-188833.3105807557,-6199.317833827783,,-24.607162414921287,-5.50232978175767,-1266.9241749625205,-12.692809070168845,-1256.7701433932978,1261.4218451807628,1244.077334323129,76.25570095660395,28.493102863343665,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0002,20.0,2,49.0414452,49.0587784,-3699.3178338277826,-2500.0000000000005
glrt_rate_recentered,12,0.015999999999998238,49.10933396666667,-189063.13253446843,-3699.3178338277826,,-11.197422312308781,-11.197422312308781,-933.684738030163,-13.503727127713164,-934.0127073668715,922.4873157178542,920.5089802391583,119.70533014109851,49.12800744973356,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0005,20.0,5,49.1014452,49.1174452,-3699.3178338277826,0.0
frame_maxima,12,0.015999999999998238,49.10933396666667,-189080.24655907328,675.7978459031897,4269.559294914122,-9.91685032971171,-9.91685032971171,-932.8986264281574,-16.906361232683814,-933.4656583767905,922.9817760984457,916.5592971441067,105.07725915927968,56.361335537658306,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0005,20.0,5,49.1014452,49.1174452,-3699.3178338277826,4375.115679730972
summed_profile,12,0.015999999999998238,49.10933396666667,-189073.13253446843,-449.3178338277826,,-9.72289244151674,-9.72289244151674,-933.1269736122267,-15.076408598536178,-933.7804038137845,923.40408117071,918.7039952152483,108.67611928454542,54.861331313455594,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0005,20.0,5,49.1014452,49.1174452,-3699.3178338277826,3250.0
occupancy_mixture,12,0.015999999999998238,49.10933396666667,-189073.13253446843,-449.3178338277826,,-32.913855336666686,-9.72289244151674,-933.1269736122267,-15.076408598536178,-933.7804038137845,923.40408117071,918.7039952152483,108.67611928454542,54.861331313455594,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0005,20.0,5,49.1014452,49.1174452,-3699.3178338277826,3250.0
glrt_rate_recentered,9,0.017333600000000615,49.12855622222222,-189114.24176725146,-3699.3178338277826,,-6.194673704991546,-6.194673704991546,-1094.4999003410235,-6.111241051655916,-1082.0085919121152,1088.3052266360319,1075.8973508604593,59.16157719812749,17.183823007624596,False,False,True,upstream GLRT64 (even + odd Qin); local even-Qin intercept,odd Qin response (not fit-withheld from upstream GLRT64 slope),False,True,D1,D1-20ms-0006,20.0,6,49.1201116,49.1374452,-3699.3178338277826,0.0
frame_maxima,9,0.017333600000000615,49.12855622222222,-189111.43261261476,-8097.086052980142,2837.581163188388,-4.768231676233457,-4.768231676233457,-1095.1320790175355,-8.574475225914963,-1081.9170525960697,1090.363847341302,1073.3425773701547,63.33712295555361,34.65961277470342,False,False,True,even Qin,odd Qin,False,False,D1,D1-20ms-0006,20.0,6,49.1201116,49.1374452,-3699.3178338277826,-4397.76821915236
