base_cfo_hz,center_phase_samples,frame_count,frame_residual_mad_ns,glrt_cfo_hz,modulo_residual_hz,phase_residual_rms_cycles,precise_aligned_pss_minus_glrt_hz,precise_pss_cfo_hz,prior_pss_cfo_hz,pss_coarse_cfo_hz,robust_z,slope_sigma_hz,split_even_odd_difference_ns,time_s,timing_rate_s_s,track_rank,visit_index
-200002.90298587276,2675.5779548124547,90,402.84117587660495,133697.98702780288,-2.9029858727589137,0.6485121672003624,-2125.388554077217,-211252.90298587276,-221822.08605048063,-200000.0,15.690200002755729,1.953130957514409,-220.13149997110304,169.2445318,-2.9787041898765256e-06,2,1246
-199981.5124669945,2681.279687046583,90,500.33218769903846,133312.82419420723,18.487533005507238,0.40263337020902484,-1718.8352016033023,-211231.5124669945,-200571.84678236968,-200000.0,16.27029941187877,1.20939799723792,55.15625616781108,169.364877,8.49389138946284e-07,2,1247
-200014.03628994446,2709.610007425878,90,409.32604197234383,129121.86185450586,-14.036289944461378,0.5722272970528369,-1310.3966848518903,-215014.03628994446,-219260.22818202022,-200000.0,22.945657494814157,1.6466106242361909,-82.5279238287294,170.4480457,2.6915867283572128e-06,2,1255
-199986.75138180578,2716.524186622937,90,563.6769653355444,128095.58754537647,13.248618194208047,0.8633330928936156,-1756.8374675838277,-216486.75138180578,-212448.02937231847,-200000.0,13.178820920690107,2.560025173711973,-101.03721368732295,170.7288605,1.904071828607283e-07,2,1257
-200018.78198339255,2725.976934383493,90,472.6988685180495,126465.63959867532,-18.781983392535608,0.6614962123155136,-1658.9201224694407,-218018.78198339255,-215315.46707873323,-200000.0,15.825551751544369,1.8043593236691235,-40.54391995214246,171.149564,2.513880214497242e-06,2,1260
-199954.58298525307,2731.460630035619,90,319.13372051192954,125456.70895514252,45.41701474691618,0.7518204227671662,-1335.7904807971645,-218704.58298525307,-224080.94517768972,-200000.0,13.12382745463621,2.2407925327709286,-101.79698509664377,171.4302932,-6.228431577249034e-08,2,1262
-199996.5785051523,2755.347901406705,90,543.0875180773953,120361.74185424091,3.421494847689811,0.7929820037801633,-1532.8188997948018,-223996.5785051523,-224249.06835306942,-200000.0,10.722912323317933,2.4185243726333066,165.54494337187862,172.7955122,4.324756784380539e-07,2,1272
-199985.58077428656,2757.593228259147,90,498.1738824848627,119956.5517466609,14.419225713443645,0.5981871126074495,-1116.631061349035,-223985.58077428656,-235798.38762451886,-200000.0,12.264513012274591,1.6796438867428671,-200.50992494925595,172.9160564,-9.491210064596698e-07,2,1273
-199986.77470619624,2764.3004876043983,90,508.1139200874887,118892.6277060696,13.22529380375578,0.5377041069551094,-1553.90095266742,-225486.77470619624,-218713.6041524597,-200000.0,11.769213940387182,1.5822996169933685,-108.93336628678298,173.1963917,-5.120475695687468e-07,2,1275
-200037.95343553557,2777.4602606969147,90,365.57729165980265,114364.17398163969,-37.95343553555855,1.4945946318066445,-826.6259575768345,-229287.95343553557,-229494.89571768403,-200000.0,15.3674363077283,4.499809490371726,102.68274952331922,174.3804201,6.972994187908606e-07,2,1284
-200005.6280980453,2782.4010091905902,90,306.1345824637406,112822.76145063265,-5.6280980452959195,0.805349851328436,-752.8880890795263,-230755.6280980453,-231130.62049483223,-200000.0,14.208463038961417,2.317025318982055,63.48029162027161,174.8023099,3.912966502210719e-06,2,1287
-200006.1217915601,2783.482710170595,90,545.394514473482,112327.92775776594,-6.121791560085071,0.5747060025734175,-1008.5480897275993,-231506.1217915601,-239066.57165184268,-200000.0,13.809028901020866,1.6805428703821854,187.28237253062616,174.9224424,2.3633809432265484e-06,2,1288
-199998.6917377325,2790.398061312694,90,507.93518949465783,108072.23886065485,1.3082622675066269,0.3614351686394333,-495.4291387889243,-235248.6917377325,-220327.25557588777,-200000.0,18.1701368008536,1.0510227505647944,-13.822643275580049,176.0052082,-1.7115045538902983e-06,2,1296
-200012.2469333652,2792.754290578942,90,569.9956700224939,106665.99248588314,-12.246933365202656,0.41930298612941325,-602.7379596499231,-236762.2469333652,-226310.76306253218,-200000.0,13.822641695243465,1.2589631097974063,230.37863594126975,176.4070288,3.7752067374316057e-06,2,1299
-200007.20773620484,2793.696760488486,90,541.1426552474629,105493.7658077029,-7.207736204839364,0.48779926575467764,-175.4720843093237,-237507.20773620484,-224228.6530528104,-200000.0,11.481740121699705,1.4454873271133213,77.15443502611379,176.6874806,3.7681821676480395e-06,2,1301
-200004.9705800842,2795.6781713946125,90,426.35878412356516,102557.04754555777,-4.970580084187402,0.43079576610245884,-236.51666604353522,-240504.9705800842,-237531.63619388372,-200000.0,20.8295543649776,1.260787137831877,375.69567886648656,177.4903046,3.6035930596852107e-06,2,1307
-199994.5683687362,2790.4185194190313,90,539.0058794604217,98426.62752782898,5.431631263814938,0.9510666246319217,154.30556303325284,-244244.5683687362,-254372.6658961146,-200000.0,15.173443958533696,2.905279219320598,-105.45525556835855,178.5536597,1.2859620210429287e-06,2,1315
-199985.71669244525,2790.9359309599004,90,278.03241265430563,97982.16694900484,14.283307554759434,0.5596992313998042,-142.38218185165897,-244985.71669244525,-238564.94281407353,-200000.0,20.81666384016872,1.662473720505108,-143.07776338337135,178.6736637,-1.2056199278678212e-06,2,1316
-199995.19314735138,2791.7991361503905,90,314.1943436947473,97541.5121534181,4.806852648621211,0.6186874067068123,288.7961588289472,-244995.19314735138,-248338.4198080994,-200000.0,16.972855123964735,1.7305251567436604,89.90458097050578,178.7937152,-4.419782807785247e-06,2,1317
-200016.2834485465,2783.0442265663005,90,518.3056887881108,92937.32510466412,-16.283448546524347,0.5405728534786829,371.89290638778766,-249516.2834485465,-251770.09245886665,-200000.0,17.610471078631797,1.6263976848412902,-42.02002714127957,179.997722,-3.183655680847775e-07,2,1326
-199967.85641515502,2780.8575824766463,90,545.2859749355232,92465.26286259174,32.143584844965154,0.8052810315336015,142.38218185165897,-250217.85641515502,-251437.4252959063,-200000.0,16.01220061025341,2.2678987569055242,614.9419221023891,180.1184784,1.6655351899637198e-06,2,1327
-200040.31696284603,2768.9865544303425,90,468.60900870242295,89065.19150454123,-40.31696284603294,0.5005073891275263,469.99299221116235,-253290.31696284603,-250369.32503343688,-200000.0,14.895260579079288,1.4275707247799467,63.99485341707987,181.0641728,-2.4535360360739428e-06,2,1334
-199985.37481081864,2768.5708139904,90,453.229173827061,87994.50629131125,14.625189181355914,0.6072643815234968,845.6203574685351,-253985.37481081864,-251981.48725427993,-200000.0,16.358486541821907,1.8542525515326758,170.20242107046215,181.345165,-1.8583267024522713e-06,2,1336
-200003.64875228688,2763.812590565371,90,522.4312151090624,86907.40596173314,-3.648752286874271,0.6576635886850297,414.44674557840335,-255503.64875228688,-258093.4509122223,-200000.0,17.261921179104164,1.7983642667613016,60.436126630520455,181.6256839,2.3029259927216157e-07,2,1338
-199967.84385356968,2757.533620778739,90,637.5741722372879,85441.08584181344,32.156146430328434,0.5452749536952682,416.5717642153031,-256967.84385356968,-259581.53653180585,-200000.0,11.161481238529708,1.5053656053437072,31.45969138322471,182.0267233,-1.3063629633248692e-06,2,1341
-200027.67856517737,2741.702161414933,90,557.312592803632,82274.17528335538,-27.67856517738183,0.4989975526025144,523.6476110656804,-260027.67856517737,-274573.48311378557,-200000.0,15.753185816032216,1.4213036662296163,-67.67415164094928,182.8689424,3.075907509555063e-06,2,1347
-199995.06008671466,2733.2007049275007,90,452.2182667315161,80200.0,4.93991328534611,0.6588404301206364,1130.441372883768,-261495.06008671466,-266011.96744828665,-200000.0,11.568890892085346,1.8304789936105164,65.25626265947722,183.3912142,4.806871652621327e-06,2,1351
-199987.73554334886,2710.3496226807283,90,779.3140110415688,76558.79954816324,12.264456651149157,0.5752240867569666,1028.9663680863596,-265237.7355433488,-270394.3545003476,-200000.0,8.597329711158322,1.632632662882497,211.1234912060354,184.3561196,-8.202426643439118e-07,2,1358
-200017.74819661482,2697.025066141004,90,568.4887982846956,74489.4246751533,-17.74819661481521,0.5160830371697512,1568.3285878303286,-266767.7481966148,-264206.5234270731,-200000.0,13.360345914648674,1.3381479774089695,44.497947969011875,184.9174189,-7.9706720355623e-07,2,1362
-200005.03783824018,2685.7091990587514,90,609.7183346479582,72934.93328567695,-5.037838240191111,0.5512739306395658,1635.5303356813238,-268255.03783824015,-262381.6613461875,-200000.0,10.277711287570451,1.577570054634067,83.0955710377566,185.3391803,2.311277853815346e-06,2,1365
-199992.11959340321,2654.08878191105,90,545.612394261659,68904.44364868716,7.880406596794807,1.0527856765167354,1178.9382175080827,-272742.1195934032,-268213.0658184014,-200000.0,7.852220901547331,2.75484219868067,-157.18061594789106,186.4233019,-1.1385828146735664e-06,2,1373
-200056.69669320664,2650.502943431527,90,868.1453143644768,68442.00193658218,-56.69669320663557,0.7472869188146632,1576.8028298095742,-272806.6966932067,-276741.550256037,-200000.0,8.320796420924527,2.2958078429296114,32.264810002743616,186.5433975,-5.489231301201056e-06,2,1374
-200023.57042122705,2642.1670882496305,90,604.0903805013312,67401.1230615336,-23.570421227037215,0.5189276950209579,1900.8079768378084,-273523.570421227,-265323.1122662501,-200000.0,10.91055029792248,1.5117634534124438,-244.25246645487277,186.823864,-7.811672233735572e-06,2,1376
-200003.92311418764,2588.3123422812414,90,573.1286785428904,62097.20449344766,-3.9231141876277857,0.9833591294953767,1974.3738519631006,-278753.92311418767,-283139.4844036933,-200000.0,7.46240701473369,2.6634555230341728,16.836969537052937,188.2900916,-3.0810153879640152e-06,2,1387
-200007.46191548163,2768.6679290640323,90,98.59877363012434,120968.51196357736,-7.46191548163721,0.7464627728819732,-9485.531478518707,-226257.46191548163,-228650.76431252688,-200000.0,19.699940855619566,2.1005745997012815,-199.4633329503813,172.6554434,1.0809541024989908e-06,3,1271
-199995.10567963927,2778.3672337679,90,626.8816003420226,118421.93586717673,4.894320360737348,0.6128298094708928,-9176.599146275708,-228495.10567963927,-206524.47832446813,-200000.0,15.92363915214104,1.6800782294873777,332.9229298325117,173.3363959,3.119226158900408e-06,3,1276
-200059.11113474416,2779.693385874993,90,888.9478983040028,117957.56953408882,-59.11113474415086,1.3434863907826335,-9526.238268292698,-229309.11113474416,-226878.05071174324,-200000.0,14.265668278497817,3.822520223239252,265.59247549676,173.4567275,4.497826621856967e-06,3,1277
-199995.55302172247,2785.5159077901217,90,458.8460811471805,116274.27691556793,4.446978277534339,0.49987364227476894,-8529.387536750117,-229995.55302172247,-229515.44772090216,-200000.0,11.661575470201402,1.4471446575707945,-54.25169831214589,173.8783742,2.1832936235451815e-06,3,1280
-200055.88440966382,2789.017333944145,90,302.75090055930167,115899.63854093627,-55.884409663814914,0.6066803474192904,-8965.080550059807,-230805.88440966382,-218454.89446858672,-200000.0,13.416039044000806,1.6935632071798792,-16.533903036452102,173.9989869,-1.3368913166684995e-06,3,1281
-200024.63192400703,2789.428115555655,90,288.7576802379746,115380.43392565062,-24.63192400702699,0.5381518994411346,-8414.623449117367,-230774.63192400703,-234109.98820780808,-200000.0,15.371866953909674,1.6139343745098016,-206.47699247429045,174.1196486,3.1484502015951735e-07,3,1282
-199983.05978656598,2792.9506000532024,90,351.97165972751986,113791.4875245705,16.940213434010552,0.7553307186502293,-8284.104910596201,-232233.05978656598,-235193.1099953475,-200000.0,12.690660659505816,2.1809643325874304,-69.78244303109022,174.5213473,3.287502616872448e-07,3,1285
-200046.29602974272,2786.060756999554,90,611.154876727168,111086.95323193999,-46.29602974270731,0.5066009813358016,-7142.806861142424,-233796.29602974272,-243672.21326288147,-200000.0,13.649832604442741,1.4735349163777167,-78.54750814940417,175.2034202,4.049367014706338e-06,3,1290
-199990.77562913307,2787.3127241183965,90,600.3421839011808,110185.86512881635,9.224370866922815,0.49425831591387787,-6936.198357409143,-234490.77562913307,-233394.61806882956,-200000.0,13.509734682026043,1.3508072155734034,2.8179855168673384,175.444224,-3.5611451046858775e-06,3,1292
-199988.61073955733,2792.5742998629257,90,552.4393226895594,103379.11332688453,11.389260442656322,0.8006027262152872,-5377.281665901581,-239738.61073955733,-248562.25084703174,-200000.0,15.685069383670294,2.3726499217937933,-226.40552277507595,177.2093771,1.988893718914171e-06,3,1305
-199981.3087649095,2793.8847239275215,90,494.92634600766087,101593.91290053168,18.6912350904922,0.6229678815165862,-5084.779264900906,-241231.3087649095,-232881.23998865375,-200000.0,16.19205410411355,1.8533516715082983,258.34176798534827,177.6307598,-2.816707686478207e-06,3,1308
-199961.9486354765,2796.0609163292447,90,778.8843633778932,101117.44330085556,38.05136452349043,0.8116905089832639,-4588.949535791777,-241211.9486354765,-243119.1121937469,-200000.0,10.339669616256359,2.387710933131813,229.24144350927236,177.75131,-1.2595883895195589e-06,3,1309
-199996.02505731376,2787.6925405271463,90,540.6252064821363,95508.7199224787,3.974942686226,0.38069285891599847,-3514.3025792521803,-245746.02505731376,-255804.9141712827,-200000.0,13.976375366598868,1.0764131356809084,-61.31750901358827,179.2155565,-3.408019120364957e-06,3,1320
-200005.2628184007,2789.3660505043063,90,550.2457929332722,95056.9305344279,-5.262818400687582,0.5785028672303449,-3071.7509522883047,-245755.2628184007,-223454.02832943632,-200000.0,15.357200021065008,1.659526630718342,50.55801220678404,179.3363289,-2.5168746034424276e-06,3,1321
-199986.22067407184,2787.7303025181227,90,552.6384402646837,94611.63811433194,13.779325928165779,0.8775020107590863,-3357.416387863501,-246486.22067407184,-236865.9505283515,-200000.0,14.735475992146869,2.587187069690224,320.64043377149574,179.4570818,-2.790444251685863e-06,3,1322
-199975.83271727065,2785.4804131485034,90,667.863623158536,94115.48224502383,24.16728272935732,0.9840575726337228,-2850.872561754193,-246475.83271727065,-251695.98702815734,-200000.0,14.540145816633057,2.8487877830397026,85.85682815864857,179.5772171,-4.315565586709009e-06,3,1323
-200036.73371355486,2782.615013371083,90,309.77483256932794,92967.44407464615,-36.73371355486591,0.6943289639143,-2513.735387660723,-247286.73371355486,-236463.69984382842,-200000.0,12.58943395940472,1.8063161796761045,91.00832251306201,179.8575391,9.122010166398318e-07,3,1325
-200015.10539486344,2768.668546445646,90,476.1699924335135,87914.37364756399,-15.105394863426207,0.6563588182982104,-1939.0366418871417,-251765.10539486344,-264385.8353855071,-200000.0,17.16717098710354,1.976512918113078,90.1526930793807,181.2048409,-2.1089934549823518e-06,3,1335
