session_id,candidate_name,tracklet_id,lane,candidate_id,t512_s,t8192_s,cfo512_hz,cfo8192_hz,common_display_reference_hz,difference8192_minus512_hz
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:57ef4b074c3e5caba908eb9f755abaf9b51a066ea47c6ef83033739ef8cbdf60,203.7684024742028,203.76840247232403,-408702.4122539817,-408621.0685615421,-408842.02572836564,81.34369243960828
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:7a25e22b3d74a78520fa937660a15407da1a0cb01ab6ebe2f324da98c4540036,204.77507785664295,204.7750778567298,-411501.5770732145,-411528.6916373611,-411745.49478352396,-27.114564146555495
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:dd69c8509ff5ff0a965d1e8ef80a4188d0681e8fd4d698c1b27b66e190411ca5,205.78108628992177,205.78108628921845,-414671.69091431936,-414617.46178602625,-414694.5071684686,54.22912829311099
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:e8d7d3552e080c797636c07fb4bb0ab41c340657668bacc7e993f77ee51a3865,206.786427751871,206.78642775396844,-417455.56023179693,-417591.13305252965,-417687.1995162452,-135.57282073271926
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:7a825233728c7aa723b5cba89b7447be9218e5cf8b90fe9e5f7c8afcc2f71bb0,207.79443567962616,207.79443567965208,-420635.64298470673,-420635.64298470673,-420731.854860893,0.0
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:a49783b9cb6850fc90b8300b332ea81a7e14b1e53e9cc385e5fe719337e40085,208.79977662198078,208.79977662094944,-423432.25350913487,-423622.0554581607,-423810.5925794111,-189.80194902583025
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:136074fd0df2bf029c2396d4dfe10c2c6a92c37f0a630855457a8b7748b384df,209.80378396925178,209.80378396936362,-427059.1938879616,-426869.3919389358,-426925.4802950985,189.80194902583025
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:c2ec1e9f9c2769e3944a131a3687f4c1547632569f09cb1b01197e148a0040c1,210.81045769805414,210.8104576988452,-429788.3059431923,-429923.878763925,-430087.23841821303,-135.57282073271926
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:20dee52d25847c45ad75f266f7f2d47f1a4f43b39d827739a8c4ae0cb39a5e00,211.81579782235653,211.81579782287656,-433044.1946002255,-433071.309164372,-433281.61212448525,-27.114564146497287
scan-hop-12a4736937c06530,STARLINK-36469,sha256:61da7dfe1197d5e917f7b1f781dd480ecd1dac93aaa0fba8e8bcb9e96173822d,CH4 lower · RX0,sha256:66d457f59d6939fa36210eda4847e25ba6a063ecdf809ac561fa8a9f65510cf1,212.8231376704282,212.82313767085418,-436551.827290589,-436362.02534156316,-436517.4549520328,189.80194902583025
