fs,version,profile,case,attempted,recovered,common,alias_changes,rank_changes,timing_error_ns_rms,timing_error_ns_p95,timing_error_ns_max,timing_error_ns_all_recovered_rms,cfo_error_hz_rms,cfo_error_hz_p95,cfo_error_hz_max,cfo_error_hz_all_recovered_rms,raw_cfo_error_hz_rms,raw_cfo_error_hz_p95,raw_cfo_error_hz_max,raw_cfo_error_hz_all_recovered_rms
2500000,native,grid512,delay_ns,72,65,65,1,22,24.209309728986412,46.86784510567949,52.158266669074294,24.209309728986412,51.86960407497549,151.41686850521927,202.19444388878765,51.86960407497549,28192.790353213357,178.47656671195287,227297.1590909147,28192.790353213357
2500000,native,grid8192,delay_ns,72,65,65,1,17,24.201212174468612,46.865033333011496,51.389167266203515,24.201212174468612,9.283774957578732,23.553379430308986,40.141855297610164,9.283774957578732,28192.744166414355,23.553379430308986,227297.1590909147,28192.744166414355
2500000,native,local512,delay_ns,72,65,65,1,21,24.209479922475765,46.86784510567949,52.158266669074294,24.209479922475765,6.585783119995413,13.02446061422815,30.05603898537811,6.585783119995413,28190.057632698117,14.767934356094333,227275.50438897283,28190.057632698117
2500000,native,joint512,delay_ns,72,65,65,1,36,6.393823489414468,10.096520168259717,41.64039595093174,6.393823489414468,21.112345997927754,18.503272960870518,163.54900288381032,21.112345997927754,28209.998770311842,18.503272960870518,227436.27627561108,28209.998770311842
2500000,native,grid512,shift_hz,72,66,66,2,17,0.530503714124956,0.45660190355783536,3.99094627473711,0.530503714124956,46.09360243159272,49.31631476198123,222.35727340183803,46.09360243159272,39564.75392469863,49.31631476198123,227495.0845461291,39564.75392469863
2500000,native,grid8192,shift_hz,72,66,66,2,16,0.5374786600044734,0.025545181611295528,4.364582354169852,0.5374786600044734,13.270132082266803,20.273645026245845,65.4910696604677,13.270132082266803,39564.72930020091,25.50056587718393,227290.96840778255,39564.72930020091
2500000,native,local512,shift_hz,72,66,66,2,16,0.5303349834177632,0.454854884443176,3.99094627473711,0.5303349834177632,8.646460422411373,0.2033830621459174,70.21919634688334,8.646460422411373,39563.32004840962,0.2033830621459174,227273.9814524461,39563.32004840962
2500000,native,joint512,shift_hz,72,66,66,2,21,4.468113507981686,0.4476886975555722,25.667391119759028,4.468113507981686,28.35889340695983,0.0914630208322933,162.9255434682127,28.35889340695983,39591.46247623352,0.0914630208322933,227435.65281619548,39591.46247623352
5000000,native,grid512,delay_ns,72,68,68,0,17,9.297403820053171,15.59932671361888,21.63307388497026,9.297403820053171,68.04372492176374,130.20896291816308,343.62487166543724,68.04372492176374,68.04372492176374,130.20896291816308,343.62487166543724,68.04372492176374
5000000,native,grid8192,delay_ns,72,68,68,0,22,9.309849975414098,15.6520386822305,21.665956890208264,9.309849975414098,6.370086348250963,16.0891644314077,25.22552281845128,6.370086348250963,6.370086348250963,16.0891644314077,25.22552281845128,6.370086348250963
5000000,native,local512,delay_ns,72,68,68,0,18,9.297112017498637,15.59932671361888,21.63307388497026,9.297112017498637,2.5270816436262065,5.59744151670529,10.084670672891662,2.5270816436262065,2.5270816436262065,5.59744151670529,10.084670672891662,2.5270816436262065
5000000,native,joint512,delay_ns,72,68,68,0,31,2.426808811264213,5.892514539755066,8.473766785243953,2.426808811264213,2.480076670367508,2.3686440344084985,11.360019292624202,2.480076670367508,2.480076670367508,2.3686440344084985,11.360019292624202,2.480076670367508
5000000,native,grid512,shift_hz,72,68,68,0,20,7.238147745787122,11.607342136819797,40.677435539392995,7.238147745787122,65.94247169531995,193.47733701425366,258.1543994673507,65.94247169531995,65.94247169531995,193.47733701425366,258.1543994673507,65.94247169531995
5000000,native,grid8192,shift_hz,72,68,68,0,18,7.089413901776516,10.886776140794298,41.22962049589798,7.089413901776516,24.855169591434276,37.33471010519419,120.3454573388608,24.855169591434276,24.855169591434276,37.33471010519419,120.3454573388608,24.855169591434276
5000000,native,local512,shift_hz,72,68,68,0,20,7.238147745787122,11.607342136819797,40.677435539392995,7.238147745787122,23.26511827994921,38.6859413425791,131.58466976725504,23.26511827994921,23.26511827994921,38.6859413425791,131.58466976725504,23.26511827994921
5000000,native,joint512,shift_hz,72,68,68,0,23,8.485552187631253,12.379402994632514,47.38948200229496,8.485552187631253,23.09488084674727,31.306475853455904,131.9869281602023,23.09488084674727,23.09488084674727,31.306475853455904,131.9869281602023,23.09488084674727
2500000,filtered,grid512,delay_ns,72,62,62,0,23,24.28937018165026,45.33563281371568,48.461108929387905,24.28937018165026,45.47902750392483,30.315677640918807,345.4866453903378,45.47902750392483,45.47902750392483,30.315677640918807,345.4866453903378,45.47902750392483
2500000,filtered,grid8192,delay_ns,72,62,62,0,18,24.22208486918436,45.17701239266966,48.13050957225303,24.22208486918436,9.070259953425749,15.169901106809265,50.682404306018725,9.070259953425749,9.070259953425749,15.169901106809265,50.682404306018725,9.070259953425749
2500000,filtered,local512,delay_ns,72,62,62,0,24,24.2890967500582,45.33563281371568,48.461108929387905,24.2890967500582,9.064741467785376,15.488415134852374,58.877207494864706,9.064741467785376,9.064741467785376,15.488415134852374,58.877207494864706,9.064741467785376
2500000,filtered,joint512,delay_ns,72,62,62,0,33,3.2018903488567454,9.470428729294708,11.850516119404546,3.2018903488567454,8.011905068674006,1.2359781021914378,62.93606304068817,8.011905068674006,8.011905068674006,1.2359781021914378,62.93606304068817,8.011905068674006
2500000,filtered,grid512,shift_hz,72,67,67,0,27,4.921704501356916,1.5269032639067708,23.26357171592193,4.921704501356916,44.802379619552596,129.01067667227088,156.82936141665482,44.802379619552596,44.802379619552596,129.01067667227088,156.82936141665482,44.802379619552596
2500000,filtered,grid8192,shift_hz,72,67,67,0,27,5.042608755742961,1.4705837937905966,23.793903361924578,5.042608755742961,35.41853226017221,37.17892854648696,159.5742669950198,35.41853226017221,35.41853226017221,37.17892854648696,159.5742669950198,35.41853226017221
2500000,filtered,local512,shift_hz,72,67,67,0,26,4.921705313383055,1.5269032639067708,23.26357171592193,4.921705313383055,33.418142877129526,30.185729141923638,155.12536751970106,33.418142877129526,33.418142877129526,30.185729141923638,155.12536751970106,33.418142877129526
2500000,filtered,joint512,shift_hz,72,67,67,0,18,5.710869069888367,0.32837705715412246,26.99206741452187,5.710869069888367,32.52460671168212,0.14391600703288493,153.76494330705532,32.52460671168212,32.52460671168212,0.14391600703288493,153.76494330705532,32.52460671168212
