session_id,fs,version,profile,case,attempted,recovered,common,alias_changes,rank_changes,timing_error_ns_rms,timing_error_ns_p95,timing_error_ns_max,timing_error_ns_all_recovered_rms,cfo_error_hz_rms,cfo_error_hz_p95,cfo_error_hz_max,cfo_error_hz_all_recovered_rms,raw_cfo_error_hz_rms,raw_cfo_error_hz_p95,raw_cfo_error_hz_max,raw_cfo_error_hz_all_recovered_rms
scan-hop-24581756098baa21,2500000,native,grid512,delay_ns,24,24,24,0,8,25.524376620561107,48.02388615231394,51.16297860406466,25.524376620561107,3.9380272403877963,7.69612036137332,8.98246831902361,3.9380272403877963,3.9380272403877963,7.69612036137332,8.98246831902361,3.9380272403877963
scan-hop-8a1c00acfc8fbc31,2500000,native,grid512,delay_ns,24,22,22,0,10,22.54034854552475,38.52876081799256,38.55972917838159,22.54034854552475,3.085257471413105,7.226909863789842,7.417979776968423,3.085257471413105,3.085257471413105,7.226909863789842,7.417979776968423,3.085257471413105
scan-hop-fb52971f6bb09c12,2500000,native,grid512,delay_ns,24,19,19,1,4,24.368402664526524,43.51855844503163,52.158266669074294,24.368402664526524,95.77880807316944,189.18989561709455,202.19444388878765,95.77880807316944,52145.63221952651,22911.690908590896,227297.1590909147,52145.63221952651
scan-hop-24581756098baa21,2500000,native,grid8192,delay_ns,24,24,24,0,7,25.59629648422089,48.02778952096331,51.113704340358936,25.59629648422089,6.939328856422745,16.91605587776282,24.314976549794665,6.939328856422745,6.939328856422745,16.91605587776282,24.314976549794665,6.939328856422745
scan-hop-8a1c00acfc8fbc31,2500000,native,grid8192,delay_ns,24,22,22,0,6,22.594723864007197,38.56797001931239,38.591234064089065,22.594723864007197,7.291579395248023,19.852540393596417,24.542505078135946,7.291579395248023,7.291579395248023,19.852540393596417,24.542505078135946,7.291579395248023
scan-hop-fb52971f6bb09c12,2500000,native,grid8192,delay_ns,24,19,19,1,4,24.18661017631076,43.45445797375738,51.389167266203515,24.18661017631076,13.132665849408758,26.002821898457444,40.141855297610164,13.132665849408758,52145.54591200438,22765.843578858836,227297.1590909147,52145.54591200438
scan-hop-24581756098baa21,2500000,native,local512,delay_ns,24,24,24,0,8,25.524970309791847,48.02388615231394,51.16297860406466,25.524970309791847,4.373822506435956,8.449900362543119,11.083001734354184,4.373822506435956,4.373822506435956,8.449900362543119,11.083001734354184,4.373822506435956
scan-hop-8a1c00acfc8fbc31,2500000,native,local512,delay_ns,24,22,22,0,8,22.540251051155074,38.528198065039554,38.55972917838159,22.540251051155074,4.124945060447634,9.666890454294114,9.959990469265904,4.124945060447634,4.124945060447634,9.666890454294114,9.959990469265904,4.124945060447634
scan-hop-fb52971f6bb09c12,2500000,native,local512,delay_ns,24,19,19,1,5,24.368300018597232,43.51855844503163,52.158266669074294,24.368300018597232,10.223176755655407,19.109154201974135,30.05603898537811,10.223176755655407,52140.577628532345,22754.60087398364,227275.50438897283,52140.577628532345
scan-hop-24581756098baa21,2500000,native,joint512,delay_ns,24,24,24,0,15,1.7156579781276373,3.579535252216512,4.883452470324983,1.7156579781276373,1.4411407974459778,3.1682352191652146,3.349394935677992,1.4411407974459778,1.4411407974459778,3.1682352191652146,3.349394935677992,1.4411407974459778
scan-hop-8a1c00acfc8fbc31,2500000,native,joint512,delay_ns,24,22,22,0,9,3.5877733413097213,9.578099625569662,10.151225482514803,3.5877733413097213,2.2699842855713293,6.07293710664562,6.398353641568974,2.2699842855713293,2.2699842855713293,6.07293710664562,6.398353641568974,2.2699842855713293
scan-hop-fb52971f6bb09c12,2500000,native,joint512,delay_ns,24,19,19,1,12,11.010601259161772,14.158028311407834,41.64039595093174,11.010601259161772,38.93943844799067,35.89888649934698,163.54900288381032,38.93943844799067,52177.461270046675,22763.17161377159,227436.27627561108,52177.461270046675
scan-hop-24581756098baa21,2500000,native,grid512,shift_hz,24,24,24,0,3,0.25403075545816506,0.41711011871553044,0.5201109526788497,0.25403075545816506,30.34494429893564,47.1564107082098,48.144369819687654,30.34494429893564,30.34494429893564,47.1564107082098,48.144369819687654,30.34494429893564
scan-hop-8a1c00acfc8fbc31,2500000,native,grid512,shift_hz,24,24,24,0,9,0.11740293646268203,0.24445052578285142,0.3916603675494651,0.11740293646268203,19.895479222616665,38.72585530219801,40.01161962579317,19.895479222616665,19.895479222616665,38.72585530219801,40.01161962579317,19.895479222616665
scan-hop-fb52971f6bb09c12,2500000,native,grid512,shift_hz,24,18,18,2,5,0.9630707486765578,1.0620087716303603,3.99094627473711,0.9630707486765578,77.68362994506785,206.5027455314819,222.35727340183803,77.68362994506785,75760.72425243078,227132.93170921633,227495.0845461291,75760.72425243078
scan-hop-24581756098baa21,2500000,native,grid8192,shift_hz,24,24,24,0,2,0.005607939085765179,0.012454645555983954,0.013713038842476377,0.005607939085765179,11.111708040741407,19.39100015195868,20.540714689556808,11.111708040741407,11.111708040741407,19.39100015195868,20.540714689556808,11.111708040741407
scan-hop-8a1c00acfc8fbc31,2500000,native,grid8192,shift_hz,24,24,24,0,8,0.004437138009676297,0.00943862574903642,0.009751866415080856,0.004437138009676297,10.69502788387815,24.207221331308308,25.511984667033175,10.69502788387815,10.69502788387815,24.207221331308308,25.511984667033175,10.69502788387815
scan-hop-fb52971f6bb09c12,2500000,native,grid8192,shift_hz,24,18,18,2,6,1.029160152885873,0.7286760451161194,4.364582354169852,1.029160152885873,18.12590919292455,25.86260693548204,65.4910696604677,18.12590919292455,75760.68659308122,227275.81300605895,227290.96840778255,75760.68659308122
scan-hop-24581756098baa21,2500000,native,local512,shift_hz,24,24,24,0,3,0.25311335614052327,0.4111702537256886,0.5197402217806124,0.25311335614052327,0.10017383904618751,0.1918457675146441,0.19804066526421593,0.10017383904618751,0.10017383904618751,0.1918457675146441,0.19804066526421593,0.10017383904618751
scan-hop-8a1c00acfc8fbc31,2500000,native,local512,shift_hz,24,24,24,0,8,0.11728795324729234,0.24445052578285142,0.3916603675494651,0.11728795324729234,0.07235582247030314,0.13819538599764197,0.20516386110648455,0.07235582247030314,0.07235582247030314,0.13819538599764197,0.20516386110648455,0.07235582247030314
scan-hop-fb52971f6bb09c12,2500000,native,local512,shift_hz,24,18,18,2,5,0.9630707486765578,1.0620087716303603,3.99094627473711,0.9630707486765578,16.55609631472438,11.598932213051494,70.21919634688334,16.55609631472438,75757.99017423997,227273.9536513408,227273.9814524461,75757.99017423997
scan-hop-24581756098baa21,2500000,native,joint512,shift_hz,24,24,24,0,4,0.1828444786310866,0.44952725337141053,0.5518400817685829,0.1828444786310866,0.04114042870986992,0.08209888183428118,0.08468035733903889,0.04114042870986992,0.04114042870986992,0.08209888183428118,0.08468035733903889,0.04114042870986992
scan-hop-8a1c00acfc8fbc31,2500000,native,joint512,shift_hz,24,24,24,0,9,0.0803445590105597,0.2005821639751263,0.25101177625157234,0.0803445590105597,0.045468548890827735,0.08255648934630239,0.09206772751895187,0.045468548890827735,0.045468548890827735,0.08255648934630239,0.09206772751895187,0.045468548890827735
scan-hop-fb52971f6bb09c12,2500000,native,joint512,shift_hz,24,18,18,2,8,8.552677399820062,25.64626950862575,25.667391119759028,8.552677399820062,54.303100427891955,162.8977423628763,162.9255434682127,54.303100427891955,75811.87882089464,227435.62501509013,227435.65281619548,75811.87882089464
scan-hop-432b03933b8c76bf,5000000,native,grid512,delay_ns,24,24,24,0,2,9.951649224798826,17.89912993338893,21.63307388497026,9.951649224798826,1.4892254436527264,2.849063926710368,3.3944722484447993,1.4892254436527264,1.4892254436527264,2.849063926710368,3.3944722484447993,1.4892254436527264
scan-hop-862a183b8ab422da,5000000,native,grid512,delay_ns,24,20,20,0,3,9.120435622025644,14.798161192887768,15.031252425244077,9.120435622025644,1.2231843830527351,2.1755444827889736,2.7826344219211023,1.2231843830527351,1.2231843830527351,2.1755444827889736,2.7826344219211023,1.2231843830527351
scan-hop-cabca9c4f49c5a27,5000000,native,grid512,delay_ns,24,24,24,0,12,8.750100371283004,14.507705574951435,17.377369963967567,8.750100371283004,114.51953026025751,314.82936341564306,343.62487166543724,114.51953026025751,114.51953026025751,314.82936341564306,343.62487166543724,114.51953026025751
scan-hop-432b03933b8c76bf,5000000,native,grid8192,delay_ns,24,24,24,0,6,9.995688436114277,17.941343406438083,21.665956890208264,9.995688436114277,1.4191024520428879,2.7697998702453313,3.3944722484447993,1.4191024520428879,1.4191024520428879,2.7697998702453313,3.3944722484447993,1.4191024520428879
