fs,profile,case,attempted,recovered,common,alias_changes,rank_changes,timing_error_ns_rms,timing_error_ns_p95,timing_error_ns_max,timing_error_ns_all_recovered_rms,cfo_error_hz_rms,cfo_error_hz_p95,cfo_error_hz_max,cfo_error_hz_all_recovered_rms,raw_cfo_error_hz_rms,raw_cfo_error_hz_p95,raw_cfo_error_hz_max,raw_cfo_error_hz_all_recovered_rms
2500000,grid512,delay_ns,72,62,59,0,23,24.83621413268996,45.384837971762586,48.461108929387905,24.28937018165026,46.59727230331206,31.32130844380007,345.4866453903378,45.47902750392483,46.59727230331206,31.32130844380007,345.4866453903378,45.47902750392483
2500000,grid8192,delay_ns,72,62,59,0,18,24.76643853640415,45.21277489113124,48.13050957225303,24.22208486918436,9.178601774420004,16.47896936490426,50.682404306018725,9.070259953425749,9.178601774420004,16.47896936490426,50.682404306018725,9.070259953425749
2500000,local512,delay_ns,72,62,59,0,24,24.835933124330438,45.384837971762586,48.461108929387905,24.2890967500582,9.247699818633949,16.209736233972922,58.877207494864706,9.064741467785376,9.247699818633949,16.209736233972922,58.877207494864706,9.064741467785376
2500000,joint512,delay_ns,72,62,59,0,33,3.2812775287861817,9.657131516145125,11.850516119404546,3.2018903488567454,8.212294088374744,1.2628007211184005,62.93606304068817,8.011905068674006,8.212294088374744,1.2628007211184005,62.93606304068817,8.011905068674006
5000000,grid512,delay_ns,72,68,59,0,17,9.38760704143532,16.05242857840461,21.63307388497026,9.297403820053171,48.738637546151004,10.817416753509288,343.62487166543724,68.04372492176374,48.738637546151004,10.817416753509288,343.62487166543724,68.04372492176374
5000000,grid8192,delay_ns,72,68,59,0,22,9.384939382495757,16.109011723670204,21.665956890208264,9.309849975414098,3.750272145953981,8.293856726505314,17.03741526644444,6.370086348250963,3.750272145953981,8.293856726505314,17.03741526644444,6.370086348250963
5000000,local512,delay_ns,72,68,59,0,18,9.387273957511352,16.05242857840461,21.63307388497026,9.297112017498637,2.4290649006150784,4.075927490265151,10.084670672891662,2.5270816436262065,2.4290649006150784,4.075927490265151,10.084670672891662,2.5270816436262065
5000000,joint512,delay_ns,72,68,59,0,31,2.5315089521319885,6.457091749196041,8.473766785243953,2.426808811264213,2.186201431891895,2.3520742409105875,11.360019292624202,2.480076670367508,2.186201431891895,2.3520742409105875,11.360019292624202,2.480076670367508
2500000,grid512,shift_hz,72,67,63,0,27,5.073599445790549,1.5438295662586858,23.26357171592193,4.921704501356916,45.624740151036434,130.89090166018173,156.82936141665482,44.802379619552596,45.624740151036434,130.89090166018173,156.82936141665482,44.802379619552596
2500000,grid8192,shift_hz,72,67,63,0,27,5.20022725253512,1.4720183991547875,23.793903361924578,5.042608755742961,36.459082445185224,38.526396643413584,159.5742669950198,35.41853226017221,36.459082445185224,38.526396643413584,159.5742669950198,35.41853226017221
2500000,local512,shift_hz,72,67,63,0,26,5.073600283519686,1.5438295662586858,23.26357171592193,4.921705313383055,34.46266743968229,30.197882516931987,155.12536751970106,33.418142877129526,34.46266743968229,30.197882516931987,155.12536751970106,33.418142877129526
2500000,joint512,shift_hz,72,67,63,0,18,5.889200469900963,0.23862747810729482,26.99206741452187,5.710869069888367,33.541237546176035,0.08033320700267269,153.76494330705532,32.52460671168212,33.541237546176035,0.08033320700267269,153.76494330705532,32.52460671168212
5000000,grid512,shift_hz,72,68,63,0,20,5.503061294560268,5.744457085390171,28.556029977927153,7.238147745787122,68.02101263999288,193.5720904263882,258.1543994673507,65.94247169531995,68.02101263999288,193.5720904263882,258.1543994673507,65.94247169531995
5000000,grid8192,shift_hz,72,68,63,0,18,5.221725138918933,5.264807392910823,27.056960037806327,7.089413901776516,20.691417343523106,27.112573380917773,91.69488242193847,24.855169591434276,20.691417343523106,27.112573380917773,91.69488242193847,24.855169591434276
5000000,local512,shift_hz,72,68,63,0,20,5.503061294560268,5.744457085390171,28.556029977927153,7.238147745787122,17.589471413149838,22.64398646475196,89.78015626391652,23.26511827994921,17.589471413149838,22.64398646475196,89.78015626391652,23.26511827994921
5000000,joint512,shift_hz,72,68,63,0,23,6.486308995828294,2.0404802018175725,34.07938166204421,8.485552187631253,17.29705184478629,0.27522452824400695,90.98693144264189,23.09488084674727,17.29705184478629,0.27522452824400695,90.98693144264189,23.09488084674727
