track,session_id,visit_index,channel,edge,rx0_track_observations,rx1_track_observations,phase_blind_priority,seed_relative_cfo_hz,constant_frequency_hz,linear_center_frequency_hz,linear_frequency_rate_hz_s,raw_phase_r,constant_phase_r,linear_phase_r,random_nonoverlap_training_r,random_nonoverlap_held_r,fft_masked_phase_r,fft_phat_phase_r,median_direct_coherence,median_wrong_pair_coherence,fft_vs_time_unmasked_phase_rms_deg,fft_vs_direct_increment_rms_deg,median_adjacent_bin_increment_r,median_nonoverlap_bin_increment_r,existing_held_r
T1,scan-fw-62f406d45bb93b70,1425,4,lower,65,68,0.5888344075238935,656738.1393676562,656724.1918676562,656726.1168676562,204.0,0.09102271997844376,0.7144698851003272,0.7772659896956411,0.7655691956245693,0.7452176743818302,0.7785720290805554,0.7761509008392972,0.11900329458629023,0.011124242175210816,0.09310459161718053,1.7228390256097432,0.09799253427145169,0.06202628387803402,0.9653192564515637
T2,scan-fw-d3a96ccfa98a2ac5,1184,4,lower,85,50,0.5684848467231289,651401.2383241634,651411.6883241633,651411.5133241633,-112.0,0.1619915627314531,0.6383163840604725,0.6759921725431334,0.6565612233133973,0.6387283992203204,0.676269880372187,0.6761502078589013,0.18670598919772846,0.012536732474641042,0.04787710747363119,1.2147987220727088,0.14519357758275195,0.1230495682089781,0.9874150444081302
T3,scan-fw-feb2e6451d0727b3,984,2,upper,48,56,0.6623023217479732,653224.2630105111,653235.5430105111,653236.118010511,137.0,0.12922184644564352,0.5659329276885505,0.627557572406777,0.7051759871783649,0.56897401372784,0.6275740525414041,0.6256615811652806,0.18684595404687762,0.013805770669827244,0.05669574670043934,1.2485892489274668,0.1447272778764979,0.1267947227759057,0.9902681778567103
T4,scan-fw-2485843ba12d930c,1654,1,lower,64,36,0.6267098523195166,653725.9726734787,653717.9126734786,653736.7876734786,-387.0,0.05725422368323011,0.5796632862192989,0.7248039816671853,0.794493370624958,0.6512471470974615,0.7262829582675673,0.721411023437252,0.1056348357932038,0.013902541208174253,0.1754553231595589,1.8514763483243182,0.10155151198903088,0.0612376537219917,0.9522309030812315
T5,scan-fw-ed4502816d42c1d9,1440,1,upper,28,48,0.568909888042754,654638.5214730253,654558.2439730254,654620.6939730253,1414.0,0.1464894464768378,0.4151261414972578,0.6951453466519258,0.6557554741304769,0.16452977594427384,0.6975048946414782,0.6934518693594462,0.16429660214797612,0.012493665673488566,0.6257185020786789,1.8753981786830434,0.1499361801030858,0.10037861413645685,0.9807892460990327
