session_id,tracklet_count,observation_count,pooled_linear_fit_residual_rms_hz,median_tracklet_residual_rms_hz,trajectory_state,trajectory_time_basis,tle_state,physical_group_count,eligible_group_count,attempted_group_count,deferred_group_count,projected_candidate_count,tle_candidate_count,tle_snapshot_age_minutes,tle_snapshot_object_count,unscored_reasons
scan-fw-adc3b468b30c9c7b,10,172,182.179710001418,133.96144773420417,complete,device-counter-relative,unavailable,21,0,0,0,914,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-d72f88e21eb9e620,3,54,249.45436940076118,139.84350827636547,complete,device-counter-relative,unavailable,3,0,0,0,679,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-856a78101d6735d2,6,123,144.66981222089936,105.61874230455952,complete,device-counter-relative,unavailable,6,1,0,1,1186,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-5cc12d007bc99130,7,110,102.84962148271875,102.1876618539058,complete,device-counter-relative,unavailable,7,0,0,0,1411,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-7367d02117142473,3,36,174.29047200367597,179.66105354420478,complete,device-counter-relative,unavailable,3,0,0,0,519,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-4de4342443509fb0,7,100,162.7136850521517,109.27028486791349,complete,device-counter-relative,unavailable,6,0,0,0,1134,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-21908ec249658ee2,3,52,230.04986892357726,180.07675398012748,complete,device-counter-relative,unavailable,3,0,0,0,792,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-1eb7b9ff15d2402d,8,100,111.49302664037785,112.34188204190872,complete,device-counter-relative,unavailable,8,0,0,0,1313,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-3c965db47d95e0db,2,31,126.37888013697835,126.70168958498667,complete,device-counter-relative,unavailable,2,0,0,0,512,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-1b690eba8ad3fab9,5,122,514.2448033310843,198.80381707651117,complete,device-counter-relative,unavailable,8,1,0,1,1174,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-369d9f3f7741d36e,3,63,440.5819296627347,167.184506432598,complete,device-counter-relative,unavailable,4,0,0,0,450,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-ae120ce6c07b3587,3,44,193.97232167164375,65.66645648139684,complete,device-counter-relative,unavailable,3,0,0,0,548,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-2527f988a321cc59,6,123,368.97265494794186,293.94596481471274,complete,device-counter-relative,unavailable,6,1,0,1,1081,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-1c8fa5dedf1b778b,2,38,148.52692826863392,139.629068379925,complete,device-counter-relative,unavailable,2,0,0,0,508,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-b1f2e5ba215cfa49,12,172,122.05481144051812,102.38979199252955,complete,device-counter-relative,unavailable,10,0,0,0,1557,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-3b4b781c31aeee7e,1,20,142.3334125948051,142.3334125948051,complete,device-counter-relative,unavailable,1,0,0,0,755,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
scan-fw-7cb61f9e2e56f342,4,99,429.41317869862655,269.6723780276891,complete,device-counter-relative,unavailable,3,1,0,1,1613,0,,,Measured trajectories use device-counter timing; TLE comparison requires qualified absolute UTC.
