session_id,adaptive_pngs,tracking_pngs,refinement_pngs,total_pngs
scan-fw-adc3b468b30c9c7b,3,1,2,6
scan-fw-d72f88e21eb9e620,3,1,2,6
scan-fw-856a78101d6735d2,3,1,0,4
scan-fw-5cc12d007bc99130,3,1,0,4
scan-fw-7367d02117142473,3,1,2,6
scan-fw-4de4342443509fb0,3,1,0,4
scan-fw-21908ec249658ee2,3,1,2,6
scan-fw-1eb7b9ff15d2402d,3,1,0,4
scan-fw-3c965db47d95e0db,3,1,0,4
scan-fw-1b690eba8ad3fab9,3,1,2,6
scan-fw-369d9f3f7741d36e,3,1,0,4
scan-fw-ae120ce6c07b3587,3,1,2,6
scan-fw-2527f988a321cc59,3,1,0,4
scan-fw-1c8fa5dedf1b778b,3,1,2,6
scan-fw-b1f2e5ba215cfa49,3,1,0,4
scan-fw-3b4b781c31aeee7e,3,1,2,6
scan-fw-7cb61f9e2e56f342,3,1,0,4
scan-fw-75d1334d430bd557,3,1,2,6
scan-fw-9af6c64585de4fbb,3,1,0,4
scan-fw-c06a6d0069990294,3,1,0,4
scan-fw-10a1783c9d67e020,3,1,2,6
scan-fw-10a906cc85830859,3,1,0,4
scan-fw-1e7edc9519445256,3,1,0,4
scan-fw-66f79be3ab5755cb,3,1,2,6
scan-fw-12f09d2e4e1fe26a,3,1,0,4
scan-fw-1a877b7592593f44,3,1,2,6
scan-fw-cc1edb68384854df,3,1,0,4
scan-fw-0f339e7b732c4593,3,1,2,6
scan-fw-732c90485eefd8ff,3,1,0,4
scan-fw-3b7ab0ade03b6679,3,1,2,6
scan-fw-7b78a2ba16003bdc,3,1,0,4
scan-fw-0cac677f1231cad8,3,1,0,4
scan-fw-b668568d6721d389,3,1,2,6
scan-fw-84ee89a6734ea002,3,1,0,4
scan-fw-b62904c4cec1dd57,3,1,2,6
scan-fw-ef47da375ba0d8fe,3,1,0,4
scan-fw-f83f76755271d5e9,3,1,2,6
scan-fw-04d50dd83a5fc5df,3,1,0,4
scan-fw-d355d83ab1474d34,3,1,2,6
scan-fw-f0e3c515533afbc9,3,1,2,6
scan-fw-31415115acbbe1eb,3,1,0,4
scan-fw-e6f41401336687f2,3,1,2,6
scan-fw-c5d2a8fb00b1d4d4,3,1,0,4
scan-fw-36922603b4fbdc90,3,1,2,6
scan-fw-7253df2bd4332d69,3,1,0,4
scan-fw-542dcf033d7c6108,3,1,2,6
scan-fw-5a5a9ac56b112e16,3,1,0,4
scan-fw-75519ddd5a7aba8c,3,1,0,4
scan-fw-606dd496a1243ac2,3,1,2,6
scan-fw-96b4e126ec00ff76,3,1,0,4
scan-fw-243a58c567f74f48,3,1,2,6
scan-fw-611f25cc9a4f4f3b,3,1,2,6
scan-fw-161adb3956864642,3,1,0,4
scan-fw-61a62066d401f816,3,1,2,6
scan-fw-2bffdce1ac68a499,3,1,0,4
scan-fw-4c6996e6f3096ea8,3,1,0,4
scan-fw-1a04dd4254fd7849,3,1,2,6
scan-fw-a65d4f755073c20e,3,1,0,4
scan-fw-ee0580647f45d712,3,1,2,6
scan-fw-d16d9850f0f494bc,3,1,0,4
scan-fw-a1453a551a154915,3,1,2,6
scan-fw-22b118f8048f0441,3,1,0,4
scan-fw-7851abe2d25a9813,3,1,2,6
scan-fw-da6805a08345af8c,3,1,0,4
scan-fw-0ae4d2e146a1cbac,3,0,0,3
