session_id,capture_start_utc,channel,edge,receiver_id,observation_count,support_span_s,normalized_rate_hz_per_s,linear_fit_residual_rms_hz
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,4,lower,0,13,10.121713733,-3642.2486608611143,167.58114730992284
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,4,lower,0,22,11.388311734,-3947.8788997598554,43.57921146874779
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,1,upper,0,14,8.721704133,-3271.0791936993373,125.60234610047337
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,4,lower,0,10,9.140340866,-3478.6660096544906,108.15362424225775
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,3,upper,0,11,9.278913534,-3434.1923901817595,130.35805844499208
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,4,lower,0,8,8.435102934,-3706.2457122915835,64.9609402793147
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,1,lower,0,11,8.019016467,-3172.2320437602884,111.21475462774313
scan-fw-3c965db47d95e0db,2026-09-17T11:20:05.328120Z,4,lower,0,14,12.23061115,-3642.7892964085627,130.67782803064281
scan-fw-3c965db47d95e0db,2026-09-17T11:20:05.328120Z,3,upper,0,17,10.9681088,-3958.9747481421923,122.72555113933053
scan-fw-1b690eba8ad3fab9,2026-09-17T11:30:01.380177Z,1,lower,0,13,10.6803511,-3427.1210158256267,158.45170612589416
scan-fw-1b690eba8ad3fab9,2026-09-17T11:30:01.380177Z,2,lower,0,13,8.9988237,-3742.2580474466426,93.4764712338912
scan-fw-1b690eba8ad3fab9,2026-09-17T11:30:01.380177Z,2,lower,0,27,15.1736945,-3929.1767274585814,198.80381707651117
scan-fw-1b690eba8ad3fab9,2026-09-17T11:30:01.380177Z,2,lower,0,44,25.977789,-3370.2919695045243,790.3660758184511
scan-fw-1b690eba8ad3fab9,2026-09-17T11:30:01.380177Z,2,lower,0,25,15.456325,-3634.4687306364945,361.6442396035037
scan-fw-369d9f3f7741d36e,2026-09-17T11:40:01.271521Z,4,upper,0,29,19.239084866,-3506.3773948918597,623.9759359726141
scan-fw-369d9f3f7741d36e,2026-09-17T11:40:01.271521Z,4,upper,0,20,12.2232966,-3875.4653643092784,165.33922625419174
scan-fw-369d9f3f7741d36e,2026-09-17T11:40:01.271521Z,3,lower,0,14,9.699031667,-2911.719315750977,167.184506432598
scan-fw-ae120ce6c07b3587,2026-09-17T12:00:01.366914Z,3,lower,0,17,12.508159,-3224.737866674044,39.867735434227484
scan-fw-ae120ce6c07b3587,2026-09-17T12:00:01.366914Z,2,lower,0,17,11.5257284,-3295.4664054123145,305.38021206270963
scan-fw-ae120ce6c07b3587,2026-09-17T12:00:01.366914Z,2,lower,0,10,9.4202744,-3961.55525401327,65.66645648139684
scan-fw-2527f988a321cc59,2026-09-17T12:10:01.534135Z,2,lower,0,14,8.999049266,-2906.340319773497,153.22685689355393
scan-fw-2527f988a321cc59,2026-09-17T12:10:01.534135Z,2,lower,0,26,17.273566467,-3549.8646403454964,321.2377194553455
scan-fw-2527f988a321cc59,2026-09-17T12:10:01.534135Z,3,lower,0,17,9.838961934,-3410.2064907653253,135.79646968466116
scan-fw-2527f988a321cc59,2026-09-17T12:10:01.534135Z,2,upper,0,19,13.769736666,-3239.450952092656,380.85274713300635
scan-fw-2527f988a321cc59,2026-09-17T12:10:01.534135Z,2,lower,0,32,23.7297144,-3722.6085556829307,547.6541087988638
scan-fw-2527f988a321cc59,2026-09-17T12:10:01.534135Z,4,upper,0,15,12.929630534,-3389.179416663376,266.65421017407994
scan-fw-1c8fa5dedf1b778b,2026-09-17T12:30:01.580773Z,3,lower,0,22,10.1190048,-3051.1095992992473,172.80943598699278
scan-fw-1c8fa5dedf1b778b,2026-09-17T12:30:01.580773Z,2,lower,0,16,10.9614932,-3873.437679777875,106.44870077285725
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,2,lower,0,8,8.156102467,-3872.653787679662,80.69460022036225
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,4,lower,0,9,9.138956133,-4032.2461482771973,84.73176113323603
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,1,upper,0,15,8.297676,-4045.9572561707478,82.87358226341024
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,2,upper,0,14,8.157639934,-3586.4306693433155,58.50049224643167
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,1,lower,0,12,8.9989842,-3839.457573827216,121.67069759293888
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,4,lower,0,15,12.506914867,-3774.36987378411,202.82068934672355
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,2,upper,0,17,9.557630934,-3909.979596657864,97.16745252735527
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,2,lower,0,13,8.2963514,-3488.480752523838,116.2816340654495
scan-fw-b1f2e5ba215cfa49,2026-09-17T12:40:01.630030Z,1,upper,0,18,10.121679666,-3537.0126288059796,170.72294794645174
