session_id,capture_start_utc,sample_rate_hz,receiver_ids,classification_receiver,radio_serial,valid_duty_percent,valid_seconds,complete_visits,online_detections,online_detection_fraction,healthy_decisions,median_online_margin,utc_qualified,utc_bracket_width_ms,compressed_gib,queue_high_water_visits,queue_enqueue_failures
scan-fw-adc3b468b30c9c7b,2026-09-17T09:00:01.596467Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.450119,7.5535634979605675,,
scan-fw-d72f88e21eb9e620,2026-09-17T09:30:01.611607Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.477679,7.54044181574136,,
scan-fw-856a78101d6735d2,2026-09-17T09:40:02.060099Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,215.905373,11.500344892032444,,
scan-fw-5cc12d007bc99130,2026-09-17T10:10:01.518749Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,216.906224,11.549050537869334,,
scan-fw-7367d02117142473,2026-09-17T10:30:01.331120Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.809604,7.579974027350545,,
scan-fw-4de4342443509fb0,2026-09-17T10:40:01.520520Z,15000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.689185,11.511158650740981,,
scan-fw-21908ec249658ee2,2026-09-17T11:00:01.368191Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,213.440099,7.538317430764437,,
scan-fw-1eb7b9ff15d2402d,2026-09-17T11:10:01.582671Z,15000000,0,0,104000bac4950008230026001b440a003a,85.48,256.44,2137,0,0.0,0,,False,217.856794,11.520012221299112,,
scan-fw-3c965db47d95e0db,2026-09-17T11:20:05.328120Z,20000000,0,0,104000bac4950008230026001b440a003a,85.44,256.32,2136,0,0.0,0,,False,213.960646,15.499652788974345,,
scan-fw-1b690eba8ad3fab9,2026-09-17T11:30:01.380177Z,10000000,0,0,104000bac4950008230026001b440a003a,85.52,256.56,2138,0,0.0,0,,False,214.126953,7.555175713263452,,
