session_id,analysis_run_id,pipeline_release_id,path_id,trajectory_id,rf_frequency_hz,rank,catalog_number,object_name,peak_elevation_deg,element_age_s,boundary_uncertain,comparison_score,detrended_frequency_rms_hz,slope_rms_difference_hz_s,acceleration_rms_difference_hz_s2,jerk_rms_difference_hz_s3,best_timing_score,worst_timing_score,top_two_score_margin,real_better_than_null_count,null_comparison_count
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:0cf42306feea51e7d756e5235c6eff6e27de3d8d1413b6f9314565ec625072a2,11690312500,1,63062,STARLINK-11412,66.21988933414397,17437.38511249,False,68982.65707542487,1722.1688381888728,3128.0540629472307,4226.9030702976115,3970.3398336281425,68976.30272516454,68985.36671261676,612.0548326129647,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:0cf42306feea51e7d756e5235c6eff6e27de3d8d1413b6f9314565ec625072a2,11690312500,2,58037,STARLINK-30533,73.19584361799146,62692.60351249,False,69594.71190803783,2480.7123141537295,3754.992735390769,4222.025592678212,3970.5396002795205,69591.14172501248,69596.2359292095,612.0548326129647,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:0cf42306feea51e7d756e5235c6eff6e27de3d8d1413b6f9314565ec625072a2,11690312500,3,60258,STARLINK-32200,70.60926670470485,41480.472984234,False,69626.45113911956,2519.7068323192666,3787.802179575416,4221.619755471824,3970.569384027179,69623.178753471,69627.84862283609,612.0548326129647,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:0cf42306feea51e7d756e5235c6eff6e27de3d8d1413b6f9314565ec625072a2,11690312500,4,57645,STARLINK-30277,81.31049950561541,17943.462744234,False,69686.14840498028,2604.2790900318155,3857.347636532746,4216.810451122451,3971.1440876862252,69685.8884262174,69686.78202533019,612.0548326129647,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:0cf42306feea51e7d756e5235c6eff6e27de3d8d1413b6f9314565ec625072a2,11690312500,5,67414,STARLINK-36506,78.82001207309419,35767.436280234,False,69699.5032170584,2619.453921387318,3870.3724461988472,4217.047650553589,3971.103558717235,69699.32959836903,69699.93307429222,612.0548326129647,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:4363b212e4ac82d6b9b7793effb438ff09c894bd26b3717967f734b2b03ae568,11690312500,1,63062,STARLINK-11412,66.21988933414397,17437.38511249,False,37665.945943278304,647.4436323329926,1615.7716736259563,2367.502496110581,2025.052716660352,37662.51836793267,37667.414724195434,753.7587449785424,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:4363b212e4ac82d6b9b7793effb438ff09c894bd26b3717967f734b2b03ae568,11690312500,2,58037,STARLINK-30533,73.19584361799146,62692.60351249,False,38419.70468825685,1754.2545443280906,2406.319682861119,2356.757669515306,2025.2524833117297,38417.40502444353,38420.687817419996,753.7587449785424,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:4363b212e4ac82d6b9b7793effb438ff09c894bd26b3717967f734b2b03ae568,11690312500,3,60258,STARLINK-32200,70.60926670470485,41480.472984234,False,38478.84478650156,1829.0067524625836,2468.6965371072274,2355.7674643103055,2025.2822670593891,38476.890449108716,38479.681168374475,753.7587449785424,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:4363b212e4ac82d6b9b7793effb438ff09c894bd26b3717967f734b2b03ae568,11690312500,4,50850,STARLINK-3312,62.33319749878629,80183.444568234,False,38875.140442156444,2282.1110597426227,2856.1923932446653,2359.4750963792,2024.924953100521,38871.582070910124,38876.656772456045,753.7587449785424,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:4363b212e4ac82d6b9b7793effb438ff09c894bd26b3717967f734b2b03ae568,11690312500,5,65928,STARLINK-35493,80.61744023713618,62742.40274449,False,38876.77067259529,2222.4944887024867,2811.643889087031,2375.0433524649893,2024.1079152722975,38867.24451801678,38880.82284184302,753.7587449785424,4,4
cap-20260821T201522-841b2a20e151,capture-fb15d5f27c1c43b2b1c4f3fcf9fd13cf,4f0b17e5f65c3a6801212b9846521ccd3531ec3a,cap-20260821T201522-841b2a20e151/stream-0/rx-0,sha256:6a0bb9638253cbd0d030f031ff233e291bbc022fbb17479a3881ce81306b5b73,11690312500,1,63062,STARLINK-11412,66.21988933414397,17437.38511249,False,1438.4042624333338,1912.5369467923017,1165.0397901283336,46.51507730916187,0.3306221476461913,1429.591196743794,1442.157710811068,732.1346538736725,4,4
