session_id,radio_id,sample_rate_hz,inventory_segment,visit_index,phase_blind_priority,state,reason,channel,edge,supported,band_phase_resultant,tracked_coherence,wrong_pair_coherence,held_group_count
scan-fw-524e4ca2638f3601,radio_pluto_5d4d,2500000,original_published_cohort,1498,0.692075739578342,replayed,,4,lower,True,0.9890827455230351,0.21224389230240379,0.013231423328424079,3
scan-fw-524e4ca2638f3601,radio_pluto_5d4d,2500000,original_published_cohort,1446,0.6888370665891423,replayed,,4,lower,True,0.9911247725010716,0.22674226007702494,0.007166132645411967,3
scan-fw-524e4ca2638f3601,radio_pluto_5d4d,2500000,original_published_cohort,1465,0.6873894504391242,replayed,,4,lower,True,0.9851766633165903,0.22867764840164465,0.006440546019415806,3
scan-fw-524e4ca2638f3601,radio_pluto_5d4d,2500000,original_published_cohort,1485,0.6853820397711147,replayed,,4,lower,True,0.978472157699085,0.18906891960273142,0.0008856317121919482,3
scan-fw-524e4ca2638f3601,radio_pluto_5d4d,2500000,original_published_cohort,1466,0.6853436625071186,replayed,,4,lower,True,0.9874518423086485,0.21197787239231497,0.010418430797424796,3
scan-fw-524e4ca2638f3601,radio_pluto_5d4d,2500000,original_published_cohort,1440,0.6810768882616576,replayed,,4,lower,True,0.9855446233517282,0.23131789918316117,0.004680304525024367,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,1244,0.6711789108721035,replayed,,2,lower,True,0.9808629539192102,0.216163679108079,0.00401828973713985,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,1232,0.6682715956388611,replayed,,2,lower,True,0.9827473627993326,0.1755272292274267,0.006405790058811375,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,347,0.6616401326763846,replayed,,4,lower,True,0.9364336677363125,0.2367029486225986,0.004715493775851925,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,1238,0.6577888192610315,replayed,,2,lower,True,0.9389500268921644,0.23835578815413258,0.01403920970951882,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,1252,0.6461891510302818,replayed,,2,lower,True,0.9877209683946381,0.20652738018464972,0.005337363150132443,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,340,0.635803241239936,replayed,,4,lower,True,0.8186926969658986,0.22630903286429774,0.00881432650631484,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,334,0.6349379709691917,replayed,,4,lower,True,0.8996780575698385,0.25662728732645085,0.012336979854314789,3
scan-fw-8634c361a1e38331,radio_pluto_5d4d,2500000,original_published_cohort,1271,0.6326176785906291,replayed,,2,lower,True,0.9851583275810085,0.21077648924503561,0.004120825931766982,3
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1397,0.6681339162299286,replayed,,4,lower,True,0.9905984575099145,0.2178328217112272,0.010117388326734684,3
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1398,0.6464613182714525,replayed,,4,lower,True,0.9868961799042045,0.2192711241855658,0.0062247764658917605,3
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1277,0.6443707490703853,abstained,ValueError: fewer than eight coherent physical-overlap bins,,,False,,,,
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1393,0.6397056255711279,replayed,,4,lower,False,0.6905376185318604,0.1729171470965093,0.031182471855944322,3
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1326,0.6354836851680601,replayed,,4,lower,True,0.8154746141089647,0.17327843535986628,0.004741883430241945,3
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1324,0.6231897852773348,replayed,,4,lower,True,0.8570597105741483,0.1753070830656324,0.003949707434795819,3
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1272,0.6211599661713886,replayed,,4,lower,False,0.06794752106263019,0.01959787718667485,0.009122077827200531,3
scan-fw-51dadc5c6aa0e74b,radio_pluto_5d4d,2500000,original_published_cohort,1405,0.61785006096267,replayed,,4,lower,True,0.9850559317505508,0.15424832752778977,0.005813865378857336,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,1753,0.522442139013802,replayed,,3,upper,True,0.8054819434963676,0.1344167574588659,0.008545435358641622,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,342,0.5026647294244055,replayed,,3,upper,True,0.9331308245066263,0.13831326101869698,0.0032258838755737976,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,360,0.5022721237603887,replayed,,3,upper,True,0.9655971617544785,0.15498642967587548,0.005236280727781788,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,1771,0.49412928103833276,replayed,,3,upper,False,0.7114543211272847,0.11323315994350047,0.015285871386672282,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,1775,0.48131684020704213,replayed,,3,upper,False,0.586630674221658,0.10308957627917194,0.02749219444604307,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,349,0.459386391970313,replayed,,3,upper,True,0.9469753742706608,0.1287618253115319,0.009671381536905029,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,1796,0.4489993892309721,replayed,,3,upper,True,0.8155731396250994,0.0993608192345337,0.008418227187363285,3
scan-fw-3e1fe8de00bd8065,radio_pluto_5d4d,2500000,original_published_cohort,1767,0.4466205849445355,abstained,ValueError: No A-band support for response normalization,,,False,,,,
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,324,0.571949091363392,replayed,,1,lower,True,0.9712690794676423,0.1777071234935519,0.00612114799942559,3
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,357,0.5619365175892964,replayed,,1,lower,True,0.9639605605155805,0.1622846032848795,0.0037368568023835244,3
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,326,0.5589938279541062,replayed,,1,lower,True,0.9708673197860973,0.1278659102024929,0.004396277308863185,3
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,358,0.5583252452305266,replayed,,1,lower,True,0.9730473478293079,0.16200081866432284,0.003768046781641928,3
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,351,0.5468939519243526,replayed,,1,lower,True,0.9684192904820755,0.17444076591088387,0.00819774854962694,3
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,383,0.5384549655654158,abstained,ValueError: fewer than eight coherent physical-overlap bins,,,False,,,,
scan-fw-7fc0a2494f8caa5d,radio_pluto_5d4d,2500000,original_published_cohort,378,0.5291130973069178,replayed,,1,lower,True,0.9725363671413332,0.16351531972966768,0.006861969946289816,3
