session_id,track,path,trajectory_id,duration_s,observation_count,measured_rate_hz_s,radio_residual_rms_hz,candidate_name,catalog_number,predicted_rate_hz_s,absolute_rate_error_hz_s,candidate_count_within_500_hz_s,visible_satellite_count,wrong_time_empirical_p,elevation_deg,azimuth_deg,slant_range_km,range_rate_km_s,element_age_s,wrong_time_holm_p
cap-20260824T192019-9023840c8e9f,T1,stream-0/RX1,sha256:8744a77c6b06a7fa1d737592b46c3747cc5c86978b76ce790e3f5e88142ea9c8,16.425,593,-3158.1055994484027,448.21511737972344,STARLINK-3244,49741,-3156.611107296332,1.4944921520705066,11,203,0.024390243902439025,67.33219218588624,26.439164989083288,510.19238080918564,2.4533994004598134,29003.424677021,0.21951219512195122
cap-20260824T192019-9023840c8e9f,T2,stream-1/RX1,sha256:2ced2ecfe017a18cdab42af902ec2e4f8c3b0bbce8cf4b0e84cd3958ce066ed0,9.525000000000006,194,-2819.691772563832,299.36734936535055,STARLINK-32163,60262,-2843.9434647072158,24.251692143383934,13,201,0.5853658536585366,47.83432375483358,244.27302283295325,621.1750649548204,-1.4035727788830394,64086.086503731,1.0
cap-20260824T192019-9023840c8e9f,T3,stream-1/RX1,sha256:4d045710119cf79da0a24a6e57617fb830e3cccced40d7016bc8a55ead59bfe2,5.275,54,-3109.8971335932365,582.2005470410835,STARLINK-32408,62054,-3101.391010806724,8.506122786512606,11,202,0.2682926829268293,56.49367881995413,16.83653380234565,574.5612872865835,-0.00644396572270511,29950.783207731,1.0
cap-20260824T192252-9981b9c27853,T1,stream-1/RX1,sha256:f84bc3c50c7bc46e8e458582cdd0b69077df00e3a92e0eb02a61d2a511efd668,31.0,1593,-3538.963840091817,872.7649965208371,STARLINK-31476,59523,-3526.725120474668,12.238719617148945,7,205,0.1951219512195122,71.31245594230568,115.08179234542003,510.6844914586977,1.3729127656814422,68767.986490614,0.975609756097561
cap-20260824T192252-9981b9c27853,T2,stream-0/RX1,sha256:0e441c6bc9a94c9dff13cd5bbda44dc79a29b15cfcd7836ba5087c70fd6abaa2,19.5,1555,-4057.0805379809126,194.9072630123184,STARLINK-31032,58535,-4069.920160156111,12.839622175198201,5,202,0.07317073170731707,80.57279395381717,32.771347105472216,471.3096382044931,-0.186269047147859,92062.98996634,0.5853658536585366
cap-20260824T192252-9981b9c27853,T3,stream-0/RX1,sha256:748072a0dd380043307be497b0a6d3047373b205f128730bbafcd0ebd89b5f04,16.199999999999996,818,-3843.67780033329,298.57468558071145,STARLINK-37889,69536,-3866.2381378900063,22.56033755671615,6,198,0.2682926829268293,70.49495639823033,246.02861108579174,490.7202286500098,-0.8556479921419728,41438.65359034,1.0
cap-20260824T192531-491832825b97,T1,stream-0/RX1,sha256:cb83afb62abe750a1dc839669f64353a99b5b27464262236b4edec6e017fe8c0,32.45,3159,-3963.123269727041,314.0278943654123,STARLINK-32504,62024,-3970.8478009721584,7.724531245117305,3,199,0.07317073170731707,83.89965381605994,30.94808366496868,467.74329990948627,0.7052974401885844,147102.452012959,0.5853658536585366
cap-20260824T192531-491832825b97,T2,stream-1/RX1,sha256:2a2e5a0bf5f7dc514d1f4bc54d6be9ec691a46e9e710eb658c790c40e7133d4b,31.849999999999994,1973,-3964.01407361823,356.5273797251486,STARLINK-32504,62024,-3973.4491436868902,9.435070068660025,3,199,0.07317073170731707,84.02490662278517,30.589847678359444,467.64144055283407,0.6897558086112245,147102.30598212,0.5853658536585366
cap-20260824T192531-491832825b97,T3,stream-0/RX1,sha256:76a131c831ce68e16d9f266c7917eac867cfa5b0a2ea37fe09313e54dcff7d0f,21.95,2117,-2904.9470373523072,755.1176575230628,STARLINK-32038,60281,-2868.5471127843048,36.39992456800246,15,200,0.6341463414634146,44.19648248648483,215.91760233389832,644.4555557030621,0.949004639127921,103405.610333215,1.0
