abstention_reasons,abstention_recommended,catalog_number,fit_rms_hz,heldout_rank,heldout_runner_nll_margin,leading_candidate_persisted_on_heldout,nominal_beats_both_wrong_times,nominal_beats_radio_null,radio_id,radio_null_delta,randomized_evaluation_rms_hz,rank,row_kind,scored_observation_count,selected_tau_seconds,session_id,source_observation_count,support_span_seconds,tracklet_id,training_runner_nll_margin,wrong_time_minus_delta,wrong_time_plus_delta
,,67345,123.73219139751598,,,,,,radio_pluto_19f2,,134.31235819818252,1,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:d0d69d025eb353c15d441e4f31f41dcb5837a094bac752f516fd74a06be0b2f5,,,
,,60262,1263.754321665343,,,,,,radio_pluto_19f2,,877.2711789424866,2,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:d0d69d025eb353c15d441e4f31f41dcb5837a094bac752f516fd74a06be0b2f5,,,
,,60291,1480.7031338108386,,,,,,radio_pluto_19f2,,1133.9320265025015,3,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:d0d69d025eb353c15d441e4f31f41dcb5837a094bac752f516fd74a06be0b2f5,,,
,,53897,2793.688281870856,,,,,,radio_pluto_19f2,,2653.2478650546514,4,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:d0d69d025eb353c15d441e4f31f41dcb5837a094bac752f516fd74a06be0b2f5,,,
,,62139,3053.9689173190563,,,,,,radio_pluto_19f2,,1861.8863988910032,5,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:d0d69d025eb353c15d441e4f31f41dcb5837a094bac752f516fd74a06be0b2f5,,,
,,61848,84.07353882099237,,,,,,radio_pluto_19f2,,121.93653756053686,1,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be,,,
,,60593,231.2275933798024,,,,,,radio_pluto_19f2,,414.2608599267047,2,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be,,,
,,63142,1887.9431646397054,,,,,,radio_pluto_19f2,,1956.547003550896,3,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be,,,
,,66332,2463.507447305153,,,,,,radio_pluto_19f2,,2755.3342528328367,4,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be,,,
,,67119,2629.5672767184587,,,,,,radio_pluto_19f2,,2709.4038714388307,5,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be,,,
,,56535,61.26983983522525,,,,,,radio_pluto_19f2,,88.71349031654978,1,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:4c085a9b3341d327ed9741a9a0d5f05e64b802200d030921963d7890a03d2553,,,
,,61622,70.032906184679,,,,,,radio_pluto_19f2,,93.84872116767065,2,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:4c085a9b3341d327ed9741a9a0d5f05e64b802200d030921963d7890a03d2553,,,
,,62153,410.28279046880357,,,,,,radio_pluto_19f2,,326.6514283216057,3,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:4c085a9b3341d327ed9741a9a0d5f05e64b802200d030921963d7890a03d2553,,,
,,69208,2163.6233420237068,,,,,,radio_pluto_19f2,,1517.7271936374095,4,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:4c085a9b3341d327ed9741a9a0d5f05e64b802200d030921963d7890a03d2553,,,
,,67126,2349.1504737695545,,,,,,radio_pluto_19f2,,1541.79573767874,5,review_candidate,,,scan-fw-f3ce5fe73aa40506,,,sha256:4c085a9b3341d327ed9741a9a0d5f05e64b802200d030921963d7890a03d2553,,,
,False,56535,,1,0.3321423120373197,True,False,False,radio_pluto_19f2,-0.8212771537598655,,1,physical_group_candidate,51,0.0,scan-fw-f3ce5fe73aa40506,51,38.896266666,sha256:65819c116388d55d109c97eb08094bef204f6e5689fb924dc4bcd3a6b48c7369,0.4612256225164515,17.218389586062983,-0.31247018862060827
,False,67345,,1,3.5014205471187836,True,False,False,radio_pluto_19f2,-0.11991100994072212,,1,physical_group_candidate,39,-1.0,scan-fw-f3ce5fe73aa40506,39,38.892177333,sha256:b40bfd63ec1af36a20f62e6a0620cc48a9fb26714254ae3d6d2b7f5f17d4848b,3.997729893364948,-0.07740906823937621,-0.22045429805123717
,False,61848,,1,0.2619754523901179,True,False,False,radio_pluto_19f2,-0.24843487744388426,,1,physical_group_candidate,23,0.0,scan-fw-f3ce5fe73aa40506,23,17.024346,sha256:f2465955bf907494cae518eef825d32d28c136f1a77f9f6808ad80a6db0d68be,0.3138124805578144,-0.25573463846777145,-0.17193059080479145
,,59083,78.60674072663751,,,,,,radio_pluto_19f2,,117.00164551530287,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:7b629072dd122aa4cabf1b03245125a51d15a0c8d43654d9a37afa8f9fff7498,,,
,,65630,1750.3329648156223,,,,,,radio_pluto_19f2,,1654.993070946795,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:7b629072dd122aa4cabf1b03245125a51d15a0c8d43654d9a37afa8f9fff7498,,,
,,62747,2336.1396392727834,,,,,,radio_pluto_19f2,,2682.124438489962,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:7b629072dd122aa4cabf1b03245125a51d15a0c8d43654d9a37afa8f9fff7498,,,
,,63137,2525.901470901942,,,,,,radio_pluto_19f2,,2884.4585486941455,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:7b629072dd122aa4cabf1b03245125a51d15a0c8d43654d9a37afa8f9fff7498,,,
,,62140,3349.852289830473,,,,,,radio_pluto_19f2,,2896.744320531626,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:7b629072dd122aa4cabf1b03245125a51d15a0c8d43654d9a37afa8f9fff7498,,,
,,56116,99.58357136565617,,,,,,radio_pluto_19f2,,124.76522173750075,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:bfcf3cfbd55b6766e57ff475e97f6c7531c0d5ef82390d5fa815dcf9beb09d79,,,
,,57301,1087.0621056373463,,,,,,radio_pluto_19f2,,1319.210978155266,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:bfcf3cfbd55b6766e57ff475e97f6c7531c0d5ef82390d5fa815dcf9beb09d79,,,
,,68056,1335.0819568397303,,,,,,radio_pluto_19f2,,1481.1119491081674,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:bfcf3cfbd55b6766e57ff475e97f6c7531c0d5ef82390d5fa815dcf9beb09d79,,,
,,58738,2781.7279641870505,,,,,,radio_pluto_19f2,,2492.5996802257814,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:bfcf3cfbd55b6766e57ff475e97f6c7531c0d5ef82390d5fa815dcf9beb09d79,,,
,,62835,3712.6505389957733,,,,,,radio_pluto_19f2,,2714.0793537709224,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:bfcf3cfbd55b6766e57ff475e97f6c7531c0d5ef82390d5fa815dcf9beb09d79,,,
,,61849,55.13240783942101,,,,,,radio_pluto_19f2,,123.12187769623978,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:f60891d414089e8cc811f65a202ac35ad451cde9080964e98b6105b2516a05cc,,,
,,48022,67.97098013344932,,,,,,radio_pluto_19f2,,417.51209930895106,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:f60891d414089e8cc811f65a202ac35ad451cde9080964e98b6105b2516a05cc,,,
,,63107,572.5770545680813,,,,,,radio_pluto_19f2,,1283.8917038703967,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:f60891d414089e8cc811f65a202ac35ad451cde9080964e98b6105b2516a05cc,,,
,,69207,584.3039011172982,,,,,,radio_pluto_19f2,,2028.6378060924637,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:f60891d414089e8cc811f65a202ac35ad451cde9080964e98b6105b2516a05cc,,,
,,52835,944.5840852156815,,,,,,radio_pluto_19f2,,1299.6139698933866,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:f60891d414089e8cc811f65a202ac35ad451cde9080964e98b6105b2516a05cc,,,
,,61849,95.26249330714492,,,,,,radio_pluto_19f2,,68.68666079273335,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:b263e65c0a0c0fc722842c15af9042f613dc447da4a15fdbbe8d30e34d5f1487,,,
,,59317,325.41425684928527,,,,,,radio_pluto_19f2,,1433.1701829945598,2,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:b263e65c0a0c0fc722842c15af9042f613dc447da4a15fdbbe8d30e34d5f1487,,,
,,48022,345.19316231018365,,,,,,radio_pluto_19f2,,630.4620537559945,3,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:b263e65c0a0c0fc722842c15af9042f613dc447da4a15fdbbe8d30e34d5f1487,,,
,,65648,352.29690084169715,,,,,,radio_pluto_19f2,,1403.025898057942,4,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:b263e65c0a0c0fc722842c15af9042f613dc447da4a15fdbbe8d30e34d5f1487,,,
,,62160,353.32956525305514,,,,,,radio_pluto_19f2,,1386.6403643809576,5,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:b263e65c0a0c0fc722842c15af9042f613dc447da4a15fdbbe8d30e34d5f1487,,,
,,59083,110.6799478620724,,,,,,radio_pluto_19f2,,115.81919670651794,1,review_candidate,,,scan-fw-9f3d5067d149118e,,,sha256:71400fa55b49e8bc82730c4a5da0fa2bdf5f9d99883afd906e1880168837f788,,,
