channel,edge,end_seconds,fit_observation_count,observation_count,radio_id,randomized_evaluation_observation_count,rank1_catalog_number,rank1_fit_rms_hz,rank1_randomized_evaluation_rms_hz,reviewed_candidate_count,session_id,span_seconds,start_seconds,tracklet_id
4,lower,209.822442713,16,27,radio_pluto_19f2,11,60289,47.31309130464498,73.58006232074212,5,scan-fw-cfcf667726e80735,13.252313668,196.570129045,sha256:0c5881bc2d6b57b7ed7a9430e22507b5e0de54d16cade01f493ccf81b55c7f51
1,lower,169.015384687,36,61,radio_pluto_5d4d,25,58365,107.89607489100534,109.82920930694239,5,scan-fw-8d1424f9297d34fb,46.78136590999999,122.234018777,sha256:da08a9f7da8d336f0a3cdaacdb0305d6dba6dbb472ee49f23c31ae3f470f6112
3,lower,52.138017537,38,64,radio_pluto_5d4d,26,66507,70.01047534258726,126.62836053110115,5,scan-fw-8d1424f9297d34fb,45.790719707,6.34729783,sha256:38d34e31e4e9fb4fb00a7e13a271eac6a425a171440b2c6a0b43249a99fb7230
3,lower,52.138017515,32,54,radio_pluto_5d4d,22,66507,140.35756828086824,127.03323548206046,5,scan-fw-8d1424f9297d34fb,45.790719700000004,6.347297815,sha256:629c4f0bddb6fdcbeb1b485054a86769a8ee38333a6a9be8cf5e4fef5bb76e1f
2,lower,247.118043456,48,80,radio_pluto_5d4d,32,59504,195.91232731379358,184.70948918975833,5,scan-fw-8d1424f9297d34fb,42.42819756900002,204.689845887,sha256:aa328ae186f6bd1766494a4629de0ddbdd514edef3c087e3f862d5892eb444df
1,lower,160.218765404,31,52,radio_pluto_5d4d,21,58365,190.8106094605371,230.04052767209654,5,scan-fw-8d1424f9297d34fb,40.87726462100001,119.341500783,sha256:02feec45631b24a0fc6e8e6a4ac8607cab29ffb29cdb761ba2fd6b10ef5826ab
2,lower,247.118043444,33,56,radio_pluto_5d4d,23,59504,110.3005736873415,107.05410415921335,5,scan-fw-8d1424f9297d34fb,39.522734829,207.595308615,sha256:ec3d732898a91f88d90bf7a1ee0f2fb6f591adc625898a6561d9bdd418789a1b
1,lower,270.343611085,36,60,radio_pluto_5d4d,24,64766,98.88786392700011,86.00504946509906,5,scan-fw-8d1424f9297d34fb,37.93477705300003,232.408834032,sha256:2eafbf91c30a5aa023f4c1481904191bf95b80b34535fa90fe61e332ecdaa51f
1,lower,267.49784934,37,63,radio_pluto_5d4d,26,64766,149.17417687002836,162.2622588503303,5,scan-fw-8d1424f9297d34fb,36.030754109000014,231.467095231,sha256:8812dd6624dfbe8dd56471185799f75ae85041cb1df5815d0f8083118d04e589
3,lower,259.30227372,18,30,radio_pluto_5d4d,12,64766,138.20410635415945,81.85389149300019,5,scan-fw-8d1424f9297d34fb,20.28006405000002,239.02220967,sha256:7bfa5e05d48c6bfc4b865484f46a5f4e01a8e66ca55758308beb6a50eaca78a9
