actual_rf_hz,channel,edge,normalized_rate_hz_per_s,observation_count,radio_id,receiver_id,residual_rms_hz,sample_rate_hz,session_id,span_seconds,tracklet_id
11209687498.0,3,lower,-3517.5495848368164,42,radio_pluto_19f2,1,465.49785699864555,2500000,scan-fw-cfcf667726e80735,20.910852,sha256:9d731eabd07c932df4a5a1fd30ae4ece20a2e67857eacdbfb4579191cc986004
10959687498.0,2,lower,-3700.2804636223013,10,radio_pluto_19f2,1,100.81345108410667,2500000,scan-fw-cfcf667726e80735,9.1428836,sha256:c27c031060062b516779db5b7ae036a2e730dcd13b3e5a405002814f9835d082
11459687500.0,4,lower,-3867.6244708446793,49,radio_pluto_19f2,1,976.5985094113033,2500000,scan-fw-cfcf667726e80735,36.0188496,sha256:64d1cfc1ab2eee3fca702fbdb223fb9b48ad8ad838e92896d83d3b65e6ad4fa3
11459687500.0,4,lower,-3973.936342258068,10,radio_pluto_19f2,0,121.47492398180398,2500000,scan-fw-cfcf667726e80735,12.2229268,sha256:ffa8c9d81aa0a65020bcd69bb9337f257a53bfefc3a8bfe5a9dd6a7e1bbb9bc7
10959687498.0,2,lower,-3669.041989332454,64,radio_pluto_19f2,1,486.1907450588511,2500000,scan-fw-cfcf667726e80735,37.5214056,sha256:672042bbc606dbf7729b24a047b617863d2e730495a5e4a9782f5e8805ad1592
11459687500.0,4,lower,-3552.027747733563,20,radio_pluto_19f2,1,292.8837741897127,2500000,scan-fw-cfcf667726e80735,15.9575436,sha256:5b9aebb1314aabc8839dd0c096a1333535cfc1e46e99e89108825c7666055dcc
11209687498.0,3,lower,-3848.2351857903473,21,radio_pluto_19f2,0,258.01875298916184,2500000,scan-fw-cfcf667726e80735,17.6176552,sha256:e5b97d0e89b3c4d4a5b3afe9b0587bf5162500441018da02c30eb630f2b75e71
11209687498.0,3,lower,-3866.1542700387427,13,radio_pluto_19f2,1,66.44365722475989,2500000,scan-fw-cfcf667726e80735,12.9483004,sha256:aae116c9f5064290451cf9be3944ae887c7739308cc6c9582dddd3fde3c0c67d
11459687500.0,4,lower,-3869.918528897091,22,radio_pluto_19f2,0,186.42839812658048,2500000,scan-fw-cfcf667726e80735,16.540316,sha256:4e8df3e6ff1ce8a5d83957a032c6ac2815502a03a13ec2483c2819ed0a751b91
11459687500.0,4,lower,-3911.806361697456,27,radio_pluto_19f2,1,80.75679396479391,2500000,scan-fw-cfcf667726e80735,13.2709332,sha256:0c5881bc2d6b57b7ed7a9430e22507b5e0de54d16cade01f493ccf81b55c7f51
11459687500.0,4,lower,-3466.719753334465,9,radio_pluto_19f2,0,188.22706507901498,2500000,scan-fw-cfcf667726e80735,12.4681452,sha256:e0b1761bb6d8ba4144598273fb0bf976d490ce0b92cd8f0076ed6b49edf493d9
11209687498.0,3,lower,-3615.706070749249,64,radio_pluto_5d4d,0,853.6349435757769,2500000,scan-fw-8d1424f9297d34fb,45.8096744,sha256:38d34e31e4e9fb4fb00a7e13a271eac6a425a171440b2c6a0b43249a99fb7230
