glrt_cfo_hz,glrt_margin,glrt_trajectory_id,pss_aligned_cfo_hz,pss_coarse_cfo_hz,pss_fine_cfo_hz,pss_fine_peak_to_median,pss_minus_glrt_hz,pss_mode_id,pss_robust_z,pss_timing_track_residual_us,pss_unwrapped_cfo_hz,receiver_id,target_index,time_s,track_rank,visit_index
133697.98702780288,0.43597198798472336,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,122105.94900150082,-200000.0,-221822.08605048063,1.162574239860337,-11592.038026302063,sha256:20fd70c50edab700cde9ada2d686814ca5ae272ceb29e99007d28da0d0a848f7,15.690200002755729,-0.05101917193806125,-221822.08605048063,0,4,169.2445318,2,1246
133312.82419420723,0.44825183933674784,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,143356.18826961177,-200000.0,-200571.84678236968,1.1569593802720652,10043.364075404534,sha256:d9b332caae31ea3daf6b57c72e56204315342a9b2c4e1d2aec9e18583494cda8,16.27029941187877,-0.032812927726398426,-200571.84678236968,0,4,169.364877,2,1247
129121.86185450586,0.45213883152326634,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,124667.80686996123,-200000.0,-219260.22818202022,1.1495619418900067,-4454.054984544622,sha256:71dc7d08597b383b797d1e12ec97fe3d5258d5951909a6fb3238b1c7ff59eee0,22.945657494814157,-0.005600062605803056,-219260.22818202022,0,4,170.4480457,2,1255
128095.58754537647,0.44921117465200217,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,131480.00567966298,-200000.0,-212448.02937231847,1.1380855409289674,3384.418134286505,sha256:414697525fa56f38bf3ad9163d0f9b0fc11bb5126c94cd0212253afebe4be407,13.178820920690107,0.0273187924193204,-212448.02937231847,0,4,170.7288605,2,1257
126465.63959867532,0.485219572124642,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,128612.56797324822,-200000.0,-215315.46707873323,1.1683140804583418,2146.9283745729044,sha256:0667e91238c96a2a8773893766a59e929382c60a9bf0b2245da22ceb163948c4,15.825551751544369,-0.00024006829076744785,-215315.46707873323,0,4,171.149564,2,1260
125456.70895514252,0.518043568428709,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,119847.08987429173,-200000.0,-224080.94517768972,1.118349116341369,-5609.619080850782,sha256:7f8418c1a60ded368345f9265d7a9fa3e4e98f1abdafe833f7488b052b1c3ca5,13.12382745463621,0.014173285318931812,-224080.94517768972,0,4,171.4302932,2,1262
120361.74185424091,0.4614651850003103,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,119678.96669891203,-200000.0,-224249.06835306942,1.1169882506870998,-682.7751553288836,sha256:bb1bc93d2b88ba65c2f5e56f0350fa540a3f6e93f493e9b09b78a3d1a96c6908,10.722912323317933,-0.03219542319082922,-224249.06835306942,0,4,172.7955122,2,1272
119956.5517466609,0.46580270842780214,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,108129.6474274626,-200000.0,-235798.38762451886,1.1470460202511192,-11826.904319198307,sha256:6f4b9fc960ab24181f705b77ee981a1f222dffd3bd337f197e5893d498b400e7,12.264513012274591,0.014285351856188448,-235798.38762451886,0,4,172.9160564,2,1273
118892.6277060696,0.4296014573632615,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,125214.43089952174,-200000.0,-218713.6041524597,1.104463515710678,6321.803193452142,sha256:056234fbf71e514dd82bffbdbf4ddff180e13fb1f072b34fc6ec263eb3e61a8f,11.769213940387182,0.06439337851826821,-218713.6041524597,0,4,173.1963917,2,1275
114364.17398163969,0.4329117665724523,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,114433.13933429742,-200000.0,-229494.89571768403,1.140033345405664,68.96535265773127,sha256:dd280579145168a5c2b3b76c12c90db86d00b934adf8e22f0a57a3eccb862ecc,15.3674363077283,-0.008983612708227638,-229494.89571768403,0,4,174.3804201,2,1284
112822.76145063265,0.4521384287080305,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,112797.41455714923,-200000.0,-231130.62049483223,1.1585303681592685,-25.346893483423628,sha256:9a9458e319bda72f5f7558a0593827fe12ce31755ff350dde06fc6b7a3feb8b2,14.208463038961417,0.024471640707878113,-231130.62049483223,0,4,174.8023099,2,1287
112327.92775776594,0.44311381130008737,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,104861.46340013877,-200000.0,-239066.57165184268,1.1593593815328362,-7466.464357627163,sha256:80ba067e613839d0d4ffb58dd4ab2008036e31461fe10ed741178ebd24ff6b13,13.809028901020866,0.030798816739465405,-239066.57165184268,0,4,174.9224424,2,1288
108072.23886065485,0.4937997678134612,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,123600.77947609368,-200000.0,-220327.25557588777,1.174985790902205,15528.540615438833,sha256:74037f9279adcf8cabc17ce09c20bdc0fe154cfbc2728a6025002e6ac763e79c,18.1701368008536,-0.02903803356590299,-220327.25557588777,0,4,176.0052082,2,1296
106665.99248588314,0.48821014744080227,sha256:b92b3d43d146a181aedf35f743c2ed09e9de911fa57f062cfbc942aee5b6e41c,117617.27198944928,-200000.0,-226310.76306253218,1.1411211683165476,10951.27950356614,sha256:f1e0122fe1c1ce7c306b6585545f8e3e480a05f9abd1b36c555a8e018e8f6c1c,13.822641695243465,0.021580584387754544,-226310.76306253218,0,4,176.4070288,2,1299
