session_id,tracklet_id,channel,edge,start_s,end_s,span_s,leading_norad,training_rms_hz,heldout_rms_hz,heldout_rank,tau_s,concerns
scan-hop-c2313aebc38416ef,sha256:a4969b3c90ccdf3bd61392c98abd9c2f839792a15972de4535de37e2aabbbf39,1,lower,60.151317991,89.11769027,28.966372278999998,68005,47.41099882474862,222.16244823849846,1,-2.0,radio drift fits as well or better
scan-hop-c2313aebc38416ef,sha256:486da7819ded1caef520d207454b94c1524ceaf5cc621f4d2731efd13b5aeb4f,1,upper,65.443534713,88.991559946,23.54802523299999,68005,71.18119567922791,185.5491004420558,1,-1.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:2d2f8cb5989ad0d633464491941651f3b9c7971b8c4f32d4441cf2f9b28b600f,3,upper,94.539581588,127.15023633,32.610654741999994,58411,62.48509932218604,215.0859130848416,1,1.0,500s control fits as well or better
scan-hop-c2313aebc38416ef,sha256:afa34aa68e003f70e67ee3e88772c788a5c2ec09aa4cff3091415f26bb8a1675,3,lower,100.717802011,125.510246466,24.792444454999995,58411,37.65661854381146,215.66929128967467,1,1.0,-500s control fits as well or better; 500s control fits as well or better
scan-hop-c2313aebc38416ef,sha256:492d37daa3d608ec51e574d7506aee50a3e6de6e0c01ad1a68338ea24b48628d,1,lower,143.674363063,173.899765805,30.225402742,66191,48.89547182925093,253.59878376376284,1,-2.0,-500s control fits as well or better
scan-hop-c2313aebc38416ef,sha256:462e6f0ff0e40a735f77c3829aaf74a35bc5a0cef069e9f0259dbb574118ea94,4,lower,194.430263689,223.409093367,28.97882967800001,63795,112.22412193408367,54.555211530655654,1,-2.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:06dcf11155e7d3dd803202123f79ccd3961069f2f49c09a5909c43c8e05b04a5,1,upper,194.555951035,222.527760296,27.971809261000004,60411,77.729151047638,129.56630219486004,1,1.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:ed1a1c3e9ea00f9a6037330329ea78bad68e20f77245d1612c2cc39aea855069,2,lower,195.059634799,223.031795363,27.972160563999978,63266,31.29750210674135,255.74316755401992,2,-5.0,leader changes on heldout; time-shift boundary
scan-hop-c2313aebc38416ef,sha256:38ac8eeab0883762e2ed06a2b503bf63333ee4dd1505c42de4841478e505521e,2,upper,195.184969367,223.283795416,28.098826048999996,60411,66.66271036329913,152.4332830252506,1,1.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:e1c322841bc5f0fc1cd4714edcff49d100e40a6f3a59a8216b561d1e891f2f60,4,upper,195.56760806,245.95703045,50.38942238999999,63795,70.94281248889129,335.0414235291401,1,-2.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:65c9b6afff68b0dd9d1801c7e45b8a4294ffa774ff5b735998581bacc2c5c370,4,lower,225.422426389,248.602346346,23.17991995699998,63795,113.0860823148444,73.68923748899103,1,-1.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:144b7be5d3d36064179d0130a8255c61fb854a9100747db48a67ea6ee2f82faa,2,lower,253.27224303,280.111836486,26.839593456000017,64434,74.88341352703448,116.39091322739672,1,-1.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:680da4f14ba218b312d1ad7b782a13b627a921740ee65683b23d3f8c1ff25878,1,lower,0.016702546,23.472855844,23.456153298,68789,25.098146975619233,17.979374532654827,1,-1.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:428a92328842951dab75e13543675f53c284904570fb6b1cb7df55cf1817f61b,4,lower,184.362301998,208.795781249,24.433479250999994,60411,18.562517792569373,69.54466978613267,1,1.0,passes descriptive checks; candidate only
scan-hop-c2313aebc38416ef,sha256:97ea1a0e9769668731bf61d446105979bb1f1034cc192e39cb836ad67e47c76a,1,upper,3.543604331,23.975518657,20.431914325999998,68789,76.73861006936858,41.151597059323876,1,-1.0,passes descriptive checks; candidate only
scan-hop-499abcb9ca352397,sha256:a194540efacfd217afba8903cb2c95c780b472179dd28186f14c287eee3db31b,3,lower,30.018983743,58.994883334,28.975899591,47831,24.07568298143619,125.35362799258938,1,-1.0,passes descriptive checks; candidate only
