session_id,capture_start_utc,tracks,descriptive_passes,candidates,status
scan-hop-d185309146aa8ab6,2026-09-14T20:30:12.780413Z,10,9,"48482 (2 tracklets), 59658 (2 tracklets), 60590 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-cf54d8096b706750,2026-09-14T20:40:12.394928Z,15,10,"65644 (5 tracklets), 66816 (3 tracklets), 56035 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-339720f8f00ad239,2026-09-14T20:50:12.291343Z,19,18,"60355 (2 tracklets), 66800 (2 tracklets), 58937 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-6692a1700f427025,2026-09-14T21:00:12.623792Z,11,7,"58404 (4 tracklets), 60372 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-5cfe222fca9b6f0e,2026-09-14T21:10:12.525115Z,15,15,"64339 (4 tracklets), 63782 (4 tracklets), 57673 (3 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-dd2937728dab2d65,2026-09-14T21:20:12.440309Z,10,9,"63786 (2 tracklets), 59419 (2 tracklets), 68280 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-78bfff64757c1fbd,2026-09-14T21:30:12.462465Z,3,2,59899 (2 tracklets),Candidates pass descriptive checks; no identification
scan-hop-7560d96129525ada,2026-09-14T21:40:12.492486Z,14,12,"58493 (4 tracklets), 60201 (3 tracklets), 62760 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-4d85ec3c4f985f42,2026-09-14T21:50:12.467072Z,11,8,"58132 (4 tracklets), 57823 (2 tracklets), 68037 (1 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-8a7c8202a5bf67c8,2026-09-14T22:00:12.420019Z,7,4,58639 (4 tracklets),Candidates pass descriptive checks; no identification
scan-hop-c997353435840769,2026-09-14T22:10:12.595034Z,10,9,"62135 (4 tracklets), 63720 (3 tracklets), 69360 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-82e3eef31eb77a1f,2026-09-14T22:20:12.556934Z,9,7,"67625 (3 tracklets), 67639 (2 tracklets), 59242 (1 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-966bb8eec823f15c,2026-09-14T22:30:12.607184Z,9,9,"62182 (2 tracklets), 68299 (2 tracklets), 59241 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-fcd4703daa52a827,2026-09-14T22:40:12.890860Z,8,7,"63840 (2 tracklets), 62171 (2 tracklets), 58183 (2 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-c385aedb1181e285,2026-09-14T22:50:12.764263Z,5,5,"64711 (2 tracklets), 63860 (2 tracklets), 65422 (1 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-9e4724f933719f16,2026-09-14T23:00:12.633367Z,11,10,"57612 (4 tracklets), 63069 (2 tracklets), 60416 (1 tracklets)",Candidates pass descriptive checks; no identification
scan-hop-2e5291e998d9539d,2026-09-14T23:10:12.694332Z,10,3,65679 (3 tracklets),Candidates pass descriptive checks; no identification
scan-hop-ccd4ff7d73b8e12e,2026-09-14T23:20:12.558941Z,5,5,"63202 (2 tracklets), 61629 (2 tracklets), 67192 (1 tracklets)",Candidates pass descriptive checks; no identification
