session_id,tracklet_id,channel,edge,candidate_count,training_leader_norad,catalog_number,name,training_rank,heldout_rank,training_rms_hz,heldout_rms_hz,leader_training_gain_hz,leader_heldout_gain_hz,leader_heldout_gain_percent,tau_s
scan-hop-e31b77794a04c236,sha256:ed6c4d18ada815548711e2bc8c2e4db722b7edd09ef71aaa73feb0ec88096d3e,4,lower,567,58711,58711,STARLINK-31031,1,1,51.111759835172386,73.52421046832546,0.0,0.0,0.0,-1.0
scan-hop-e31b77794a04c236,sha256:ed6c4d18ada815548711e2bc8c2e4db722b7edd09ef71aaa73feb0ec88096d3e,4,lower,567,58711,48594,STARLINK-2251,2,2,306.181753134112,2932.737934622239,255.0699932989396,2859.213724153914,97.4929839587663,-5.0
scan-hop-e31b77794a04c236,sha256:ed6c4d18ada815548711e2bc8c2e4db722b7edd09ef71aaa73feb0ec88096d3e,4,lower,567,58711,55449,STARLINK-5699,3,4,643.703293656302,4580.105114985421,592.5915338211296,4506.580904517095,98.39470473662786,-5.0
scan-hop-e31b77794a04c236,sha256:ed6c4d18ada815548711e2bc8c2e4db722b7edd09ef71aaa73feb0ec88096d3e,4,lower,567,58711,57263,STARLINK-5509,4,3,728.7625979942206,3622.7780122861977,677.6508381590482,3549.253801817872,97.97050191264887,5.0
scan-hop-e31b77794a04c236,sha256:ed6c4d18ada815548711e2bc8c2e4db722b7edd09ef71aaa73feb0ec88096d3e,4,lower,567,58711,100110,STARLINK-38101,5,,794.2200834938569,6846.599466651335,743.1083236586845,6773.0752561830095,98.92612075780904,-1.0
scan-hop-e31b77794a04c236,sha256:ed6c4d18ada815548711e2bc8c2e4db722b7edd09ef71aaa73feb0ec88096d3e,4,lower,567,58711,59940,STARLINK-31946,,5,1729.8146080952688,5376.076449905923,1678.7028482600965,5302.552239437598,98.63238160481121,5.0
scan-hop-e31b77794a04c236,sha256:95a04127167f70264175958c033a77917504d5c236a1df0e5afa517600be2140,2,lower,566,58711,58711,STARLINK-31031,1,1,50.32416293844697,44.037537832218256,0.0,0.0,0.0,-1.0
scan-hop-e31b77794a04c236,sha256:95a04127167f70264175958c033a77917504d5c236a1df0e5afa517600be2140,2,lower,566,58711,48594,STARLINK-2251,2,2,350.294822944022,3109.691967893616,299.970660005575,3065.6544300613978,98.58386173656783,-5.0
scan-hop-e31b77794a04c236,sha256:95a04127167f70264175958c033a77917504d5c236a1df0e5afa517600be2140,2,lower,566,58711,55449,STARLINK-5699,3,4,714.1223798064278,4765.340072872983,663.7982168679808,4721.302535040765,99.0758783810015,-5.0
scan-hop-e31b77794a04c236,sha256:95a04127167f70264175958c033a77917504d5c236a1df0e5afa517600be2140,2,lower,566,58711,57263,STARLINK-5509,4,3,754.3722277426546,3689.8866817771423,704.0480648042076,3645.849143944924,98.80653413966066,5.0
