session_id,capture_start_utc,channel,edge,receiver_id,observation_count,support_span_s,normalized_rate_hz_per_s,linear_fit_residual_rms_hz
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,lower,0,10,9.0789296,-3864.504611364471,160.95533630139565
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,lower,0,12,11.0935834,-3847.3720891037606,161.35809884405623
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,lower,0,10,9.0777241,-3857.703753627777,99.24228630464829
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,upper,0,10,9.0762613,-3861.1137888684916,162.84884776558528
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,lower,0,32,29.4902983,-4114.904511503374,730.9049874272442
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,upper,0,31,28.7368653,-4110.705961105889,710.1510506333337
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,upper,0,14,12.7349728,-4246.981962438447,43.46808348430016
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,lower,0,29,27.8560043,-4113.913958997547,691.9391632838978
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,lower,0,28,27.9827555,-4107.672143019056,737.6127687896197
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,upper,0,13,12.4829856,-4242.586983932301,52.05875933856995
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,lower,0,12,11.0989805,-4240.842121731669,38.74162357979826
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,upper,0,18,17.3949144,-4038.8610006554027,429.34523864923256
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,upper,0,12,10.3454401,-4018.611718173067,169.1755850255576
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,upper,0,11,10.2161986,-3303.1987997839888,241.8326652977125
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,lower,0,18,13.9908251,-3193.2317208836935,432.4323644031872
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,upper,0,8,9.4817003,-3013.354587751795,167.0286138129464
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,lower,0,25,17.5217139,-3382.4399041614356,297.11901839145287
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,upper,0,34,33.9376966,-4268.961433435801,684.4497240451475
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,lower,0,23,23.2266788,-4260.557524401262,517.0511023685151
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,lower,0,32,30.6670078,-4293.837014930507,471.73233372580484
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,upper,0,13,13.0241199,-4356.35857233346,104.92861736409603
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,lower,0,12,11.1097374,-3048.5300707383785,249.67714199206455
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,upper,0,9,8.0895808,-4286.76841431873,74.69197373912375
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,upper,0,16,14.3697162,-3592.4245461806954,389.49800381314486
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,lower,0,34,32.5070436,-3837.755253762242,842.5509615330087
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,lower,0,38,36.7964046,-3861.9739031743557,796.3563996686024
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,upper,0,36,35.5377119,-3867.8086086694443,746.6491429464014
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,upper,0,27,25.8310209,-3906.13946774678,409.9447469785362
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,lower,0,25,23.8190232,-3904.778090908066,353.7065885930093
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,lower,0,11,10.0924024,-2676.2443276804615,215.96616192603173
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,upper,0,22,21.1854778,-3951.3834882772444,201.30931456576658
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,lower,0,11,10.0934657,-3977.7889993498084,24.690739629158735
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,upper,0,10,9.0829507,-3976.921003576302,24.596320389957707
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,lower,0,41,40.3310718,-3641.096472271954,760.3073428407122
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,3,upper,0,41,40.3349817,-3647.187036344191,705.5641210640739
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,lower,0,14,13.1203398,-3698.620917985811,110.20541744576393
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,1,upper,0,16,15.1387537,-3711.6368592640915,124.06624266534546
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,lower,0,20,19.1681715,-3669.6764923460096,264.19118736834275
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,4,upper,0,18,17.1548337,-3643.431817354484,238.32105938356017
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,upper,0,17,16.1495796,-3642.980221614624,205.02659720705992
scan-hop-24e4b051b0fbc5ca,2026-09-14T16:20:12.023849Z,2,lower,0,17,16.1495778,-3641.759508954492,228.7000327045238
