session_id,alias_changes,attempted,case,cfo_rms_hz,common,delay_rms_ns,profile,raw_cfo_rms_hz,recovered
scan-hop-783c79c5b20d42b3,0,16,frequency,28.462087170319563,7,0.2027933058422851,grid512,28.46208717031855,7
scan-hop-783c79c5b20d42b3,0,16,frequency,11.470151419770799,7,0.005019180928310425,grid8192,11.470151419770872,7
scan-hop-783c79c5b20d42b3,0,16,frequency,0.046933630913937624,7,0.20433476572375095,local512,0.04693363091291724,7
scan-hop-783c79c5b20d42b3,0,16,frequency,0.06141605060693041,7,0.12928757063511503,joint512,0.06141605060649853,7
scan-hop-783c79c5b20d42b3,0,16,delay,0.8489208216921327,6,4.52732711750475,grid512,0.8489208216921327,6
scan-hop-783c79c5b20d42b3,0,16,delay,0.9338127804401223,6,4.58640420022882,grid8192,0.9338127804401223,6
scan-hop-783c79c5b20d42b3,0,16,delay,0.7690159141632334,6,4.5274204819831665,local512,0.7690159141632334,6
scan-hop-783c79c5b20d42b3,0,16,delay,0.852615418545927,6,4.709614145905969,joint512,0.852615418545927,6
scan-hop-24e4b051b0fbc5ca,0,16,frequency,26.290880552586067,8,0.12104769134771513,grid512,26.290880552585616,8
scan-hop-24e4b051b0fbc5ca,0,16,frequency,14.983924797157467,8,0.01945470553389507,grid8192,14.983924797157572,8
scan-hop-24e4b051b0fbc5ca,0,16,frequency,0.04176588062518865,8,0.12104769134771513,local512,0.041765880626417444,8
scan-hop-24e4b051b0fbc5ca,0,16,frequency,0.04626095378734013,8,0.07999910084614047,joint512,0.04626095378880593,8
scan-hop-24e4b051b0fbc5ca,0,16,delay,2.2470499582806456,8,3.2183841279035743,grid512,2.2470499582806456,8
scan-hop-24e4b051b0fbc5ca,0,16,delay,8.808585313445068,8,3.1764231109136314,grid8192,8.808585313445068,8
scan-hop-24e4b051b0fbc5ca,0,16,delay,1.0149631683943292,8,3.2186368003219656,local512,1.0149631683943292,8
scan-hop-24e4b051b0fbc5ca,0,16,delay,0.8417997100888751,8,2.387492379515788,joint512,0.8417997100888751,8
scan-hop-c2313aebc38416ef,0,16,frequency,21.747400797118715,11,0.3736699370595812,grid512,21.7474007971157,11
scan-hop-c2313aebc38416ef,0,16,frequency,11.519942813519004,11,0.02329604342889335,grid8192,11.51994281351748,11
scan-hop-c2313aebc38416ef,0,16,frequency,0.17501150756443704,11,0.3736699370595812,local512,0.17501150756274755,11
scan-hop-c2313aebc38416ef,0,16,frequency,0.171810819737047,11,0.36771172030770294,joint512,0.17181081973569792,11
scan-hop-c2313aebc38416ef,0,16,delay,1.3520031650820648,11,2.8864159011329336,grid512,1.352003165083355,11
scan-hop-c2313aebc38416ef,0,16,delay,1.304338353754995,11,2.948070641373384,grid8192,1.304338353756191,11
scan-hop-c2313aebc38416ef,0,16,delay,0.9093417410692054,11,2.886383196367391,local512,0.9093417410690492,11
scan-hop-c2313aebc38416ef,0,16,delay,0.9353362546149577,11,2.909545802313839,joint512,0.9353362546149577,11
scan-hop-499abcb9ca352397,0,16,frequency,22.762839174534925,12,0.11838573687276512,grid512,22.76283917453585,12
scan-hop-499abcb9ca352397,0,16,frequency,13.821948120228344,12,0.018300206169063287,grid8192,13.821948120228484,12
scan-hop-499abcb9ca352397,0,16,frequency,0.044476167501902274,12,0.11839417257366948,local512,0.04447616750130284,12
scan-hop-499abcb9ca352397,0,16,frequency,0.043137232590167565,12,0.0295230353551515,joint512,0.043137232590178334,12
scan-hop-499abcb9ca352397,0,16,delay,2.0409723861518274,12,2.261246441478165,grid512,2.0409723861518274,12
scan-hop-499abcb9ca352397,0,16,delay,6.850268919844859,12,2.263329156591763,grid8192,6.850268919844859,12
scan-hop-499abcb9ca352397,0,16,delay,0.8520017593448025,12,2.2612283598560876,local512,0.8520017593448025,12
scan-hop-499abcb9ca352397,0,16,delay,0.8975556611829146,12,1.995847942041208,joint512,0.8975556611829146,12
scan-hop-031a0825dc751a64,0,16,frequency,20.577935033922124,14,0.10667320578654224,grid512,20.577935033922916,14
scan-hop-031a0825dc751a64,0,16,frequency,11.135872343963792,14,0.015693467812680294,grid8192,11.13587234396417,14
scan-hop-031a0825dc751a64,0,16,frequency,0.04493199795608893,14,0.10642456603101945,local512,0.044931997957684086,14
scan-hop-031a0825dc751a64,0,16,frequency,0.03403409242403686,14,0.0851041676099922,joint512,0.03403409242333969,14
scan-hop-031a0825dc751a64,0,16,delay,58.967466147165574,14,5.0416525544563715,grid512,58.967466147165574,14
scan-hop-031a0825dc751a64,0,16,delay,51.56354265213055,14,5.016335692346263,grid8192,51.563542652130586,14
scan-hop-031a0825dc751a64,0,16,delay,51.243097847376525,14,5.043199230739962,local512,51.24309784737653,14
scan-hop-031a0825dc751a64,0,16,delay,0.8672177612068637,14,2.5886097076632852,joint512,0.8672177612072759,14
scan-hop-99bee37023f62a10,0,16,frequency,19.446093055889232,14,0.1583796581087954,grid512,19.446093055890323,14
scan-hop-99bee37023f62a10,0,16,frequency,9.419600487281876,14,0.019057147987734464,grid8192,9.419600487282176,14
scan-hop-99bee37023f62a10,0,16,frequency,0.06517316713861941,14,0.15859815305288566,local512,0.06517316713894317,14
scan-hop-99bee37023f62a10,0,16,frequency,0.034796536465607576,14,0.10858065507296026,joint512,0.034796536466058715,14
scan-hop-99bee37023f62a10,0,16,delay,2.2359223091501517,14,2.7656265918462553,grid512,2.2359223091502125,14
scan-hop-99bee37023f62a10,0,16,delay,2.2125540816125464,14,2.742512708706267,grid8192,2.2125540816124354,14
scan-hop-99bee37023f62a10,0,16,delay,1.1039448570241133,14,2.7687355865796643,local512,1.1039448570241788,14
