attempt_count,completed_at,created_at,error,id,kind,max_attempts,outcome,scheduled_for,started_at,state,updated_at
1,2026-08-23T08:13:42.605502+00:00,2026-08-23T08:12:00.230537+00:00,,982,scheduled_recording,3,capture cap-20260823T081200-e63228b11f55 committed,2026-08-23T08:12:00+00:00,2026-08-23T08:12:00.239587+00:00,succeeded,2026-08-23T08:13:42.605502+00:00
1,2026-08-23T08:14:43.853658+00:00,2026-08-23T08:13:42.609019+00:00,,983,scanner_sweep,3,scan burst scan-burst-170e5fef1166464d published; scans=4; active_edges=24,2026-08-23T08:12:00.000001+00:00,2026-08-23T08:13:42.613673+00:00,succeeded,2026-08-23T08:14:43.853658+00:00
1,2026-08-23T08:16:45.830913+00:00,2026-08-23T08:15:00.177072+00:00,,984,scheduled_recording,3,capture cap-20260823T081500-6673b8645d5b committed,2026-08-23T08:15:00+00:00,2026-08-23T08:15:00.189763+00:00,succeeded,2026-08-23T08:16:45.830913+00:00
1,2026-08-23T08:17:48.568511+00:00,2026-08-23T08:16:45.838433+00:00,,985,scanner_sweep,3,scan burst scan-burst-81d22f3330574c81 published; scans=4; active_edges=22,2026-08-23T08:15:00.000001+00:00,2026-08-23T08:16:45.84675+00:00,succeeded,2026-08-23T08:17:48.568511+00:00
1,2026-08-23T08:19:47.420126+00:00,2026-08-23T08:18:00.189488+00:00,,986,scheduled_recording,3,capture cap-20260823T081800-f120c194cbeb committed,2026-08-23T08:18:00+00:00,2026-08-23T08:18:00.236564+00:00,succeeded,2026-08-23T08:19:47.420126+00:00
1,2026-08-23T08:20:50.572445+00:00,2026-08-23T08:19:47.422965+00:00,,987,scanner_sweep,3,scan burst scan-burst-4dd1b06bc5b34d89 published; scans=4; active_edges=14,2026-08-23T08:18:00.000001+00:00,2026-08-23T08:19:47.430868+00:00,succeeded,2026-08-23T08:20:50.572445+00:00
1,2026-08-23T08:22:48.102867+00:00,2026-08-23T08:21:00.140511+00:00,,988,scheduled_recording,3,capture cap-20260823T082100-4f1792255679 committed,2026-08-23T08:21:00+00:00,2026-08-23T08:21:00.1516+00:00,succeeded,2026-08-23T08:22:48.102867+00:00
1,2026-08-23T08:23:50.695079+00:00,2026-08-23T08:22:48.105933+00:00,,989,scanner_sweep,3,scan burst scan-burst-9d5b826dd504434c published; scans=4; active_edges=11,2026-08-23T08:21:00.000001+00:00,2026-08-23T08:22:48.112008+00:00,succeeded,2026-08-23T08:23:50.695079+00:00
1,2026-08-23T08:25:47.68976+00:00,2026-08-23T08:24:00.020264+00:00,,990,scheduled_recording,3,capture cap-20260823T082400-4636467359eb committed,2026-08-23T08:24:00+00:00,2026-08-23T08:24:00.069916+00:00,succeeded,2026-08-23T08:25:47.68976+00:00
1,2026-08-23T08:26:57.849673+00:00,2026-08-23T08:25:47.692196+00:00,,991,scanner_sweep,3,scan burst scan-burst-75adf827728b4f4b published; scans=4; active_edges=4,2026-08-23T08:24:00.000001+00:00,2026-08-23T08:25:47.697835+00:00,succeeded,2026-08-23T08:26:57.849673+00:00
1,2026-08-23T08:31:15.83882+00:00,2026-08-23T08:27:00.123058+00:00,,992,scheduled_recording,3,capture cap-20260823T082932-c54cda561486 committed,2026-08-23T08:27:00+00:00,2026-08-23T08:29:32.1325+00:00,succeeded,2026-08-23T08:31:15.83882+00:00
1,2026-08-23T08:32:18.139137+00:00,2026-08-23T08:31:15.841155+00:00,,993,scanner_sweep,3,scan burst scan-burst-5af38ef1814d459c published; scans=4; active_edges=16,2026-08-23T08:27:00.000001+00:00,2026-08-23T08:31:15.84901+00:00,succeeded,2026-08-23T08:32:18.139137+00:00
1,2026-08-23T08:34:11.665512+00:00,2026-08-23T08:31:15.845403+00:00,,994,scheduled_recording,3,capture cap-20260823T083218-7b8460e6c4a9 committed,2026-08-23T08:30:00+00:00,2026-08-23T08:32:18.148841+00:00,succeeded,2026-08-23T08:34:11.665512+00:00
1,2026-08-23T08:35:19.753992+00:00,2026-08-23T08:34:11.671083+00:00,,995,scanner_sweep,3,scan burst scan-burst-f75fbeb18c3c4ff5 published; scans=4; active_edges=10,2026-08-23T08:30:00.000001+00:00,2026-08-23T08:34:11.678985+00:00,succeeded,2026-08-23T08:35:19.753992+00:00
0,2026-08-23T08:36:00.00553+00:00,2026-08-23T08:34:11.675011+00:00,,996,scheduled_recording,3,superseded by newer scheduled_recording intent scheduled-dwell:a88ebdf9fa294286:2026-08-23T08:36:00+00:00,2026-08-23T08:33:00+00:00,,cancelled,2026-08-23T08:36:00.00553+00:00
0,2026-08-23T08:39:00.141987+00:00,2026-08-23T08:36:00.003987+00:00,,997,scheduled_recording,3,superseded by newer scheduled_recording intent scheduled-dwell:a88ebdf9fa294286:2026-08-23T08:39:00+00:00,2026-08-23T08:36:00+00:00,,cancelled,2026-08-23T08:39:00.141987+00:00
1,2026-08-23T08:40:57.786882+00:00,2026-08-23T08:39:00.140456+00:00,,998,scheduled_recording,3,capture cap-20260823T083907-eec3cb300320 committed,2026-08-23T08:39:00+00:00,2026-08-23T08:39:07.190185+00:00,succeeded,2026-08-23T08:40:57.786882+00:00
1,2026-08-23T08:41:59.804378+00:00,2026-08-23T08:40:57.789863+00:00,,999,scanner_sweep,3,scan burst scan-burst-ed7c068fc7794325 published; scans=4; active_edges=17,2026-08-23T08:39:00.000001+00:00,2026-08-23T08:40:57.795785+00:00,succeeded,2026-08-23T08:41:59.804378+00:00
1,2026-08-23T08:43:42.098784+00:00,2026-08-23T08:42:00.058588+00:00,,1000,scheduled_recording,3,capture cap-20260823T084200-fd7c39cd87a8 committed,2026-08-23T08:42:00+00:00,2026-08-23T08:42:00.067298+00:00,succeeded,2026-08-23T08:43:42.098784+00:00
1,2026-08-23T08:44:46.037658+00:00,2026-08-23T08:43:42.102302+00:00,,1001,scanner_sweep,3,scan burst scan-burst-c6317d12d4834b94 published; scans=4; active_edges=16,2026-08-23T08:42:00.000001+00:00,2026-08-23T08:43:42.108281+00:00,succeeded,2026-08-23T08:44:46.037658+00:00
1,2026-08-23T08:46:44.164544+00:00,2026-08-23T08:45:00.154767+00:00,,1002,scheduled_recording,3,capture cap-20260823T084500-f2ea7da8e07d committed,2026-08-23T08:45:00+00:00,2026-08-23T08:45:00.167853+00:00,succeeded,2026-08-23T08:46:44.164544+00:00
1,2026-08-23T08:47:47.273164+00:00,2026-08-23T08:46:44.172137+00:00,,1003,scanner_sweep,3,scan burst scan-burst-a0100fe8f3044d43 published; scans=4; active_edges=22,2026-08-23T08:45:00.000001+00:00,2026-08-23T08:46:44.180462+00:00,succeeded,2026-08-23T08:47:47.273164+00:00
1,2026-08-23T08:49:43.928275+00:00,2026-08-23T08:48:00.153183+00:00,,1004,scheduled_recording,3,capture cap-20260823T084800-235cfbc3fe7f committed,2026-08-23T08:48:00+00:00,2026-08-23T08:48:00.166161+00:00,succeeded,2026-08-23T08:49:43.928275+00:00
1,2026-08-23T08:50:50.325289+00:00,2026-08-23T08:49:43.9313+00:00,,1005,scanner_sweep,3,scan burst scan-burst-17aa9d4b0eb14ab9 published; scans=4; active_edges=23,2026-08-23T08:48:00.000001+00:00,2026-08-23T08:49:43.936957+00:00,succeeded,2026-08-23T08:50:50.325289+00:00
0,2026-08-23T08:54:00.220612+00:00,2026-08-23T08:51:00.157623+00:00,,1006,scheduled_recording,3,superseded by newer scheduled_recording intent scheduled-dwell:a88ebdf9fa294286:2026-08-23T08:54:00+00:00,2026-08-23T08:51:00+00:00,,cancelled,2026-08-23T08:54:00.220612+00:00
1,2026-08-23T08:56:13.460776+00:00,2026-08-23T08:54:00.219036+00:00,,1007,scheduled_recording,3,capture cap-20260823T085426-903d04248a75 committed,2026-08-23T08:54:00+00:00,2026-08-23T08:54:26.399023+00:00,succeeded,2026-08-23T08:56:13.460776+00:00
1,2026-08-23T08:57:14.608871+00:00,2026-08-23T08:56:13.467911+00:00,,1008,scanner_sweep,3,scan burst scan-burst-0dc37076617b408f published; scans=4; active_edges=9,2026-08-23T08:54:00.000001+00:00,2026-08-23T08:56:13.476107+00:00,succeeded,2026-08-23T08:57:14.608871+00:00
1,2026-08-23T08:59:04.643496+00:00,2026-08-23T08:57:14.648542+00:00,,1009,scheduled_recording,3,capture cap-20260823T085714-58b6bac41af2 committed,2026-08-23T08:57:00+00:00,2026-08-23T08:57:14.668349+00:00,succeeded,2026-08-23T08:59:04.643496+00:00
1,2026-08-23T09:00:09.987679+00:00,2026-08-23T08:59:04.646596+00:00,,1010,scanner_sweep,3,scan burst scan-burst-5ed5d8a93118458f published; scans=4; active_edges=7,2026-08-23T08:57:00.000001+00:00,2026-08-23T08:59:04.652667+00:00,succeeded,2026-08-23T09:00:09.987679+00:00
